Reboilers,,,,
,,,,
Plug Flow Reactors,,,,
Value,Variable Name,Container,Name,
4,Tube Length,R-350002,R-350002.Tube Length,
0.021,Tube Diameter,R-350002,R-350002.Tube Diameter,
Set-3,Reaction Set,R-350002,R-350002.Reaction Set,
Rxn-2,Reaction Set,..Set-3,R-350002.Reaction Set.Active Reactions.Rxn-2,
i-Butene,Reaction Set,..Rxn-2,R-350002.Reaction Set.Active Reactions.Rxn-2.Reactants.i-Butene,Reactants
244M2pentene,Reaction Set,..Rxn-2,R-350002.Reaction Set.Active Reactions.Rxn-2.Reactants.244M2pentene,Products
244M1pentene,Reaction Set,..Rxn-2,R-350002.Reaction Set.Active Reactions.Rxn-2.Reactants.244M1pentene,Products
350010,Product Stream,R-350002,R-350002.Product Stream,
0,Pressure Drop,R-350002,R-350002.Pressure Drop,
50,Number of Tubes,R-350002,R-350002.Number of Tubes,
0,Heat Flow,R-350002,R-350002.Heat Flow,
350009,Feed Stream,R-350002,R-350002.Feed Stream.350009,
,,,,
,,,,
,,,,
,,,,
,,,,
Tray Columns,,,,
Value,Variable Name,Container,Name,
10,Number of Trays,T-350004,T-350004.Number of Trays,
350039',Inlet & Draw Names,T-350004,T-350004.Inlet & Draw Names.7__Main Tower.Elem0,
Feed,Inlet & Draw Types,T-350004,T-350004.Inlet & Draw Types.7__Main Tower.Elem0,
Distillation,Object Type,T-350004,T-350004.Object Type,
1,Stage Numbering Method,T-350004,T-350004.Stage Numbering Method,
350042',top liquid feed,T-350004.Main Tower,Main Tower.top liquid feed,
350045,bottom liquid product,T-350004.Main Tower,Main Tower.bottom liquid product,
350047,bottom vapour feed,T-350004.Main Tower,Main Tower.bottom vapour feed,
350040',overhead vapour product,T-350004.Main Tower,Main Tower.overhead vapour product,
350038,Btm Liquid Outlet,T-350003,T-350003.Btm Liquid Outlet,
350037,Top Vapour Outlet,T-350003,T-350003.Top Vapour Outlet,
350053,Top Liquid Inlet,T-350003,T-350003.Top Liquid Inlet,
350036,Btm Vapour Inlet,T-350003,T-350003.Btm Vapour Inlet,
4,Number of Trays,T-350003,T-350003.Number of Trays,
1,Stage Numbering Method,T-350003,T-350003.Stage Numbering Method,
Absorber,Object Type,T-350003,T-350003.Object Type,
20,Number of Trays,T-350002,T-350002.Number of Trays,
350024',Inlet & Draw Names,T-350002,T-350002.Inlet & Draw Names.9__Main Tower.Elem0,
Feed,Inlet & Draw Types,T-350002,T-350002.Inlet & Draw Types.9__Main Tower.Elem0,
Distillation,Object Type,T-350002,T-350002.Object Type,
1,Stage Numbering Method,T-350002,T-350002.Stage Numbering Method,
350027',top liquid feed,T-350002.Main Tower,Main Tower.top liquid feed,
350030,bottom liquid product,T-350002.Main Tower,Main Tower.bottom liquid product,
350032,bottom vapour feed,T-350002.Main Tower,Main Tower.bottom vapour feed,
350025',overhead vapour product,T-350002.Main Tower,Main Tower.overhead vapour product,
20,Number of Trays,T-350001,T-350001.Number of Trays,
1,Stage Numbering Method,T-350001,T-350001.Stage Numbering Method,
Distillation,Object Type,T-350001,T-350001.Object Type,
350011',Inlet & Draw Names,T-350001,T-350001.Inlet & Draw Names.9__Main Tower.Elem0,
Feed,Inlet & Draw Types,T-350001,T-350001.Inlet & Draw Types.9__Main Tower.Elem0,
350015',top liquid feed,T-350001.Main Tower,Main Tower.top liquid feed,
350017,bottom liquid product,T-350001.Main Tower,Main Tower.bottom liquid product,
350019,bottom vapour feed,T-350001.Main Tower,Main Tower.bottom vapour feed,
350012',overhead vapour product,T-350001.Main Tower,Main Tower.overhead vapour product,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Separators,,,,
Value,Variable Name,Container,Name,
350026,Feed Stream,V-350101,V-350101.Feed Stream.350026,
350027,Liquid Product,V-350101,V-350101.Liquid Product,
350029,Vapour Product,V-350101,V-350101.Vapour Product,
0,DUTY,V-350101,V-350101.DUTY,
Separator,Separator Type,V-350101,V-350101.Separator Type,
94.18320005,Vessel Temperature,V-350101,V-350101.Vessel Temperature,
0,Vessel Pressure Drop,V-350101,V-350101.Vessel Pressure Drop,
,,,,
,,,,
,,,,
,,,,
,,,,
Valves,,,,
Value,Variable Name,Container,Name,
350048,Feed Stream,VLV-350002,VLV-350002.Feed Stream,
1.855262046,Pressure Drop,VLV-350002,VLV-350002.Pressure Drop,
350050,Product Stream,VLV-350002,VLV-350002.Product Stream,
1.644737954,Product Pressure,VLV-350002,VLV-350002.Product Pressure,
350029',Feed Stream,VLV-350001,VLV-350001.Feed Stream,
350035,Product Stream,VLV-350001,VLV-350001.Product Stream,
8.296578614,Pressure Drop,VLV-350001,VLV-350001.Pressure Drop,
1.403421386,Product Pressure,VLV-350001,VLV-350001.Product Pressure,
,,,,
,,,,
,,,,
,,,,
,,,,
Mixers,,,,
Value,Variable Name,Container,Name,
350051,Product Stream,MIX-350004,MIX-350004.Product Stream,
350050,Feed Stream,MIX-350004,MIX-350004.Feed Stream.350050,
350054,Feed Stream,MIX-350004,MIX-350004.Feed Stream.350054,
350021,Product Stream,MIX-350003,MIX-350003.Product Stream,
350049,Feed Stream,MIX-350003,MIX-350003.Feed Stream.350049,
350016',Feed Stream,MIX-350003,MIX-350003.Feed Stream.350016',
350011,Product Stream,MIX-350002,MIX-350002.Product Stream,
350010,Feed Stream,MIX-350002,MIX-350002.Feed Stream.350010,
350034,Feed Stream,MIX-350002,MIX-350002.Feed Stream.350034,
350007,Product Stream,MIX-350001,MIX-350001.Product Stream,
350006,Feed Stream,MIX-350001,MIX-350001.Feed Stream.350006,
350004,Feed Stream,MIX-350001,MIX-350001.Feed Stream.350004,
,,,,
,,,,
,,,,
,,,,
,,,,
Tees,,,,
Value,Variable Name,Container,Name,
350041,Feed Stream,TEE-350102,TEE-350102.Feed Stream,
350042,Product Stream,TEE-350102,TEE-350102.Product Stream.350042,
350044,Product Stream,TEE-350102,TEE-350102.Product Stream.350044,
350013,Feed Stream,TEE-350101,TEE-350101.Feed Stream,
350016,Product Stream,TEE-350101,TEE-350101.Product Stream.350016,
350014,Product Stream,TEE-350101,TEE-350101.Product Stream.350014,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Streams,,,,
Value,Variable Name,Container,Name,
350310,Object Name,350310,350310.Object Name,
1,Vapour Fraction,350310,350310.Vapour Fraction,
121.1111111,Temperature,350310,350310.Temperature,
1.013249966,Pressure,350310,350310.Pressure,
2619.11264,Molar Flow,350310,350310.Molar Flow,
47183.57738,Mass Flow,350310,350310.Mass Flow,
,Phase Comp Mole Frac,350310,350310.Phase Comp Mole Frac.Aqueous Phase.H2O,
,Phase Comp Mole Frac,350310,350310.Phase Comp Mole Frac.Liquid Phase.H2O,
1,Phase Comp Mole Frac,350310,350310.Phase Comp Mole Frac.Vapour Phase.H2O,
350309,Object Name,350309,350309.Object Name,
1,Vapour Fraction,350309,350309.Vapour Fraction,
135,Temperature,350309,350309.Temperature,
1.35798792,Pressure,350309,350309.Pressure,
2619.11264,Molar Flow,350309,350309.Molar Flow,
47183.57738,Mass Flow,350309,350309.Mass Flow,
,Phase Comp Mole Frac,350309,350309.Phase Comp Mole Frac.Aqueous Phase.H2O,
,Phase Comp Mole Frac,350309,350309.Phase Comp Mole Frac.Liquid Phase.H2O,
1,Phase Comp Mole Frac,350309,350309.Phase Comp Mole Frac.Vapour Phase.H2O,
350308,Object Name,350308,350308.Object Name,
0,Vapour Fraction,350308,350308.Vapour Fraction,
162.7777778,Temperature,350308,350308.Temperature,
7.563271132,Pressure,350308,350308.Pressure,
405.3642154,Molar Flow,350308,350308.Molar Flow,
7302.677071,Mass Flow,350308,350308.Mass Flow,
1,Phase Comp Mole Frac,350308,350308.Phase Comp Mole Frac.Aqueous Phase.H2O,
