BMRS,Business Type,Registered Resource EIC code,BM Unit ID,NGC BM Unit ID,Registered Resource Name,PSR Type,Effective From (Date),Capacity MW,*,Type (powerplant(station) or generator(unit)),Connected (if generator(unit)),Output1,Output2,Output3,Output4,Output5,Output6,Output7,Output8,Output9,Output10,Output11,Output12,Output13,Output14,Output15,Output16,Output17,Output18,Output19,Output20,Output21,Output22,Output23,Output24,Output25,Output26,Output27,Output28,Output29,Output30,Output31,Output32,Output33,Output34,Output35,Output36,Output37,Output38,Output39,Output40,Output41,Output42,Output43,Output44,Output45,Output46,Output47,Output48,**,outputBMRSUnitToDUKESStation,"outputpowerplant =IF(ISNA(VLOOKUP(C2,CP$2:CR$1184,3,FALSE)),"""",VLOOKUP(C2,CP$2:CR$1184,3,FALSE))",tMatchType,***,EICStation,ESO W Type Codes - Stations,Display Name - Stations,Used by X BMUs - Stations,Automatic ID - Stations,15 characters,Energy Identification Code - Stations,Function - Stations,EIC Name - Asset Name - Stations,****,EICUnit,ESO W Type Codes - BMUs,Display Name - Units,STATION,Automatic ID - Units,Energy Identification Code - Units,Function - Units,EIC Name - Asset Name - Units,*****,DUKES,Company Name,Station Name,Fuel,Type,Installed Capacity (MW),Year of commission or year generation began,"Location:
Scotland, Wales, Northern Ireland or English region",******,outputDUKESToBMRSEIC,outputDUKESToBMRSID,plantname,******.1,CapacityDiff,MatchType,MatchYear,MatchGenType,ConfidenceScore,ConfidenceResult,Year,Month,Day,Period,Output
BMRS,Production unit,48WSTN00000STAYA,,STAY,STAY,Fossil Gas,30/03/2015 0:00,1828.0,*,powerplant,None,254.4,264.2,261.4,253.2,262.0,244.8,260.4,247.2,257.0,260.0,247.4,252.2,391.2,486.70000000000005,730.7,1092.3,1282.5,1286.1,1282.4,1280.6999999999998,1144.8000000000002,1062.9,1041.5,1167.8,1183.6,1206.0,1279.4,1281.1999999999998,1281.1999999999998,1283.0,1304.5,1306.2,1308.3,1308.6,1310.5,1312.3,1314.5,1315.2,1316.0,1276.9,1309.0,1293.7,1230.6,1290.9,1294.0,1027.2,352.3,0.0,**,Staythorpe C,Staythorpe_C,-4.0,***,EICStation,ESO W Type Codes - Stations,BOWLW,1.0,48WSTN0000BOWLW,15,48WSTN0000BOWLWY,Production Unit,Barrow Offshore Wind Farm,****,EICUnit,ESO W Type Codes - BMUs,BABAW-1,BABAW,48W00000BABAW-1,48W00000BABAW-13,Generation Unit,Baillie Wind Farm BABAW-1,*****,DUKES,SSE,Aigas,Hydro,Hydro,20.0,1962,Scotland,******,None,None,Aigas,******,999,999,999,999,3996,0,2022,02,09,48,0
BMRS,Production unit,48WSTN0000ABTHBN,,,ABTHB,Fossil Hard coal,1/01/2013 0:00,1605.0,*,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,**,Aberthaw B,Aberthaw_B,-4.0,***,EICStation,ESO W Type Codes - Stations,BOYNW,1.0,48WSTN0000BOYNW,15,48WSTN0000BOYNWK,Production Unit,Boyndie Wind Farm,****,EICUnit,ESO W Type Codes - BMUs,BAGE-1,BAGE,48W000000BAGE-1,48W000000BAGE-1L,Generation Unit,Baglan Bay BAGE-1,*****,DUKES,Greencoat Capital,Ainderby,Solar,Solar,4.99,2017,Yorkshire and Humber,******,None,None,Ainderby,******,999,999,999,999,3996,0,2022,02,09,48,0
BMRS,Production unit,48WSTN0000ABTHBN,,ABTHB,ABTHB,Fossil Hard coal,1/12/2016 0:00,1590.0,*,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,**,Aberthaw B,Aberthaw_B,999.0,***,EICStation,ESO W Type Codes - Stations,BPGRD,2.0,48WSTN0000BPGRD,15,48WSTN0000BPGRD2,Production Unit,BP Grangemouth,****,EICUnit,ESO W Type Codes - BMUs,BAGE-2,BAGE,48W000000BAGE-2,48W000000BAGE-2J,Generation Unit,Baglan Bay BAGE-2,*****,DUKES,WPO,Airfield Poddington,Wind (onshore),Wind (onshore),8.55,2017,East England,******,None,None,Airfield_Poddington,******,999,999,999,999,3996,0,2022,02,09,48,0
BMRS,Production unit,48WSTN0000CNQPSG,,CNQPS,CNQPS,Fossil Gas,1/10/2015 0:00,1500.0,*,powerplant,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.432,202.608,298.746,235.242,227.052,236.376,228.69,223.776,216.72,219.744,241.29,234.36,237.636,236.754,236.376,238.266,351.03599999999994,414.918,463.302,488.628,628.866,671.5799999999999,680.778,568.638,458.13599999999997,457.506,457.884,457.758,458.38800000000003,387.576,228.564,224.028,46.62,0.0,0.0,**,Connahs Quay,Connahs_Quay,-10.0,***,EICStation,ESO W Type Codes - Stations,BRDUW,1.0,48WSTN0000BRDUW,15,48WSTN0000BRDUWV,Production Unit,Braes of Doune,****,EICUnit,ESO W Type Codes - BMUs,BAGTD-1,BAGTD,48W00000BAGTD-1,48W00000BAGTD-1S,Load,Bathgate BAGTD-1,*****,DUKES,WPO,Airies,Wind (onshore),Wind (onshore),39.9,2017,Scotland,******,None,None,Airies,******,999,999,999,999,3996,0,2022,02,09,48,0
BMRS,Production unit,48WSTN0000DIDCBC,,DIDCB,DIDCB,Fossil Gas,22/06/2015 0:00,1490.0,*,powerplant,None,544.4,553.6,554.2,550.6,570.2,650.8,664.6,553.2,560.8,561.8,543.4,563.0,620.8,669.4,680.6,690.2,691.0,689.6,689.6,689.2,688.2,686.4,685.2,684.2,683.4,716.2,749.1999999999999,769.8,898.6,995.2,1287.2,1392.4,1395.6,1401.4,1412.2,1415.2,1406.8000000000002,1402.8,1405.0,1416.4,1414.8,1417.2,1418.4,1418.8,1213.0,1146.2,907.7,727.2,**,Didcot B,Didcot_B,-1.0,***,EICStation,ESO W Type Codes - Stations,BRGG,1.0,48WSTN00000BRGG,15,48WSTN00000BRGGA,Production Unit,Brigg,****,EICUnit,ESO W Type Codes - BMUs,BARK-1,BARKB,48W000000BARK-1,48W000000BARK-1G,Generation Unit,Barking Power BARK-1,*****,DUKES,Temporis Capital,Allt Fionn,Hydro,Hydro,1.995,2012,Scotland,******,None,None,Allt_Fionn,******,999,999,999,999,3996,0,2022,02,09,48,0
BMRS,Production unit,48WSTN000LITT-DA,,,LITT-D,Fossil Oil,1/01/2013 0:00,1370.0,*,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,**,None,,999.0,***,EICStation,ESO W Type Codes - Stations,BROUD,1.0,48WSTN0000BROUD,15,48WSTN0000BROUDP,Consumption Unit,Scunthorpe,****,EICUnit,ESO W Type Codes - BMUs,BARKB2,BARKB,48W000000BARKB2,48W000000BARKB2F,Generation Unit,Barking Power BARKB2,*****,DUKES,SSE,Allt-na-Lairige,Hydro,Hydro,6.0,1956,Scotland,******,48WSTN00000LAIGM,LAIG,Allt-na-Lairige,******,99,-8,1,-2,90,0,2022,02,09,48,0
BMRS,Production unit,48WSTN0000GRAINU,,GRAIN,GRAIN,Fossil Gas,1/10/2015 0:00,1365.0,*,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,**,Grain CHP *,Grain_CHP,-3.0,***,EICStation,ESO W Type Codes - Stations,BRYBW,1.0,48WSTN0000BRYBW,15,48WSTN0000BRYBW4,Production Unit,Berry Burn Wind Farm,****,EICUnit,ESO W Type Codes - BMUs,BLLA-1,BLLA,48W000000BLLA-1,48W000000BLLA-1K,Generation Unit,Blacklaw BLLA-1,*****,DUKES,Statkraft,Alltwalis,Wind (onshore),Wind (onshore),23.0,2009,Wales,******,None,None,Alltwalis,******,999,999,999,999,3996,0,2022,02,09,48,0
BMRS,Production unit,48WSTN00000WYLFC,,WYLF,WYLF,Nuclear,1/01/2013 0:00,1340.0,*,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,**,None,,999.0,***,EICStation,ESO W Type Codes - Stations,BRYP,1.0,48WSTN00000BRYP,15,48WSTN00000BRYPC,Production Unit,Barry,****,EICUnit,ESO W Type Codes - BMUs,BNAKW-1,BNAKW,48W00000BNAKW-1,48W00000BNAKW-1G,Generation Unit,Ben Aketil BNAKW-1,*****,DUKES,RES Group,Altahullion,Wind (onshore),Wind (onshore),26.0,2003,Northern Ireland,******,None,None,Altahullion,******,999,999,999,999,3996,0,2022,02,09,48,0
BMRS,Production unit,48WSTN0000WBURB5,,WBURB,WBURB,Fossil Gas,1/01/2013 0:00,1315.0,*,powerplant,None,210.92,223.95400000000004,223.51600000000002,219.88,229.662,293.9,228.474,214.16,289.73999999999995,259.286,214.46,250.334,358.86,318.36,509.12000000000006,641.3000000000001,1062.748,1231.564,1247.2199999999998,1129.426,931.606,867.028,854.394,1071.5,1266.5,1289.24,1293.4,1291.3200000000002,1290.862,1271.7379999999998,1275.5079999999998,1255.866,1271.866,1265.768,1257.424,1294.6680000000001,1296.31,1298.228,1286.108,1176.154,1252.004,1146.442,1268.42,820.16,645.76,653.18,647.9200000000001,469.78,**,West Burton CCGT,West_Burton_CCGT,-4.0,***,EICStation,ESO W Type Codes - Stations,BURBW,1.0,48WSTN0000BURBW,15,48WSTN0000BURBWH,Production Unit,Burbo Wind Farm,****,EICUnit,ESO W Type Codes - BMUs,BOWLW-1,BOWLW,48W00000BOWLW-1,48W00000BOWLW-1K,Generation Unit,Barrow Offshore Wind Farm BOWLW-1,*****,DUKES,RES Group,Altahullion Extension,Wind (onshore),Wind (onshore),11.7,2007,Northern Ireland,******,None,None,Altahullion_Extension,******,999,999,999,999,3996,0,2022,02,09,48,0
BMRS,Production unit,48WSTN00000SEAB5,,SEAB,SEAB,Fossil Gas,1/01/2013 0:00,1258.0,*,powerplant,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.446,159.06,242.88,307.12,285.94,242.88,248.24,240.04,238.68,239.22,239.1,253.4,256.4,264.3,245.72,246.28,262.08,334.14,339.93,509.42,750.4,1040.16,1094.98,1134.18,1013.0799999999999,857.46,868.26,812.3199999999999,810.3,825.62,435.822,0.0,0.0,0.0,0.0,0.0,**,Seabank,Seabank,999.0,***,EICStation,ESO W Type Codes - Stations,CABEU,9.0,48WSTN0000CABEU,15,48WSTN0000CABEUM,Production Unit,Beauly Cascade,****,EICUnit,ESO W Type Codes - BMUs,BOYNW-1,BOYNW,48W00000BOYNW-1,48W00000BOYNW-1Z,Generation Unit,Boyndie Wind Farm BOYNW-1,*****,DUKES,WPO,Altaveedan,Wind (onshore),Wind (onshore),18.0,2016,Northern Ireland,******,None,None,Altaveedan,******,999,999,999,999,3996,0,2022,02,09,48,0
