snap,x,y,h,v,T,r,NOx,NOVOC,CO,SO2,NH3,PM2.5,PM10
1,556973,5924693,45,-999,-999,0.119948351,3359,-999,-999,7.18,-999,0.165,0.578
1,578453,5927657,67,-999,-999,0.549903984,3591,-999,-999,42.8,-999,0.847,2.96
1,561490,5925593,25,-999,-999,0.892062058,3637,-999,-999,-999,-999,-999,-999
1,559879,5934405,85,-999,-999,0.797884561,3821,-999,-999,125,-999,1.16,4.04
1,570553,5931311,120,9.85,135,1.149341563,3850,-999,-999,1259,-999,4.08,14.3
1,567672,5932922,16,-999,-999,0.35007043,3852,-999,-999,275,-999,218,761
1,580183,5930181,43,-999,-999,0.799876785,4132,-999,-999,49.7,-999,0.976,3.41
1,571449,5939738,51,-999,-999,0.564189584,4275,-999,-999,50.3,-999,1.01,3.52
1,574744,5942048,28,-999,-999,0.15033297,5208,-999,-999,15.1,-999,0.679,2.38
1,559755,5935254,10,-999,-999,0.39894228,5505,-999,-999,16,-999,0.718,2.51
1,567363,5941882,23,-999,-999,0.174989746,5593,-999,-999,12,-999,0.275,0.963
1,578455,5927656,55,7.1,55,0.298541066,5893,-999,-999,55.9,-999,-999,-999
1,566041,5932920,50,10.1,117,0.63580937,5944,-999,-999,114,-999,-999,-999
1,568123,5947839,24,-999,-999,0.618038723,5967,-999,-999,21.9,-999,0.471,1.65
1,578455,5927656,55,7.1,55,0.298541066,6440,-999,-999,47.4,-999,-999,-999
1,572035,5938560,35,-999,-999,0.300136132,6884,-999,-999,20,-999,0.898,3.14
1,575999,5937963,33,-999,-999,0.520157095,7249,-999,-999,85.3,-999,1.71,5.97
1,566041,5932920,50,8.14,70,0.850037318,7413,-999,-999,124,-999,-999,-999
1,577998,5929266,29,-999,-999,0.224969491,7441,-999,-999,15.9,-999,0.366,1.28
1,577314,5942884,27,-999,-999,0.356824823,7455,-999,-999,15.9,-999,0.367,1.28
1,576006,5937954,31,-999,-999,0.150015029,7668,-999,-999,16.4,-999,0.377,1.32
1,560331,5925485,31,4.63,120,0.499873245,8155,-999,-999,95.9,-999,1.92,6.72
1,565679,5923288,75,2.2,180,1.248886881,8308,-999,-999,97.7,-999,1.95,6.84
1,566041,5932920,50,6.94,70,0.850037318,8335,-999,-999,162,-999,-999,-999
1,566041,5932920,50,7.21,70,0.850037318,8583,-999,-999,154,-999,-999,-999
1,577466,5930508,15,-999,-999,0.125016061,9257,-999,-999,19.8,-999,0.455,1.59
1,572810,5939303,20,-999,-999,0.19947114,9665,-999,-999,-999,-999,-999,-999
1,578393,5927150,9,-999,-999,0.178412412,10008,-999,-999,21.4,-999,0.492,1.72
1,572000,5936243,64,-999,-999,0.819532708,10143,-999,-999,34,-999,0.737,2.58
1,576263,5931237,79,-999,-999,1.313483758,10676,-999,-999,126,-999,2.51,8.79
1,559680,5938377,25,-999,-999,0.39894228,12761,-999,-999,89.3,-999,1.83,6.4
1,564404,5923769,25,-999,-999,0.200267435,14025,-999,-999,30,-999,0.69,2.42
1,562699,5939265,56,1.29,130,0.690988299,22043,-999,-999,47.2,-999,1.08,3.8
1,570605,5931443,90,18.2,108,1.700074636,37666,-999,-999,389,-999,-999,-999
1,570601,5931416,90,17.7,103,1.700074636,56749,-999,-999,485,-999,-999,-999
1,570553,5931311,120,18.5,93,1.399144667,201630,-999,-999,164466,-999,1236,2135
1,570553,5931311,120,19.3,93,1.399144667,210987,-999,-999,174033,-999,884,1526
3,563744,5932360,13,5.94,20,0.252313252,-999,-999,-999,-999,-999,110,156
3,563843,5932378,10,7.49,31,0.356824823,-999,-999,-999,-999,-999,36.9,129
3,563744,5932360,11,3.08,18,1.236077446,-999,-999,-999,-999,-999,128,446
3,564889,5929553,19,5.29,160,0.39894228,25.2,-999,-999,-999,-999,-999,-999
3,562904,5924019,50,-999,-999,0.564189584,3072,-999,-999,36.1,-999,0.723,2.53
3,564884,5929554,19,6.23,160,0.39894228,3079,-999,-999,-999,-999,-999,-999
