nRun,SumOfSquares,subtype_CaseGroup1_Bus93_ExxonMobil_Chemical_PWBUSANGLE,subtype_CaseGroup1_Bus93_ExxonMobil_Chemical_PWBUSKVVOLT,subtype_CaseGroup1_Bus93_ExxonMobil_Chemical_LineMW,subtype_CaseGroup1_Bus93_ExxonMobil_Chemical_LineMVR,subtype_CaseGroup1_Bus94_ExxonMobil_Refinery_PWBUSANGLE,subtype_CaseGroup1_Bus94_ExxonMobil_Refinery_PWBUSKVVOLT,subtype_CaseGroup1_Bus94_ExxonMobil_Refinery_LineMW,subtype_CaseGroup1_Bus94_ExxonMobil_Refinery_LineMVR,subtype_CaseGroup1_Bus95_Petrofac_PWBUSANGLE,subtype_CaseGroup1_Bus95_Petrofac_PWBUSKVVOLT,subtype_CaseGroup1_Bus95_Petrofac_LineMW,subtype_CaseGroup1_Bus95_Petrofac_LineMVR
20,75303.361251331604,3159.9117301886536,318.63878547709112,37592.846480796485,4966.5340983484457,3189.6640612586093,318.46124672853529,21109.137116145943,1123.6170512396379,3189.919873813813,318.45974663904019,15.319705833806575,0.85135486154454487
21,75302.755706655313,3159.9751388747059,318.62595898238766,37592.342612162924,4966.2140206843023,3189.7290294692407,318.44842238008073,21109.196005064281,1123.6214471088711,3189.9848581848073,318.4469219638886,15.319944982558216,0.8513467972623936
22,75296.72726823212,3157.984699745467,318.76128350831317,37592.028274733326,4966.0712072510069,3187.7166132752145,318.58375132715832,21109.230645130054,1123.6246436225067,3187.972258516771,318.582250949166,15.32030954121889,0.85133063190564007
23,75298.372009139581,3158.7316116706515,318.70417969402882,37591.73704981208,4965.8872334034622,3188.472405009587,318.5266487828157,21109.258357784311,1123.6294390718967,3188.7281291180357,318.52514853929262,15.320452406811501,0.8513538465870244
24,75293.464192071697,3157.1100130524792,318.81438175119843,37591.482807678767,4965.768785499713,3186.8329183881501,318.63685441766825,21109.289531273043,1123.6330351628451,3187.0884909332899,318.63535427164322,15.320671129453153,0.85134851345654006
25,75293.576206889105,3157.1663048557557,318.8098518588979,37591.45507046274,4965.7452646480406,3186.8899035910285,318.63232471573497,21109.296461623926,1123.6326355968997,3187.1454829375007,318.63082422336822,15.32074401125284,0.85133836394640006
26,75300.386975985544,3159.6458276200997,318.6340333463678,37591.390355502059,4965.6453005928779,3189.3975276198821,318.45650270312711,21109.303389070126,1123.6336345118962,3189.6533486891994,318.45500226789926,15.320711915057609,0.85134214693856158
27,75297.990533899079,3158.8097326357574,318.69232374291897,37591.348751671852,4965.6419393015694,3188.5520549779649,318.51479470655613,21109.303389070126,1123.6344336442125,3188.8077947036977,318.51329413401061,15.320679897179279,0.85134541323611612
28,75298.060443483191,3158.8372104836722,318.69031754329018,37591.344129456331,4965.6394193908418,3188.579850485231,318.51278835191056,21109.303389070126,1123.6344336442125,3188.8355924550115,318.51128814102867,15.320679897179279,0.8513445643672225
29,75296.477684035199,3158.271956367234,318.73008567527825,37591.339507241093,4965.6503404179557,3188.0082216080336,318.55255754277812,21109.303389070126,1123.6346334273358,3188.2639079037936,318.55105723824175,15.320679897179279,0.85134764613240033
30,75294.04112662944,3157.4065227191973,318.7908563014883,37591.325640597075,4965.6612600477301,3187.1330403096949,318.6133294499873,21109.303389070126,1123.6346334273358,3187.3886429548879,318.61182900234718,15.320636136856898,0.85134661272549172
