primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,age,,
coal_biomass,supercritical,40,1100,707.04,44.49,4648788.00,12,,
coal_biomass,supercritical,40,1200,771.36,43.71,5071692.00,12,,
coal_biomass,supercritical,40,1300,836,43.02,5496700.00,12,,
coal_biomass,supercritical,40,1400,900,42.4,5917500.00,12,,
coal_biomass,supercritical,40,1500,964,41.83,6338300.00,12,,
coal_biomass,supercritical,40,1600,1028.8,41.43,6764360.00,12,,
coal_biomass,supercritical,40,1700,1092.8,41.07,7185160.00,12,,
coal_biomass,supercritical,40,1800,1156.8,40.75,7605960.00,12,,
coal_biomass,supercritical,40,1900,1221.6,40.46,8032020.00,12,,
coal_biomass,supercritical,40,2000,1285.6,40.19,8452820.00,12,,
coal_biomass,supercritical,40,2100,1349.6,39.95,8873620.00,12,,
coal_biomass,supercritical,40,2200,1414.4,39.73,9299680.00,12,,
coal_biomass,supercritical,40,2300,1478.4,39.53,9720480.00,12,,
coal_biomass,supercritical,40,2400,1542.4,39.34,10141280.00,12,,
coal_biomass,supercritical,40,2500,1607.2,39.17,10567340.00,12,,
coal_biomass,supercritical,43,100,64.336,91.15,423009.20,13,,
coal_biomass,supercritical,43,200,128.64,69.02,845808.00,13,,
coal_biomass,supercritical,43,300,192.88,60.4,1268186.00,13,,
coal_biomass,supercritical,43,400,257.12,55.55,1690564.00,13,,
coal_biomass,supercritical,43,500,321.44,52.36,2113468.00,13,,
coal_biomass,supercritical,43,600,385.68,50.04,2535846.00,13,,
coal_biomass,supercritical,43,700,450,48.26,2958750.00,13,,
coal_biomass,supercritical,43,800,514.24,46.84,3381128.00,13,,
coal_biomass,supercritical,43,900,578.56,45.66,3804032.00,13,,
coal_biomass,supercritical,43,1000,642.8,44.66,4226410.00,13,,
coal_biomass,supercritical,43,1100,707.04,43.79,4648788.00,13,,
coal_biomass,supercritical,43,1200,771.36,43.03,5071692.00,13,,
coal_biomass,supercritical,43,1300,836,42.35,5496700.00,13,,
coal_biomass,supercritical,43,1400,900,41.73,5917500.00,13,,
coal_biomass,supercritical,43,1500,964,41.17,6338300.00,13,,
coal_biomass,supercritical,43,1600,1028.8,40.77,6764360.00,13,,
coal_biomass,supercritical,43,1700,1092.8,40.42,7185160.00,13,,
coal_biomass,supercritical,43,1800,1156.8,40.11,7605960.00,13,,
coal_biomass,supercritical,43,1900,1221.6,39.82,8032020.00,13,,
coal_biomass,supercritical,43,2000,1285.6,39.56,8452820.00,13,,
coal_biomass,supercritical,43,2100,1349.6,39.33,8873620.00,13,,
coal_biomass,supercritical,43,2200,1414.4,39.11,9299680.00,13,,
coal_biomass,supercritical,43,2300,1478.4,38.91,9720480.00,13,,
coal_biomass,supercritical,43,2400,1542.4,38.72,10141280.00,13,,
coal_biomass,supercritical,43,2500,1607.2,38.55,10567340.00,13,,
coal_biomass,supercritical,47,100,64.336,89.54,423009.20,14,,
coal_biomass,supercritical,47,200,128.64,67.65,845808.00,14,,
coal_biomass,supercritical,47,300,192.88,59.15,1268186.00,14,,
coal_biomass,supercritical,47,400,257.12,54.39,1690564.00,14,,
coal_biomass,supercritical,47,500,321.44,51.25,2113468.00,14,,
coal_biomass,supercritical,47,600,385.68,48.98,2535846.00,14,,
