primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,age
anthracite,subcritical,37,500,320.4,56.25,2106630.00,11
anthracite,subcritical,37,600,384.5,54.21,2528087.50,11
anthracite,subcritical,37,700,448.6,52.64,2949545.00,11
anthracite,subcritical,37,800,512.6,51.38,3370345.00,11
anthracite,subcritical,37,900,576.7,50.33,3791802.50,11
anthracite,subcritical,37,1000,640.8,49.44,4213260.00,11
anthracite,subcritical,37,1100,704.8,48.67,4634060.00,11
anthracite,subcritical,37,1200,768.9,47.99,5055517.50,11
anthracite,subcritical,37,1300,833,47.38,5476975.00,11
anthracite,subcritical,37,1400,897,46.89,5897775.00,11
anthracite,subcritical,37,1500,961.1,46.53,6319232.50,11
anthracite,subcritical,37,1600,1025,46.21,6739375.00,11
anthracite,subcritical,37,1700,1089,45.93,7160175.00,11
anthracite,subcritical,37,1800,1153,45.68,7580975.00,11
anthracite,subcritical,37,1900,1217,45.46,8001775.00,11
anthracite,subcritical,37,2000,1281,45.26,8422575.00,11
anthracite,subcritical,37,2100,1346,45.07,8849950.00,11
anthracite,subcritical,37,2200,1410,44.9,9270750.00,11
anthracite,subcritical,37,2300,1474,44.75,9691550.00,11
anthracite,subcritical,37,2400,1538,44.6,10112350.00,11
anthracite,subcritical,37,2500,1602,44.47,10533150.00,11
anthracite,subcritical,40,100,64.12,90.04,421589.00,12
anthracite,subcritical,40,200,128.2,70.24,842915.00,12
anthracite,subcritical,40,300,192.3,62.61,1264372.50,12
anthracite,subcritical,40,400,256.3,58.36,1685172.50,12
anthracite,subcritical,40,500,320.4,55.57,2106630.00,12
anthracite,subcritical,40,600,384.5,53.55,2528087.50,12
anthracite,subcritical,40,700,448.6,52.01,2949545.00,12
anthracite,subcritical,40,800,512.6,50.76,3370345.00,12
anthracite,subcritical,40,900,576.7,49.73,3791802.50,12
anthracite,subcritical,40,1000,640.8,48.86,4213260.00,12
anthracite,subcritical,40,1100,704.8,48.1,4634060.00,12
anthracite,subcritical,40,1200,768.9,47.42,5055517.50,12
anthracite,subcritical,40,1300,833,46.82,5476975.00,12
anthracite,subcritical,40,1400,897,46.34,5897775.00,12
anthracite,subcritical,40,1500,961.1,45.98,6319232.50,12
anthracite,subcritical,40,1600,1025,45.67,6739375.00,12
anthracite,subcritical,40,1700,1089,45.4,7160175.00,12
anthracite,subcritical,40,1800,1153,45.15,7580975.00,12
anthracite,subcritical,40,1900,1217,44.93,8001775.00,12
anthracite,subcritical,40,2000,1281,44.73,8422575.00,12
anthracite,subcritical,40,2100,1346,44.55,8849950.00,12
anthracite,subcritical,40,2200,1410,44.38,9270750.00,12
anthracite,subcritical,40,2300,1474,44.23,9691550.00,12
anthracite,subcritical,40,2400,1538,44.08,10112350.00,12
anthracite,subcritical,40,2500,1602,43.94,10533150.00,12
anthracite,subcritical,43,100,64.12,89.05,421589.00,13
anthracite,subcritical,43,200,128.2,69.4,842915.00,13
anthracite,subcritical,43,300,192.3,61.85,1264372.50,13
anthracite,subcritical,43,400,256.3,57.65,1685172.50,13
anthracite,subcritical,43,500,320.4,54.89,2106630.00,13
anthracite,subcritical,43,600,384.5,52.9,2528087.50,13
anthracite,subcritical,43,700,448.6,51.37,2949545.00,13
anthracite,subcritical,43,800,512.6,50.15,3370345.00,13
anthracite,subcritical,43,900,576.7,49.13,3791802.50,13
anthracite,subcritical,43,1000,640.8,48.27,4213260.00,13
anthracite,subcritical,43,1100,704.8,47.52,4634060.00,13
anthracite,subcritical,43,1200,768.9,46.86,5055517.50,13
anthracite,subcritical,43,1300,833,46.26,5476975.00,13
anthracite,subcritical,43,1400,897,45.78,5897775.00,13
anthracite,subcritical,43,1500,961.1,45.44,6319232.50,13
anthracite,subcritical,43,1600,1025,45.13,6739375.00,13
anthracite,subcritical,43,1700,1089,44.86,7160175.00,13
anthracite,subcritical,43,1800,1153,44.62,7580975.00,13
anthracite,subcritical,43,1900,1217,44.4,8001775.00,13
anthracite,subcritical,43,2000,1281,44.2,8422575.00,13
anthracite,subcritical,43,2100,1346,44.02,8849950.00,13
anthracite,subcritical,43,2200,1410,43.86,9270750.00,13
anthracite,subcritical,43,2300,1474,43.7,9691550.00,13
anthracite,subcritical,43,2400,1538,43.56,10112350.00,13
anthracite,subcritical,43,2500,1602,43.42,10533150.00,13
anthracite,subcritical,47,100,64.12,87.74,421589.00,14
anthracite,subcritical,47,200,128.2,68.29,842915.00,14
anthracite,subcritical,47,300,192.3,60.84,1264372.50,14
anthracite,subcritical,47,400,256.3,56.7,1685172.50,14
anthracite,subcritical,47,500,320.4,53.98,2106630.00,14
anthracite,subcritical,47,600,384.5,52.03,2528087.50,14
anthracite,subcritical,47,700,448.6,50.53,2949545.00,14
anthracite,subcritical,47,800,512.6,49.33,3370345.00,14
