primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,age
coal,ultrasupercritical,27.00,2500.00,1738.00,42.29,11427350.00,8.00
coal,ultrasupercritical,30.00,100.00,69.57,98.15,457422.75,9.00
coal,ultrasupercritical,30.00,200.00,139.10,74.98,914582.50,9.00
coal,ultrasupercritical,30.00,300.00,208.60,65.82,1371545.00,9.00
coal,ultrasupercritical,30.00,400.00,278.10,60.62,1828507.50,9.00
coal,ultrasupercritical,30.00,500.00,347.60,57.16,2285470.00,9.00
coal,ultrasupercritical,30.00,600.00,417.10,54.65,2742432.50,9.00
coal,ultrasupercritical,30.00,700.00,486.60,52.71,3199395.00,9.00
coal,ultrasupercritical,30.00,800.00,556.10,51.15,3656357.50,9.00
coal,ultrasupercritical,30.00,900.00,625.60,49.86,4113320.00,9.00
coal,ultrasupercritical,30.00,1000.00,695.10,48.77,4570282.50,9.00
coal,ultrasupercritical,30.00,1100.00,764.60,47.83,5027245.00,9.00
coal,ultrasupercritical,30.00,1200.00,834.10,47.00,5484207.50,9.00
coal,ultrasupercritical,30.00,1300.00,903.60,46.27,5941170.00,9.00
coal,ultrasupercritical,30.00,1400.00,973.10,45.61,6398132.50,9.00
coal,ultrasupercritical,30.00,1500.00,1043.00,45.01,6857725.00,9.00
coal,ultrasupercritical,30.00,1600.00,1112.00,44.47,7311400.00,9.00
coal,ultrasupercritical,30.00,1700.00,1182.00,43.97,7771650.00,9.00
coal,ultrasupercritical,30.00,1800.00,1251.00,43.51,8225325.00,9.00
coal,ultrasupercritical,30.00,1900.00,1321.00,43.16,8685575.00,9.00
coal,ultrasupercritical,30.00,2000.00,1390.00,42.84,9139250.00,9.00
coal,ultrasupercritical,30.00,2100.00,1460.00,42.55,9599500.00,9.00
coal,ultrasupercritical,30.00,2200.00,1529.00,42.29,10053175.00,9.00
coal,ultrasupercritical,30.00,2300.00,1599.00,42.04,10513425.00,9.00
coal,ultrasupercritical,30.00,2400.00,1668.00,41.82,10967100.00,9.00
