primary_fuel,generation_technology,capacity_MW,amortization_rate,CO2_emission_rate_ton_hr,marginal_cost_MWh,annual_emission_ton,age
natural_gas,CCGT,400,50,153.64,35.472,1009414.8,15
natural_gas,CCGT,400,53,153.64,35.244,1009414.8,16
natural_gas,CCGT,400,57,153.64,34.944,1009414.8,17
natural_gas,CCGT,400,60,153.64,34.716,1009414.8,18
natural_gas,CCGT,400,63,153.64,34.494,1009414.8,19
natural_gas,CCGT,400,67,153.64,34.188,1009414.8,20
natural_gas,CCGT,400,70,153.64,33.966,1009414.8,21
natural_gas,CCGT,400,73,153.64,33.738,1009414.8,22
natural_gas,CCGT,400,77,153.64,33.438,1009414.8,23
natural_gas,CCGT,400,80,153.64,33.21,1009414.8,24
natural_gas,CCGT,400,83,153.64,32.982,1009414.8,25
natural_gas,CCGT,400,87,153.64,32.682,1009414.8,26
natural_gas,CCGT,400,90,153.64,32.46,1009414.8,27
natural_gas,CCGT,400,93,153.64,32.232,1009414.8,28
natural_gas,CCGT,400,97,153.64,31.932,1009414.8,29
natural_gas,CCGT,400,100,153.64,31.704,1009414.8,30
natural_gas,CCGT,500,3,178.69,38.412,1173993.3,1
natural_gas,CCGT,500,7,178.69,38.112,1173993.3,2
natural_gas,CCGT,500,10,178.69,37.89,1173993.3,3
natural_gas,CCGT,500,13,178.69,37.662,1173993.3,4
natural_gas,CCGT,500,17,178.69,37.362,1173993.3,5
natural_gas,CCGT,500,20,178.69,37.134,1173993.3,6
natural_gas,CCGT,500,23,178.69,36.906,1173993.3,7
natural_gas,CCGT,500,27,178.69,36.606,1173993.3,8
natural_gas,CCGT,500,30,178.69,36.378,1173993.3,9
natural_gas,CCGT,500,33,178.69,36.156,1173993.3,10
natural_gas,CCGT,500,37,178.69,35.85,1173993.3,11
natural_gas,CCGT,500,40,178.69,35.628,1173993.3,12
natural_gas,CCGT,500,43,178.69,35.4,1173993.3,13
natural_gas,CCGT,500,47,178.69,35.1,1173993.3,14
natural_gas,CCGT,500,50,178.69,34.872,1173993.3,15
natural_gas,CCGT,500,53,178.69,34.644,1173993.3,16
natural_gas,CCGT,500,57,178.69,34.344,1173993.3,17
natural_gas,CCGT,500,60,178.69,34.116,1173993.3,18
natural_gas,CCGT,500,63,178.69,33.894,1173993.3,19
natural_gas,CCGT,500,67,178.69,33.588,1173993.3,20
natural_gas,CCGT,500,70,178.69,33.366,1173993.3,21
natural_gas,CCGT,500,73,178.69,33.138,1173993.3,22
natural_gas,CCGT,500,77,178.69,32.838,1173993.3,23
natural_gas,CCGT,500,80,178.69,32.61,1173993.3,24
natural_gas,CCGT,500,83,178.69,32.382,1173993.3,25
natural_gas,CCGT,500,87,178.69,32.082,1173993.3,26
natural_gas,CCGT,500,90,178.69,31.86,1173993.3,27
natural_gas,CCGT,500,93,178.69,31.632,1173993.3,28
natural_gas,CCGT,500,97,178.69,31.332,1173993.3,29
natural_gas,CCGT,500,100,178.69,31.104,1173993.3,30
natural_gas,CCGT,1000,3,357.38,37.764,2347986.6,1
natural_gas,CCGT,1000,7,357.38,37.47,2347986.6,2
natural_gas,CCGT,1000,10,357.38,37.248,2347986.6,3
natural_gas,CCGT,1000,13,357.38,37.032,2347986.6,4
natural_gas,CCGT,1000,17,357.38,36.738,2347986.6,5
natural_gas,CCGT,1000,20,357.38,36.516,2347986.6,6
natural_gas,CCGT,1000,23,357.38,36.294,2347986.6,7
natural_gas,CCGT,1000,27,357.38,36,2347986.6,8
natural_gas,CCGT,1000,30,357.38,35.778,2347986.6,9
natural_gas,CCGT,1000,33,357.38,35.556,2347986.6,10
natural_gas,CCGT,1000,37,357.38,35.262,2347986.6,11
natural_gas,CCGT,1000,40,357.38,35.04,2347986.6,12
natural_gas,CCGT,1000,43,357.38,34.818,2347986.6,13
natural_gas,CCGT,1000,47,357.38,34.524,2347986.6,14
natural_gas,CCGT,1000,50,357.38,34.308,2347986.6,15
natural_gas,CCGT,1000,53,357.38,34.086,2347986.6,16
natural_gas,CCGT,1000,57,357.38,33.792,2347986.6,17
natural_gas,CCGT,1000,60,357.38,33.57,2347986.6,18
natural_gas,CCGT,1000,63,357.38,33.348,2347986.6,19
natural_gas,CCGT,1000,67,357.38,33.054,2347986.6,20
natural_gas,CCGT,1000,70,357.38,32.832,2347986.6,21
natural_gas,CCGT,1000,73,357.38,32.61,2347986.6,22
natural_gas,CCGT,1000,77,357.38,32.316,2347986.6,23
natural_gas,CCGT,1000,80,357.38,32.094,2347986.6,24
natural_gas,CCGT,1000,83,357.38,31.878,2347986.6,25
natural_gas,CCGT,1000,87,357.38,31.584,2347986.6,26
natural_gas,CCGT,1000,90,357.38,31.362,2347986.6,27
natural_gas,CCGT,1000,93,357.38,31.14,2347986.6,28
natural_gas,CCGT,1000,97,357.38,30.846,2347986.6,29
natural_gas,CCGT,1000,100,357.38,30.624,2347986.6,30
natural_gas,CCGT,1500,3,537.74,37.518,3532951.8,1
natural_gas,CCGT,1500,7,537.74,37.224,3532951.8,2
natural_gas,CCGT,1500,10,537.74,37.008,3532951.8,3
natural_gas,CCGT,1500,13,537.74,36.792,3532951.8,4
natural_gas,CCGT,1500,17,537.74,36.498,3532951.8,5
natural_gas,CCGT,1500,20,537.74,36.282,3532951.8,6
natural_gas,CCGT,1500,23,537.74,36.06,3532951.8,7
natural_gas,CCGT,1500,27,537.74,35.772,3532951.8,8
natural_gas,CCGT,1500,30,537.74,35.55,3532951.8,9
natural_gas,CCGT,1500,33,537.74,35.334,3532951.8,10
natural_gas,CCGT,1500,37,537.74,35.046,3532951.8,11
natural_gas,CCGT,1500,40,537.74,34.824,3532951.8,12
natural_gas,CCGT,1500,43,537.74,34.608,3532951.8,13
natural_gas,CCGT,1500,47,537.74,34.314,3532951.8,14
natural_gas,CCGT,1500,50,537.74,34.098,3532951.8,15
natural_gas,CCGT,1500,53,537.74,33.882,3532951.8,16
natural_gas,CCGT,1500,57,537.74,33.588,3532951.8,17
natural_gas,CCGT,1500,60,537.74,33.372,3532951.8,18
natural_gas,CCGT,1500,63,537.74,33.15,3532951.8,19
natural_gas,CCGT,1500,67,537.74,32.862,3532951.8,20
natural_gas,CCGT,1500,70,537.74,32.64,3532951.8,21
natural_gas,CCGT,1500,73,537.74,32.424,3532951.8,22
natural_gas,CCGT,1500,77,537.74,32.136,3532951.8,23
natural_gas,CCGT,1500,80,537.74,31.914,3532951.8,24
natural_gas,CCGT,1500,83,537.74,31.698,3532951.8,25
natural_gas,CCGT,1500,87,537.74,31.404,3532951.8,26
natural_gas,CCGT,1500,90,537.74,31.188,3532951.8,27
natural_gas,CCGT,1500,93,537.74,30.972,3532951.8,28
natural_gas,CCGT,1500,97,537.74,30.678,3532951.8,29
natural_gas,CCGT,1500,100,537.74,30.462,3532951.8,30
natural_gas,CCGT,2000,3,716.43,37.38,4706945.1,1
natural_gas,CCGT,2000,7,716.43,37.092,4706945.1,2
natural_gas,CCGT,2000,10,716.43,36.876,4706945.1,3
natural_gas,CCGT,2000,13,716.43,36.654,4706945.1,4
natural_gas,CCGT,2000,17,716.43,36.366,4706945.1,5
natural_gas,CCGT,2000,20,716.43,36.15,4706945.1,6
natural_gas,CCGT,2000,23,716.43,35.934,4706945.1,7
natural_gas,CCGT,2000,27,716.43,35.646,4706945.1,8
natural_gas,CCGT,2000,30,716.43,35.43,4706945.1,9
natural_gas,CCGT,2000,33,716.43,35.214,4706945.1,10
natural_gas,CCGT,2000,37,716.43,34.926,4706945.1,11
natural_gas,CCGT,2000,40,716.43,34.71,4706945.1,12
natural_gas,CCGT,2000,43,716.43,34.494,4706945.1,13
