primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,age
anthracite,supercritical,20,1700,1029,49.2,6765675.00,6
anthracite,supercritical,20,1800,1090,48.9,7166750.00,6
anthracite,supercritical,20,1900,1150,48.62,7561250.00,6
anthracite,supercritical,20,2000,1211,48.37,7962325.00,6
anthracite,supercritical,20,2100,1271,48.15,8356825.00,6
anthracite,supercritical,20,2200,1332,47.95,8757900.00,6
anthracite,supercritical,20,2300,1392,47.76,9152400.00,6
anthracite,supercritical,20,2400,1453,47.59,9553475.00,6
anthracite,supercritical,20,2500,1513,47.43,9947975.00,6
anthracite,supercritical,23,100,60.58,97.05,398313.50,7
anthracite,supercritical,23,200,121.1,76.12,796232.50,7
anthracite,supercritical,23,300,181.6,67.9,1194020.00,7
anthracite,supercritical,23,400,242.2,63.26,1592465.00,7
anthracite,supercritical,23,500,302.7,60.18,1990252.50,7
anthracite,supercritical,23,600,363.2,57.94,2388040.00,7
anthracite,supercritical,23,700,423.7,56.22,2785827.50,7
anthracite,supercritical,23,800,484.3,54.84,3184272.50,7
anthracite,supercritical,23,900,544.8,53.69,3582060.00,7
anthracite,supercritical,23,1000,605.3,52.71,3979847.50,7
anthracite,supercritical,23,1100,665.8,51.87,4377635.00,7
anthracite,supercritical,23,1200,726.4,51.12,4776080.00,7
anthracite,supercritical,23,1300,786.9,50.46,5173867.50,7
anthracite,supercritical,23,1400,847.4,49.86,5571655.00,7
anthracite,supercritical,23,1500,907.9,49.32,5969442.50,7
anthracite,supercritical,23,1600,968.5,48.94,6367887.50,7
anthracite,supercritical,23,1700,1029,48.6,6765675.00,7
anthracite,supercritical,23,1800,1090,48.3,7166750.00,7
anthracite,supercritical,23,1900,1150,48.03,7561250.00,7
anthracite,supercritical,23,2000,1211,47.78,7962325.00,7
anthracite,supercritical,23,2100,1271,47.56,8356825.00,7
anthracite,supercritical,23,2200,1332,47.36,8757900.00,7
anthracite,supercritical,23,2300,1392,47.18,9152400.00,7
anthracite,supercritical,23,2400,1453,47.01,9553475.00,7
anthracite,supercritical,23,2500,1513,46.86,9947975.00,7
anthracite,supercritical,27,100,60.58,95.57,398313.50,8
