primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,age
subbituminous,supercritical,27,900,753.8,51.94,4956235,8
subbituminous,supercritical,27,1000,837.6,50.86,5507220,8
subbituminous,supercritical,27,1100,921.4,49.92,6058205,8
subbituminous,supercritical,27,1200,1005,49.09,6607875,8
subbituminous,supercritical,27,1300,1089,48.35,7160175,8
subbituminous,supercritical,27,1400,1173,47.69,7712475,8
subbituminous,supercritical,27,1500,1256,47.08,8258200,8
subbituminous,supercritical,27,1600,1340,46.64,8810500,8
subbituminous,supercritical,27,1700,1424,46.26,9362800,8
subbituminous,supercritical,27,1800,1508,45.91,9915100,8
subbituminous,supercritical,27,1900,1591,45.59,10460825,8
subbituminous,supercritical,27,2000,1675,45.31,11013125,8
subbituminous,supercritical,27,2100,1759,45.05,11565425,8
subbituminous,supercritical,27,2200,1843,44.81,12117725,8
subbituminous,supercritical,27,2300,1926,44.60,12663450,8
subbituminous,supercritical,27,2400,2010,44.40,13215750,8
subbituminous,supercritical,27,2500,2094,44.21,13768050,8
subbituminous,supercritical,30,100,83.83,98.04,551182.25,9
subbituminous,supercritical,30,200,167.6,75.55,1101970,9
subbituminous,supercritical,30,300,251.3,66.66,1652297.5,9
subbituminous,supercritical,30,400,335.1,61.62,2203282.5,9
subbituminous,supercritical,30,500,418.8,58.27,2753610,9
subbituminous,supercritical,30,600,502.6,55.84,3304595,9
subbituminous,supercritical,30,700,586.3,53.96,3854922.5,9
subbituminous,supercritical,30,800,670.1,52.44,4405907.5,9
subbituminous,supercritical,30,900,753.8,51.19,4956235,9
subbituminous,supercritical,30,1000,837.6,50.12,5507220,9
subbituminous,supercritical,30,1100,921.4,49.19,6058205,9
subbituminous,supercritical,30,1200,1005,48.38,6607875,9
subbituminous,supercritical,30,1300,1089,47.65,7160175,9
subbituminous,supercritical,30,1400,1173,47.00,7712475,9
subbituminous,supercritical,30,1500,1256,46.40,8258200,9
subbituminous,supercritical,30,1600,1340,45.97,8810500,9
subbituminous,supercritical,30,1700,1424,45.59,9362800,9
subbituminous,supercritical,30,1800,1508,45.25,9915100,9
