year,coal_power_capacity_GW,gas_power_capacity_GW,oil_power_capacity_GW,coal_power_capacity_existing,gas_power_capacity_existing,oil_power_capacity_existing,coal_power_capacity_new,gas_power_capacity_new,oil_power_capacity_new,coal_annual_emission_intensity_2015,gas_annual_emission_intensity_2015,oil_annual_emission_intensity_2015,coal_lock_emission_intensity_2015,gas_lock_emission_intensity_2015,oil_lock_emission_intensity_2015,coal_power_annual_emission_existing,gas_power_annual_emission_existing,oil_power_annual_emission_existing,coal_power_lock_emission_existing,gas_power_lock_emission_existing,oil_power_lock_emission_existing,coal_power_annual_emission_new,gas_power_annual_emission_new,oil_power_annual_emission_new,coal_power_lock_emission_new,gas_power_lock_emission_new,oil_power_lock_emission_new,coal_annual_emission_overall,gas_annual_emission_overall,oil_annual_emission_overall,coal_power_lock_emission_overall,gas_power_lock_emission_overall,oil_power_lock_emission_overall
2025,2174.6,1764.8,345.9,1967.441584,1573.5092029999998,377.6839355,-7.59,4.3,0.1,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.16588516,3.713129755,0.890385199,132.6905478,43.87929147,8.702380532000001,-0.04,0.01,0.0,-1.42,0.37,0.01,11.26588516,4.183129755,1.390385199,165.3245478,57.58779147,24.182380532000003
2026,2164.6,1777.8,343.6,1957.9586010000003,1570.407758,377.7344607,-0.52,16.1,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.08942425,3.696573044,0.88950589,127.2931003,42.01270133,8.350382838,0.0,0.04,0.0,-0.1,1.39,0.0,11.18942425,4.206573044,1.38950589,158.8578503,56.69770133,23.385382838
2027,2158.8,1791.5,338.5,1956.4547670000002,1570.967575,377.3047244,-4.3,13.14,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.06227926,3.688304361,0.885370526,121.5101466,40.24771997,8.150099378,-0.02,0.03,0.0,-0.8,1.14,0.0,11.14227926,4.228304361,1.385370526,151.30814660000001,55.62446997,22.740099378
2028,2154.6,1808.0,334.1,1943.4969620000002,1564.018079,375.87649139999996,8.76,23.45,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,9.974817138999999,3.6590682869999998,0.8800031159999999,116.043578,38.7493394,7.885473133,0.05,0.06,0.0,1.64,2.03,0.0,11.10481714,4.259068287,1.380003116,146.534828,55.679339399999996,22.030473133
2029,2147.5,1822.7,331.9,1923.515705,1551.115242,372.68627789999994,12.88,27.6,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,9.841367931,3.6201082839999996,0.8702757790000001,112.0653545,38.94516944,8.451787849,0.07,0.07,0.0,2.41,2.39,0.0,11.04136793,4.2901082839999995,1.370275779,143.9788545,57.737669440000005,22.151787849
2030,2145.5,1845.5,324.3,1889.989873,1521.890692,362.9958978,31.53,52.02,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,9.65481127,3.539656252,0.841524808,106.4991543,37.83365322,8.475963812,0.17,0.12,0.0,5.9,4.5,0.0,11.02481127,4.3296562519999995,1.341524808,143.26465430000002,60.53890322,21.730963812
2031,2142.2,1872.1,321.9,1846.315122,1498.519121,356.9784335,40.37,49.97,1.93,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,9.389472753,3.479537217,0.82664851,104.08904390000001,36.04171461,8.169466063,0.21,0.12,0.0,7.56,4.32,0.17,10.96947275,4.389537217,1.32664851,147.2190439,62.36721460999999,21.149466063
2032,2143.0,1895.5,317.6,1827.803152,1487.1850570000001,352.5667642,19.31,34.73,2.09,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,9.271919822000001,3.444547017,0.8131843590000001,99.97836926,34.60744403,8.100648578,0.1,0.08,0.01,3.61,3.0,0.18,10.95191982,4.434547017,1.323184359,145.33386926,63.12519403,20.811398578
2033,2143.9,1917.3,315.2,1729.9690100000003,1421.603028,331.61267589999994,98.73,87.38,16.89,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,8.734464127999999,3.2809627210000003,0.7606211559999999,98.10708132,33.59719864,8.175047075,0.52,0.21,0.04,18.48,7.55,1.5,10.93446413,4.480962721,1.3106211559999998,160.46783132000002,68.78219863999999,21.932047075
2034,2146.6,1946.0,310.6,1678.7385510000001,1368.988316,318.2791309,53.93,81.31,8.37,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,8.458070953,3.141041017,0.7260365870000001,93.9941537,33.34451534,8.197361068,0.28,0.19,0.02,10.09,7.03,0.74,10.93807095,4.531041017,1.2960365870000001,164.50815369999998,74.48801534,22.203111068
2035,2150.0,1977.7,307.0,1639.3259289999999,1337.537052,307.72094100000004,42.81,63.15,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,8.23733872,3.057651955,0.696635606,91.21778525,32.50622228,8.193105277,0.22,0.15,0.0,8.01,5.46,0.0,10.93733872,4.597651955,1.266635606,167.55278525,77.86247228,21.689105277000003
2036,2151.2,2004.7,304.0,1593.797456,1290.462644,299.8481616,46.73,74.07,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,7.985263473,2.930034159,0.677441098,88.49097568,32.36395403,7.9937598229999995,0.25,0.18,0.0,8.75,6.4,0.0,10.93526347,4.650034159,1.247441098,171.18672568,82.73645403,20.980009823000003
2037,2151.2,2034.9,299.2,1563.196616,1267.880437,290.743595,30.6,52.78,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,7.803837247000001,2.8667920110000003,0.65249645,86.63505193,31.60038931,8.04528018,0.16,0.13,0.0,5.73,4.56,0.0,10.91383725,4.716792011,1.22249645,172.45280193000002,84.98913931,20.52178018
2038,2155.6,2063.0,297.0,1544.253068,1250.903999,286.05544449999996,23.34,45.08,2.86,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,7.684452244,2.815622039,0.639124453,84.68097438,31.20112888,8.076017492,0.12,0.11,0.01,4.37,3.9,0.25,10.91445224,4.775622039,1.219124453,172.11747438,86.83212888,20.292767492000003
2039,2159.7,2095.7,293.0,1526.38209,1221.741622,278.4207056,21.97,61.86,5.78,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,7.578078988,2.7332175210000003,0.617006374,82.04966309,31.31415464,8.240136223,0.12,0.15,0.01,4.11,5.35,0.51,10.92807899,4.843217521000001,1.207006374,170.73566309,90.53990464,20.450886223
2040,2164.5,2121.9,290.8,1492.050999,1187.53475,273.2338425,39.13,60.41,3.36,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,7.3766940089999995,2.637759915,0.602021908,80.84082682,31.50542046,8.178670403,0.21,0.14,0.01,7.32,5.22,0.3,10.93669401,4.887759915,1.2020219079999999,173.88357682000003,94.06217045999999,20.160670402999997
2041,2169.0,2150.4,287.9,1474.954692,1167.84106,272.3941559,21.6,48.19,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,7.2718558060000005,2.577191112,0.598883411,79.27854941,31.79877418,8.074794800000001,0.11,0.12,0.0,4.04,4.17,0.0,10.94185581,4.947191112,1.198883411,173.21504941,96.50602418,19.5205448
2042,2173.8,2180.6,285.7,1425.706959,1138.712289,262.6118338,54.05,59.33,2.85,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,6.982381895,2.500798937,0.572445275,80.45130529,31.594110999999998,8.195554963,0.28,0.14,0.01,10.12,5.13,0.25,10.93238189,5.010798937,1.182445275,181.26055528999999,99.307611,19.355054963
2043,2177.8,2210.3,283.1,1385.618972,1106.591868,256.69944469999996,44.09,61.82,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,6.751980445,2.412173859,0.556251714,80.89366301,32.04721016,8.169467068,0.23,0.15,0.0,8.25,5.34,0.0,10.93198045,5.072173858999999,1.1662517140000002,186.45266300999998,102.84871016,18.786467067999997
2044,2183.8,2246.5,280.8,1329.211364,1053.525849,249.9688301,62.41,89.27,0.62,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,6.434229507,2.274585194,0.539600017,82.05088397,33.10206328,8.010141628,0.33,0.21,0.0,11.68,7.72,0.05,10.94422951,5.144585193999999,1.149600017,195.58338397,109.23806328,18.134641628
2045,2189.5,2281.3,279.3,1253.375972,1013.5485199999999,240.14206090000002,81.54,74.78,4.93,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,6.010383502000001,2.173369996,0.513612243,85.91835322,33.21440125,8.048274453,0.43,0.18,0.01,15.26,6.46,0.44,10.950383500000001,5.223369996000001,1.133612243,210.71235322,113.23190124999999,18.069024452999997
2046,2197.4,2317.2,274.9,1211.008531,960.1880602,228.4016207,50.27,89.26,5.07,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,5.773746063,2.032290759,0.483186876,86.56895678,34.77805884,8.313367814,0.26,0.21,0.01,9.41,7.72,0.45,10.97374606,5.292290759,1.1131868759999999,216.39295678000002,119.77555884,18.229367814
2047,2204.9,2350.6,272.7,1163.625661,930.1211366,222.530092,54.88,63.47,5.74,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,5.498391589,1.950608961,0.466791159,89.77180456,35.56571369,8.428238174,0.29,0.15,0.01,10.27,5.49,0.51,10.98839159,5.3606089610000005,1.1067911590000001,225.25055456,123.12021368999999,18.288238174
2048,2212.3,2378.8,269.8,1084.1423220000001,871.7735972000002,209.1964447,86.88,86.55,13.22,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,5.057090961,1.8027029719999998,0.433104456,93.88818520000001,36.82975461,8.722387969,0.46,0.21,0.03,16.26,7.48,1.17,11.00709096,5.422702972000001,1.1031044559999998,240.75493519999998,128.79400461,19.173637968999998
2049,2218.0,2406.3,267.6,1057.057795,854.5854937999999,207.8322425,32.78,44.69,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,4.89082391,1.7528332219999998,0.428246064,97.23411549,37.80406869,8.774077656000001,0.17,0.11,0.0,6.14,3.86,0.0,11.01082391,5.482833222000001,1.098246064,244.96236549,130.37106869000002,18.617327656
2050,2224.8,2436.1,265.4,987.1880502,811.173947,197.1158595,76.67,73.21,3.71,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,4.493115121000001,1.642298726,0.400652127,103.0052319,38.78102403,9.015808836,0.4,0.18,0.01,14.35,6.33,0.33,11.01311512,5.552298726,1.080652127,259.6514819,134.32427402999997,18.581058835999997
