year,coal_power_capacity_GW,coal_power1_capacity_GW,coal_power2_capacity_GW,coal_power_annual_emission_Gt,coal_power_annual_emission1_Gt,coal_power_annual_emission2_Gt,coal_power_lock_emission_Gt,coal_power_lock_emission1_Gt,coal_power_lock_emission2_Gt,gas_power_capacity_GW,gas_power1_capacity_GW,gas_power2_capacity_GW,gas_power_annual_emission_Gt,gas_power_annual_emission1_Gt,gas_power_annual_emission2_Gt,gas_power_lock_emission_Gt,gas_power_lock_emission1_Gt,gas_power_lock_emission2_Gt,oil_power_capacity_GW,oil_power1_capacity_GW,oil_power2_capacity_GW,oil_power_annual_emission_Gt,oil_power_annual_emission1_Gt,oil_power_annual_emission2_Gt,oil_power_lock_emission_Gt,oil_power_lock_emission1_Gt,oil_power_lock_emission2_Gt
2031,1591.1312219858446,1422.0089316027909,169.1222903830536,7.508215157302398,7.467981977963627,0.04023317933877012,78.40438637926744,77.64964338640756,0.7547429928598776,1269.8385229511694,1178.0905599504297,91.74796300073983,2.819316186370798,2.8395951606551835,-0.020278974284385434,27.08552951480451,27.453185931541817,-0.36765641673730853,310.47855380971254,270.61463705701266,39.863916752699886,0.645740928372236,0.6545410997664124,-0.008800171394176375,5.672626410881697,5.833859100138645,-0.161232689256948
2032,1577.0577472207065,1376.7982775186383,200.25946970206806,7.284991602396581,7.233003313863857,0.051988288532724934,71.921428029465,70.91982774353207,1.001600285932929,1260.460299358504,1149.6910392347106,110.76926012379343,2.7459160339074655,2.770394076085672,-0.02447804217820629,24.791237982535392,25.247074825042944,-0.45583684250754675,309.8273623899653,258.0234495368316,51.80391285313373,0.6133615708839284,0.6247987031359326,-0.011437132252004212,5.192508870078437,5.409117737349769,-0.2166088672713326
2033,1547.6096303767752,1248.623476993019,298.986153383756,6.652351211602078,6.56683402161893,0.08551718998314856,66.19776856031514,64.45853244247289,1.7392361178422477,1248.9012901084186,1070.8897301045724,178.01156000384614,2.540833084315323,2.5801792754323647,-0.03934619111704212,22.259089028296263,23.042025147458197,-0.7829361191619348,308.3183229126972,228.6856406649774,79.63268224771981,0.5379415627463405,0.5555228488708779,-0.01758128612453737,4.602340897959218,4.95412115042628,-0.35178025246706207
2034,1519.1386165344181,1187.5226239699464,331.615992564472,6.349072380638403,6.2492025123899655,0.09986986824843784,60.61344556520237,58.54409784725847,2.0693477179439017,1241.723575040876,983.1934076404866,258.5301674003896,2.313646527456323,2.370773277377516,-0.057126749921192696,19.706523061024726,20.898412032682124,-1.1918889716573977,307.22854366458137,208.36043998149694,98.86810368308441,0.48514519923011906,0.5069747326079054,-0.021829533377786314,4.127026522639527,4.576516461931315,-0.4494899392917879
2035,1493.855462610515,1125.843610753731,368.0118518567838,6.051777580689496,5.935860560685935,0.11591702000356076,55.540898612665764,53.08641925259891,2.454479360066852,1238.956738457431,930.4685471659344,308.48819129149655,2.1769723733219037,2.2451293075777516,-0.06815693425584775,17.431636273085115,18.888249668774233,-1.4566133956891185,304.5613349727399,189.39857841196223,115.16275656077771,0.435561454250268,0.4609915368582111,-0.02543008260794314,3.5956412448542374,4.131544365669789,-0.5359031208155515
2036,1467.1803051642676,1062.189523756695,404.9907814075726,5.7282928426161135,5.605791836539123,0.12250100607699026,50.392479750889024,47.77340073898644,2.6190790119025893,1231.1845198062765,851.0995012012094,380.0850186050672,1.969277187120191,2.053240024368286,-0.08396283724809459,15.067879475626542,16.919640446121832,-1.8517609704952904,304.39779374860257,180.00239171606611,124.39540203253642,0.411318182213796,0.4387864550130019,-0.027468272799205863,3.210080131802775,3.796938007399895,-0.5868578755971197
2037,1439.7146271991587,1007.1292786114457,432.58534858771316,5.444306439942203,5.314348484989706,0.12995795495249757,45.636701796620585,42.8237421139548,2.8129596826657792,1227.8274059680127,809.9745044884124,417.8529014796001,1.8611098278846958,1.9533895654878037,-0.09227973760310805,13.055156218555181,15.123156598280822,-2.06800037972564,303.6663184551878,161.956361001701,141.70995745348682,0.364821620895653,0.39611538305461774,-0.031293762158964795,2.679098429409253,3.365419028360104,-0.6863205989508518
2038,1415.4662695445104,965.7018298675592,449.764439676951,5.229276400589049,5.095203394313191,0.1340730062758577,41.11477984472306,38.190713776326554,2.924066068396503,1223.8602920072278,769.9159514078298,453.94434059939795,1.7560132821400658,1.8562577681189054,-0.10024448597883932,11.204973941484859,13.488022527355245,-2.283048585870386,303.4135729269754,150.8905670812018,152.52300584577364,0.33636164943270486,0.37004225269829455,-0.03368060326558968,2.303856533869981,3.0546218426997047,-0.7507653088297238
2039,1401.7058114444492,934.4738143398558,467.2319971045934,5.067831223403688,4.92863071329387,0.1392005101098178,36.77121960107971,33.703583425332326,3.0676361757473845,1221.1610766844778,710.062683034992,511.0983936494857,1.6001186928043838,1.7129720676435858,-0.11285337483920205,9.200394000161987,11.836491474122528,-2.636097473960543,302.4516531813671,135.36009774175068,167.09155543961643,0.29513146462108614,0.3320305411101121,-0.03689907648902594,1.9163885597383072,2.7572711188242462,-0.840882559085939
2040,1384.0406238870912,877.8632160652239,506.17740782186735,4.776989090818987,4.626869573619047,0.15011951719994107,32.58300979076325,29.19872240940229,3.3842873813609606,1217.1784661847832,648.3596914268876,568.8187747578957,1.4368532006292982,1.5624377057333037,-0.12558450510400554,7.28856571266638,10.293865964306224,-3.005300251639843,300.9054452440677,128.00520287076995,172.90024237329777,0.2744844208859181,0.3126630569382822,-0.038178636052364025,1.6531069488652013,2.531096735287945,-0.8779897864227438
2041,1370.1954671600092,840.621598019037,529.5738691409722,4.591261834435871,4.432234289601822,0.159027544834049,28.706977341186086,25.055449130801886,3.6515282103841984,1214.7426920234918,599.142683850899,615.600008172593,1.307014407649319,1.442926281757091,-0.13591187410777184,5.544254363478858,8.859375685231688,-3.3151213217528297,300.38657354203167,124.89048592015247,175.49608762187918,0.26637700368496287,0.3051282868788415,-0.03875128319387863,1.4112648161006078,2.3064340167687902,-0.8951692006681821
2042,1341.2236266535292,758.942661178888,582.2809654746412,4.1646382024940785,3.9941985101005755,0.17043969239350262,25.032654980165233,21.027350195437972,4.0053047847272625,1212.9789041403587,556.6807584631076,656.2981456772511,1.194772285819497,1.3396658955444305,-0.14489360972493362,4.012952870283163,7.606507996168007,-3.593555125884845,298.99498639846223,108.928862444339,190.0661239541232,0.2244908420616462,0.2664595466561444,-0.04196870459449816,0.9943405335603064,1.9892497976476935,-0.9949092640873871
2043,1310.2460244578872,692.6837845218761,617.5622399360112,3.8266983523806855,3.6476783957190335,0.17901995666165196,21.596370086662873,17.31649684535483,4.279873241308041,1208.6497346796014,501.7539806871679,706.8957539924335,1.0497625457192483,1.205817220896275,-0.15605467517702684,2.5026134976476064,6.453322717999433,-3.9507092203518264,298.4181318987775,100.05006071207768,198.3680711866998,0.2004318226805467,0.24423329138704125,-0.043801468706494553,0.6732341493127809,1.7267918649840528,-1.0535577156712719
2044,1295.962644399697,611.2675361771251,684.6951082225719,3.4247588847948314,3.2184190216760866,0.20633986311874522,19.005296884712624,13.823866730320505,5.181430154392119,1206.330888948262,421.01983052215866,785.3110584261035,0.8397966960759209,1.0131487527215524,-0.1733520566456313,0.8141884666720338,5.335711275487812,-4.521522808815778,297.3342996042667,94.05255800143765,203.28174160282904,0.18416092855153773,0.22904649813183528,-0.04488556958029754,0.430280325892241,1.5196133703990116,-1.0893330445067706
2045,1235.284056995395,495.6784606202774,739.6055963751178,2.833021688421441,2.6209687439467713,0.21205294447466977,16.13085234955882,10.755177429065265,5.375674920493554,1203.413313304517,371.23931244037647,832.1740008641406,0.7088825405146492,0.8925603501371413,-0.18367780962249214,-0.4634521614521038,4.409146248576939,-4.872598410029044,296.7024357837357,81.8390020351739,214.86343374856182,0.1506791121850947,0.1981054051366233,-0.04742629295152861,0.11132951844394498,1.2870471575725717,-1.1757176391286268
2046,1219.549752630847,439.1390582929965,780.4106943378505,2.547305732004379,2.31886547959184,0.22844025241253876,14.28218894961938,8.33295825130041,5.949230698318971,1200.8620194895377,286.41125845077863,914.4507610387591,0.4867304420758367,0.688556093201273,-0.20182565112543624,-2.0254375301631495,3.482335332468937,-5.507772862632087,295.9992085199447,63.794458059210065,232.2047504607347,0.10399831142154753,0.15525010155307906,-0.051251790131531534,-0.26949831420316067,1.0401117262255684,-1.3096100404287292
2047,1194.8091609264104,361.0125537223904,833.79660720402,2.146290698705132,1.9046620531042195,0.2416286456009126,12.547668903117033,6.123656050016605,6.424012853100431,1197.2414644898156,238.109955446704,959.1315090431116,0.3594303830902336,0.5710864089677802,-0.21165602587754656,-3.0331306115069667,2.8285357422010873,-5.8616663537080544,294.9570049006689,54.95728500218369,239.9997198984852,0.08005578867313047,0.13301996394585053,-0.05296417527272004,-0.46694115685560683,0.9043147486559089,-1.3712559055115157
2048,1162.8569107618616,251.81883826378711,911.0380724980746,1.6013427952256352,1.3301805996847162,0.27116219554091886,11.471320592820703,3.9545663919400407,7.516754200880661,1195.615736680602,161.25134878528823,1034.3643878953137,0.15797266079635922,0.38621340737245224,-0.22824074657609306,-4.25444642276318,2.2208545967910966,-6.475301019554276,294.5615324859366,37.90142206305069,256.6601104228859,0.03520851234420687,0.09184603901750175,-0.05663752667329489,-0.7185820793727707,0.7885878279600141,-1.5071699073327849
2049,1135.275846261391,195.30766881217986,939.9681774492112,1.3091127356021355,1.031441980769653,0.2776707548324822,10.17082394063275,2.4067444866726837,7.7640794539600675,1193.499754731348,123.76803871618093,1069.731716015167,0.060433300327771354,0.296454668990597,-0.23602136866282564,-5.039464002436028,1.7315006564140876,-6.770964658850115,293.71111812042193,34.31540903923716,259.3957090811848,0.025427379858844176,0.0826690399310207,-0.057241660072176535,-0.84030553681801,0.6898214396722776,-1.5301269764902876
2050,1107.382992612177,91.77157613530552,1015.6114164768715,0.7810259317100304,0.48179635559017703,0.29922957611985346,9.837755859669823,1.2328823755022769,8.604873484167546,1191.4992924357816,65.8926922186777,1125.6066002171037,-0.09116831563658422,0.15715673855210058,-0.24832505418868478,-6.043542980687806,1.2072654136708156,-7.2508083943586215,293.5550105882907,19.78551464382688,273.76949594446387,-0.013207539539603347,0.04720939472820553,-0.06041693426780888,-1.12790220016417,0.5260604699557787,-1.6539626701199488
