Old IRI,New IRI
http://www.theworldavatar.com/kb/ontospecies/s00004293.owl/Species_7258066225720500,http://www.theworldavatar.com/kb/ontospecies/Species_78b569d8-2592-4ff3-a479-565d29c7536d
http://www.theworldavatar.com/kb/ontospecies/s00004294.owl/Species_7258066305465100,http://www.theworldavatar.com/kb/ontospecies/Species_b34c3f37-ce40-421d-bc8e-d64d614e1e37
http://www.theworldavatar.com/kb/ontospecies/s00004295.owl/Species_7258066390537300,http://www.theworldavatar.com/kb/ontospecies/Species_9826b2e4-4e2f-49ae-861d-4a549316c748
http://www.theworldavatar.com/kb/ontospecies/s00004296.owl/Species_7258066478462200,http://www.theworldavatar.com/kb/ontospecies/Species_e7976e7f-0170-4266-8120-fee624d1e4b3
http://www.theworldavatar.com/kb/ontospecies/s00004297.owl/Species_7258066562539400,http://www.theworldavatar.com/kb/ontospecies/Species_404f4b0a-1b43-4867-b0f8-1f9f62517eba
http://www.theworldavatar.com/kb/ontospecies/s00004298.owl/Species_7258066642504800,http://www.theworldavatar.com/kb/ontospecies/Species_89a9c49b-c64c-41a5-b741-6843f3a7e910
http://www.theworldavatar.com/kb/ontospecies/s00004299.owl/Species_7258066719572500,http://www.theworldavatar.com/kb/ontospecies/Species_44698b0e-35ab-4328-8a0b-fcf32b6ff8f5
http://www.theworldavatar.com/kb/ontospecies/s00004363.owl/Species_7258072190581400,http://www.theworldavatar.com/kb/ontospecies/Species_12238c7c-98b6-49e3-8c14-31c1edc97a9c
http://www.theworldavatar.com/kb/ontospecies/s00004364.owl/Species_7258072273453600,http://www.theworldavatar.com/kb/ontospecies/Species_03abefa5-5453-4e4d-b900-bbc0def43c51
http://www.theworldavatar.com/kb/ontospecies/s00004365.owl/Species_7258072378425400,http://www.theworldavatar.com/kb/ontospecies/Species_15ffd444-51f3-4e30-9960-82fe7e258475
http://www.theworldavatar.com/kb/ontospecies/s00004371.owl/Species_7258072915147100,http://www.theworldavatar.com/kb/ontospecies/Species_6eeda496-71c9-406d-985f-923c4c029862
