primary_fuel,generation_technology,capacity_MW,amortization_rate,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,carbon_price_ton,capacity_factor,bio-cofiring,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,biomass_emission_rate_ton_h,beccs_emission_rate_ton_h,beccs_annual_emission_ton,beccs_plant_LCOE_MWh,beccs_carbon_LCOE_MWh,beccs_LCOE_MWh,age
natural_gas,CCGT,600,13,214,61.72,1405980,10,0.75,15,58.84,4.755555556,63.59555556,12,181.9,-20.1,-132157.5,83.35666667,-20.61538462,62.74128205,4
natural_gas,CCGT,600,17,214,61.23,1405980,10,0.75,15,58.37,4.755555556,63.12555556,12,181.9,-20.1,-132157.5,82.69083333,-15.76470588,66.92612745,5
natural_gas,CCGT,600,20,214,60.86,1405980,10,0.75,15,58.02,4.755555556,62.77555556,12,181.9,-20.1,-132157.5,82.195,-13.4,68.795,6
natural_gas,CCGT,600,23,214,60.49,1405980,10,0.75,15,57.66,4.755555556,62.41555556,12,181.9,-20.1,-132157.5,81.685,-11.65217391,70.03282609,7
natural_gas,CCGT,600,27,214,60,1405980,10,0.75,15,57.2,4.755555556,61.95555556,12,181.9,-20.1,-132157.5,81.03333333,-9.925925926,71.10740741,8
natural_gas,CCGT,600,30,214,59.63,1405980,10,0.75,15,56.84,4.755555556,61.59555556,12,181.9,-20.1,-132157.5,80.52333333,-8.933333333,71.59,9
natural_gas,CCGT,600,33,214,59.26,1405980,10,0.75,15,56.49,4.755555556,61.24555556,12,181.9,-20.1,-132157.5,80.0275,-8.121212121,71.90628788,10
natural_gas,CCGT,600,37,214,58.77,1405980,10,0.75,15,56.02,4.755555556,60.77555556,12,181.9,-20.1,-132157.5,79.36166667,-7.243243243,72.11842342,11
natural_gas,CCGT,600,40,214,58.4,1405980,10,0.75,15,55.67,4.755555556,60.42555556,12,181.9,-20.1,-132157.5,78.86583333,-6.7,72.16583333,12
natural_gas,CCGT,600,43,214,58.03,1405980,10,0.75,15,55.32,4.755555556,60.07555556,12,181.9,-20.1,-132157.5,78.37,-6.23255814,72.13744186,13
natural_gas,CCGT,600,47,214,57.54,1405980,10,0.75,15,54.85,4.755555556,59.60555556,12,181.9,-20.1,-132157.5,77.70416667,-5.70212766,72.00203901,14
natural_gas,CCGT,600,50,214,57.18,1405980,10,0.75,15,54.51,4.755555556,59.26555556,12,181.9,-20.1,-132157.5,77.2225,-5.36,71.8625,15
natural_gas,CCGT,600,53,214,56.81,1405980,10,0.75,15,54.16,4.755555556,58.91555556,12,181.9,-20.1,-132157.5,76.72666667,-5.056603774,71.67006289,16
natural_gas,CCGT,600,57,214,56.32,1405980,10,0.75,15,53.69,4.755555556,58.44555556,12,181.9,-20.1,-132157.5,76.06083333,-4.701754386,71.35907895,17
natural_gas,CCGT,600,60,214,55.95,1405980,10,0.75,15,53.34,4.755555556,58.09555556,12,181.9,-20.1,-132157.5,75.565,-4.466666667,71.09833333,18
natural_gas,CCGT,600,63,214,55.58,1405980,10,0.75,15,52.98,4.755555556,57.73555556,12,181.9,-20.1,-132157.5,75.055,-4.253968254,70.80103175,19
natural_gas,CCGT,600,67,214,55.09,1405980,10,0.75,15,52.52,4.755555556,57.27555556,12,181.9,-20.1,-132157.5,74.40333333,-4,70.40333333,20
natural_gas,CCGT,600,70,214,54.72,1405980,10,0.75,15,52.16,4.755555556,56.91555556,12,181.9,-20.1,-132157.5,73.89333333,-3.828571429,70.0647619,21
natural_gas,CCGT,600,73,214,54.35,1405980,10,0.75,15,51.81,4.755555556,56.56555556,12,181.9,-20.1,-132157.5,73.3975,-3.671232877,69.72626712,22
natural_gas,CCGT,600,77,214,53.86,1405980,10,0.75,15,51.34,4.755555556,56.09555556,12,181.9,-20.1,-132157.5,72.73166667,-3.480519481,69.25114719,23
natural_gas,CCGT,600,80,214,53.49,1405980,10,0.75,15,50.99,4.755555556,55.74555556,12,181.9,-20.1,-132157.5,72.23583333,-3.35,68.88583333,24
natural_gas,CCGT,600,83,214,53.13,1405980,10,0.75,15,50.65,4.755555556,55.40555556,12,181.9,-20.1,-132157.5,71.75416667,-3.228915663,68.525251,25
natural_gas,CCGT,600,87,214,52.64,1405980,10,0.75,15,50.18,4.755555556,54.93555556,12,181.9,-20.1,-132157.5,71.08833333,-3.08045977,68.00787356,26
natural_gas,CCGT,600,90,214,52.27,1405980,10,0.75,15,49.83,4.755555556,54.58555556,12,181.9,-20.1,-132157.5,70.5925,-2.977777778,67.61472222,27
natural_gas,CCGT,600,93,214,51.9,1405980,10,0.75,15,49.48,4.755555556,54.23555556,12,181.9,-20.1,-132157.5,70.09666667,-2.88172043,67.21494624,28
natural_gas,CCGT,600,97,214,51.41,1405980,10,0.75,15,49.01,4.755555556,53.76555556,12,181.9,-20.1,-132157.5,69.43083333,-2.762886598,66.66794674,29
natural_gas,CCGT,600,100,214,51.04,1405980,10,0.75,15,48.66,4.755555556,53.41555556,12,181.9,-20.1,-132157.5,68.935,-2.68,66.255,30
natural_gas,CCGT,900,3,322,62.53,2115540,10,0.75,15,59.61,4.77037037,64.38037037,18.06,273.7,-30.24,-198828,84.4475,-134.4,-49.9525,1
natural_gas,CCGT,900,7,322,62.04,2115540,10,0.75,15,59.14,4.77037037,63.91037037,18.06,273.7,-30.24,-198828,83.78166667,-57.6,26.18166667,2
natural_gas,CCGT,900,10,322,61.68,2115540,10,0.75,15,58.8,4.77037037,63.57037037,18.06,273.7,-30.24,-198828,83.3,-40.32,42.98,3
natural_gas,CCGT,900,13,322,61.32,2115540,10,0.75,15,58.46,4.77037037,63.23037037,18.06,273.7,-30.24,-198828,82.81833333,-31.01538462,51.80294872,4
natural_gas,CCGT,900,17,322,60.83,2115540,10,0.75,15,57.99,4.77037037,62.76037037,18.06,273.7,-30.24,-198828,82.1525,-23.71764706,58.43485294,5
natural_gas,CCGT,900,20,322,60.47,2115540,10,0.75,15,57.65,4.77037037,62.42037037,18.06,273.7,-30.24,-198828,81.67083333,-20.16,61.51083333,6
natural_gas,CCGT,900,23,322,60.1,2115540,10,0.75,15,57.29,4.77037037,62.06037037,18.06,273.7,-30.24,-198828,81.16083333,-17.53043478,63.63039855,7
natural_gas,CCGT,900,27,322,59.62,2115540,10,0.75,15,56.84,4.77037037,61.61037037,18.06,273.7,-30.24,-198828,80.52333333,-14.93333333,65.59,8
natural_gas,CCGT,900,30,322,59.25,2115540,10,0.75,15,56.48,4.77037037,61.25037037,18.06,273.7,-30.24,-198828,80.01333333,-13.44,66.57333333,9
natural_gas,CCGT,900,33,322,58.89,2115540,10,0.75,15,56.14,4.77037037,60.91037037,18.06,273.7,-30.24,-198828,79.53166667,-12.21818182,67.31348485,10
natural_gas,CCGT,900,37,322,58.41,2115540,10,0.75,15,55.68,4.77037037,60.45037037,18.06,273.7,-30.24,-198828,78.88,-10.8972973,67.9827027,11
natural_gas,CCGT,900,40,322,58.04,2115540,10,0.75,15,55.33,4.77037037,60.10037037,18.06,273.7,-30.24,-198828,78.38416667,-10.08,68.30416667,12
natural_gas,CCGT,900,43,322,57.68,2115540,10,0.75,15,54.99,4.77037037,59.76037037,18.06,273.7,-30.24,-198828,77.9025,-9.376744186,68.52575581,13
