primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,carbon_price_ton,capacity_factor,bio-cofiring,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,biomass_emission_rate_ton_h,beccs_emission_rate_ton_h,beccs_annual_emission_ton,beccs_plant_LCOE_MWh,beccs_carbon_LCOE_MWh,beccs_LCOE_MWh
lignite,subcritical,13,2500,2294,45.83,15083050,10,0.75,15,34.02,12.23466667,46.25466667,291.8,1949.9,-52.3,-343872.5,57.35603306,-0.278933333,57.07709972
lignite,subcritical,17,100,91.83,105.9,603782.25,10,0.75,15,78.61,12.244,90.854,11.68,78.0555,-2.0945,-13771.3375,132.532562,-0.279266667,132.2532953
lignite,subcritical,17,200,183.6,80.75,1207170,10,0.75,15,59.94,12.24,72.18,23.35,156.06,-4.19,-27549.25,101.0558678,-0.279333333,100.7765344
lignite,subcritical,17,300,275.3,70.77,1810097.5,10,0.75,15,52.53,12.23555556,64.76555556,35.02,234.005,-6.275,-41258.125,88.56297521,-0.278888889,88.28408632
lignite,subcritical,17,400,367.1,65.1,2413682.5,10,0.75,15,48.33,12.23666667,60.56666667,46.7,312.035,-8.365,-54999.875,81.48198347,-0.278833333,81.20315014
lignite,subcritical,17,500,458.8,61.32,3016610,10,0.75,15,45.52,12.23466667,57.75466667,58.36,389.98,-10.46,-68774.5,76.74446281,-0.278933333,76.46552948
lignite,subcritical,17,600,550.6,58.56,3620195,10,0.75,15,43.47,12.23555556,55.70555556,70.04,468.01,-12.55,-82516.25,73.28826446,-0.278888889,73.00937557
lignite,subcritical,17,700,642.3,56.43,4223122.5,10,0.75,15,41.89,12.23428571,54.12428571,81.7,545.955,-14.645,-96290.875,70.62446281,-0.278952381,70.34551043
lignite,subcritical,17,800,734,54.72,4826050,10,0.75,15,40.62,12.23333333,52.85333333,93.37,623.9,-16.73,-109999.75,68.48330579,-0.278833333,68.20447245
lignite,subcritical,17,900,825.8,53.29,5429635,10,0.75,15,39.56,12.23407407,51.79407407,105.04,701.93,-18.83,-123807.25,66.69619835,-0.278962963,66.41723538
lignite,subcritical,17,1000,917.5,52.08,6032562.5,10,0.75,15,38.66,12.23333333,50.89333333,116.71,779.875,-20.915,-137516.125,65.17884298,-0.278866667,64.89997631
lignite,subcritical,17,1100,1009,51.02,6634175,10,0.75,15,37.87,12.23030303,50.10030303,128.35,857.65,-23,-151225,63.84694215,-0.278787879,63.56815427
lignite,subcritical,17,1200,1101,50.09,7239075,10,0.75,15,37.18,12.23333333,49.41333333,140.05,935.85,-25.1,-165032.5,62.68363636,-0.278888889,62.40474747
lignite,subcritical,17,1300,1193,49.26,7843975,10,0.75,15,36.57,12.23589744,48.80589744,151.75,1014.05,-27.2,-178840,61.65520661,-0.278974359,61.37623225
lignite,subcritical,17,1400,1285,48.58,8448875,10,0.75,15,36.06,12.23809524,48.29809524,163.45,1092.25,-29.3,-192647.5,60.7953719,-0.279047619,60.51632428
lignite,subcritical,17,1500,1376,48.06,9047200,10,0.75,15,35.68,12.23111111,47.91111111,175.03,1169.6,-31.37,-206257.75,60.15471074,-0.278844444,59.8758663
lignite,subcritical,17,1600,1468,47.59,9652100,10,0.75,15,35.33,12.23333333,47.56333333,186.73,1247.8,-33.47,-220065.25,59.5646281,-0.278916667,59.28571143
lignite,subcritical,17,1700,1560,47.18,10257000,10,0.75,15,35.02,12.23529412,47.25529412,198.43,1326,-35.57,-233872.75,59.04198347,-0.278980392,58.76300308
lignite,subcritical,17,1800,1651,46.81,10855325,10,0.75,15,34.75,12.22962963,46.97962963,210.01,1403.35,-37.64,-247483,58.58677686,-0.278814815,58.30796204
lignite,subcritical,17,1900,1743,46.47,11460225,10,0.75,15,34.5,12.23157895,46.73157895,221.71,1481.55,-39.74,-261290.5,58.16528926,-0.278877193,57.88641206
lignite,subcritical,17,2000,1835,46.17,12065125,10,0.75,15,34.27,12.23333333,46.50333333,233.41,1559.75,-41.84,-275098,57.77752066,-0.278933333,57.49858733
lignite,subcritical,17,2100,1927,45.9,12670025,10,0.75,15,34.07,12.23492063,46.30492063,245.12,1637.95,-43.93,-288839.75,57.44033058,-0.278920635,57.16140994
lignite,subcritical,17,2200,2018,45.64,13268350,10,0.75,15,33.88,12.23030303,46.11030303,256.69,1715.3,-46.01,-302515.75,57.12,-0.278848485,56.84115152
lignite,subcritical,17,2300,2110,45.41,13873250,10,0.75,15,33.71,12.23188406,45.94188406,268.39,1793.5,-48.11,-316323.25,56.83338843,-0.278898551,56.55448988
