primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,carbon_price_ton,capacity_factor,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,biomass_emission_rate_ton_h,beccs_emission_rate_ton_h,beccs_annual_emission_ton,beccs_plant_LCOE_MWh,beccs_carbon_LCOE_MWh,beccs_LCOE_MWh
anthracite,subcritical,10,600,384.5,60.08,2528087.50,10,0.75,45.47,8.544444444,54.01444444,45.36,326.825,-12.315,298242,76.66016529,-0.273666667,76.38649862
anthracite,subcritical,10,700,448.6,58.32,2949545.00,10,0.75,44.14,8.544761905,52.6847619,52.92,381.31,-14.37,347949,74.41785124,-0.273714286,74.14413695
anthracite,subcritical,10,800,512.6,56.9,3370345.00,10,0.75,43.06,8.543333333,51.60333333,60.48,435.71,-16.41,397656,72.59702479,-0.2735,72.32352479
anthracite,subcritical,10,900,576.7,55.72,3791802.50,10,0.75,42.17,8.543703704,50.7137037,68.04,490.195,-18.465,447363,71.09652893,-0.273555556,70.82297337
anthracite,subcritical,10,1000,640.8,54.72,4213260.00,10,0.75,41.41,8.544,49.954,75.6,544.68,-20.52,497070,69.81520661,-0.2736,69.54160661
anthracite,subcritical,10,1100,704.8,53.85,4634060.00,10,0.75,40.76,8.543030303,49.3030303,83.15,599.08,-22.57,546711.25,68.71933884,-0.273575758,68.44576309
anthracite,subcritical,10,1200,768.9,53.09,5055517.50,10,0.75,40.18,8.543333333,48.72333333,90.71,653.565,-24.625,596418.25,67.7414876,-0.273611111,67.46787649
anthracite,subcritical,10,1300,833,52.4,5476975.00,10,0.75,39.66,8.543589744,48.20358974,98.28,708.05,-26.67,646191,66.86479339,-0.273538462,66.59125493
anthracite,subcritical,10,1400,897,51.85,5897775.00,10,0.75,39.24,8.542857143,47.78285714,105.83,762.45,-28.72,695832.25,66.15669421,-0.27352381,65.88317041
anthracite,subcritical,10,1500,961.1,51.44,6319232.50,10,0.75,38.93,8.543111111,47.47311111,113.39,816.935,-30.775,745539.25,65.63404959,-0.273555556,65.36049403
anthracite,subcritical,10,1600,1025,51.07,6739375.00,10,0.75,38.65,8.541666667,47.19166667,120.93,871.25,-32.82,795114.75,65.16198347,-0.2735,64.88848347
