primary_fuel,generation_technology,amortization_rate,capacity_MW,carbon_price_ton,capacity_factor,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,capture_annual_emission_ton,capture_plant_LCOE_MWh,capture_carbon_LCOE_MWh,capture_LCOE_MWh
anthracite,supercritical,10,700,10,0.75,423.7,59.32,2785827.5,43.42,8.07047619,51.49047619,49.07,322635.25,69.85351464,0.934666667,70.78818131
anthracite,supercritical,10,800,10,0.75,484.3,57.85,3184272.5,42.34,8.071666667,50.41166667,56.09,368791.75,68.1160251,0.934833333,69.05085844
anthracite,supercritical,10,900,10,0.75,544.8,56.63,3582060,41.45,8.071111111,49.52111111,63.1,414882.5,66.68420502,0.934814815,67.61901984
anthracite,supercritical,10,1000,10,0.75,605.3,55.59,3979847.5,40.69,8.070666667,48.76066667,70.11,460973.25,65.4615272,0.9348,66.3963272
anthracite,supercritical,10,1100,10,0.75,665.8,54.69,4377635,40.03,8.07030303,48.10030303,77.12,507064,64.39972803,0.934787879,65.33451591
anthracite,supercritical,10,1200,10,0.75,726.4,53.9,4776080,39.45,8.071111111,47.52111111,84.13,553154.75,63.4666318,0.934777778,64.40140958
anthracite,supercritical,10,1300,10,0.75,786.9,53.2,5173867.5,38.94,8.070769231,47.01076923,91.14,599245.5,62.64615063,0.934769231,63.58091986
anthracite,supercritical,10,1400,10,0.75,847.4,52.56,5571655,38.47,8.07047619,46.54047619,98.15,645336.25,61.89002092,0.934761905,62.82478283
anthracite,supercritical,10,1500,10,0.75,907.9,51.99,5969442.5,38.05,8.070222222,46.12022222,105.16,691427,61.21433054,0.934755556,62.1490861
anthracite,supercritical,10,1600,10,0.75,968.5,51.57,6367887.5,37.74,8.070833333,45.81083333,112.18,737583.5,60.71560669,0.934833333,61.65044003
anthracite,supercritical,10,1700,10,0.75,1029,51.21,6765675,37.48,8.070588235,45.55058824,119.18,783608.5,60.29732218,0.934745098,61.23206727
anthracite,supercritical,10,1800,10,0.75,1090,50.89,7166750,37.25,8.074074074,45.32407407,126.25,830093.75,59.92730126,0.935185185,60.86248644
anthracite,supercritical,10,1900,10,0.75,1150,50.6,7561250,37.03,8.070175439,45.10017544,133.2,875790,59.5733682,0.934736842,60.50810504
anthracite,supercritical,10,2000,10,0.75,1211,50.34,7962325,36.84,8.073333333,44.91333333,140.26,922209.5,59.26769874,0.935066667,60.20276541
anthracite,supercritical,10,2100,10,0.75,1271,50.1,8356825,36.67,8.06984127,44.73984127,147.21,967905.75,58.99420502,0.934666667,59.92887169
anthracite,supercritical,10,2200,10,0.75,1332,49.89,8757900,36.51,8.072727273,44.58272727,154.28,1014391,58.73679916,0.935030303,59.67182947
anthracite,supercritical,10,2300,10,0.75,1392,49.7,9152400,36.38,8.069565217,44.44956522,161.23,1060087.25,58.5276569,0.934666667,59.46232357
anthracite,supercritical,10,2400,10,0.75,1453,49.52,9553475,36.24,8.072222222,44.31222222,168.29,1106506.75,58.30242678,0.934944444,59.23737122
anthracite,supercritical,10,2500,10,0.75,1513,49.36,9947975,36.13,8.069333333,44.19933333,175.24,1152203,58.12546025,0.934613333,59.06007358
anthracite,supercritical,13,100,10,0.75,60.58,100.7,398313.5,73.7,8.077333333,81.77733333,7.02,46156.5,118.5675732,0.936,119.5035732
anthracite,supercritical,13,200,10,0.75,121.1,79.26,796232.5,58.01,8.073333333,66.08333333,14.03,92247.25,93.3257113,0.935333333,94.26104463
anthracite,supercritical,13,300,10,0.75,181.6,70.77,1194020,51.8,8.071111111,59.87111111,21.03,138272.25,83.33514644,0.934666667,84.26981311
anthracite,supercritical,13,400,10,0.75,242.2,65.95,1592465,48.27,8.073333333,56.34333333,28.05,184428.75,77.65612971,0.935,78.59112971
anthracite,supercritical,13,500,10,0.75,302.7,62.74,1990252.5,45.92,8.072,53.992,35.06,230519.5,73.87548117,0.934933333,74.8104145
anthracite,supercritical,13,600,10,0.75,363.2,60.41,2388040,44.21,8.071111111,52.28111111,42.07,276610.25,71.12445607,0.934888889,72.05934496
anthracite,supercritical,13,700,10,0.75,423.7,58.61,2785827.5,42.9,8.07047619,50.97047619,49.07,322635.25,69.01694561,0.934666667,69.95161227
anthracite,supercritical,13,800,10,0.75,484.3,57.15,3184272.5,41.83,8.071666667,49.90166667,56.09,368791.75,67.29554393,0.934833333,68.23037727
anthracite,supercritical,13,900,10,0.75,544.8,55.95,3582060,40.95,8.071111111,49.02111111,63.1,414882.5,65.87981172,0.934814815,66.81462653
anthracite,supercritical,13,1000,10,0.75,605.3,54.93,3979847.5,40.2,8.070666667,48.27066667,70.11,460973.25,64.67322176,0.9348,65.60802176
anthracite,supercritical,13,1100,10,0.75,665.8,54.04,4377635,39.55,8.07030303,47.62030303,77.12,507064,63.62751046,0.934787879,64.56229834
anthracite,supercritical,13,1200,10,0.75,726.4,53.26,4776080,38.98,8.071111111,47.05111111,84.13,553154.75,62.71050209,0.934777778,63.64527987
anthracite,supercritical,13,1300,10,0.75,786.9,52.57,5173867.5,38.48,8.070769231,46.55076923,91.14,599245.5,61.90610879,0.934769231,62.84087802
anthracite,supercritical,13,1400,10,0.75,847.4,51.94,5571655,38.01,8.07047619,46.08047619,98.15,645336.25,61.14997908,0.934761905,62.08474098
anthracite,supercritical,13,1500,10,0.75,907.9,51.37,5969442.5,37.6,8.070222222,45.67022222,105.16,691427,60.49037657,0.934755556,61.42513212
anthracite,supercritical,13,1600,10,0.75,968.5,50.97,6367887.5,37.3,8.070833333,45.37083333,112.18,737583.5,60.00774059,0.934833333,60.94257392
anthracite,supercritical,13,1700,10,0.75,1029,50.61,6765675,37.04,8.070588235,45.11058824,119.18,783608.5,59.58945607,0.934745098,60.52420116
anthracite,supercritical,13,1800,10,0.75,1090,50.29,7166750,36.81,8.074074074,44.88407407,126.25,830093.75,59.21943515,0.935185185,60.15462033
anthracite,supercritical,13,1900,10,0.75,1150,50,7561250,36.59,8.070175439,44.66017544,133.2,875790,58.86550209,0.934736842,59.80023893
anthracite,supercritical,13,2000,10,0.75,1211,49.75,7962325,36.41,8.073333333,44.48333333,140.26,922209.5,58.5759205,0.935066667,59.51098717
anthracite,supercritical,13,2100,10,0.75,1271,49.52,8356825,36.24,8.06984127,44.30984127,147.21,967905.75,58.30242678,0.934666667,59.23709344
anthracite,supercritical,13,2200,10,0.75,1332,49.31,8757900,36.09,8.072727273,44.16272727,154.28,1014391,58.06110879,0.935030303,58.99613909
anthracite,supercritical,13,2300,10,0.75,1392,49.11,9152400,35.94,8.069565217,44.00956522,161.23,1060087.25,57.81979079,0.934666667,58.75445746
anthracite,supercritical,13,2400,10,0.75,1453,48.94,9553475,35.82,8.072222222,43.89222222,168.29,1106506.75,57.6267364,0.934944444,58.56168085
anthracite,supercritical,13,2500,10,0.75,1513,48.78,9947975,35.7,8.069333333,43.76933333,175.24,1152203,57.43368201,0.934613333,58.36829534
anthracite,supercritical,17,100,10,0.75,60.58,99.26,398313.5,72.65,8.077333333,80.72733333,7.02,46156.5,116.8783473,0.936,117.8143473
anthracite,supercritical,17,200,10,0.75,121.1,78,796232.5,57.09,8.073333333,65.16333333,14.03,92247.25,91.84562762,0.935333333,92.78096095
anthracite,supercritical,17,300,10,0.75,181.6,69.62,1194020,50.95,8.071111111,59.02111111,21.03,138272.25,81.96767782,0.934666667,82.90234449
anthracite,supercritical,17,400,10,0.75,242.2,64.87,1592465,47.48,8.073333333,55.55333333,28.05,184428.75,76.38518828,0.935,77.32018828
anthracite,supercritical,17,500,10,0.75,302.7,61.72,1990252.5,45.17,8.072,53.242,35.06,230519.5,72.66889121,0.934933333,73.60382455
anthracite,supercritical,17,600,10,0.75,363.2,59.42,2388040,43.49,8.071111111,51.56111111,42.07,276610.25,69.96612971,0.934888889,70.9010186
anthracite,supercritical,17,700,10,0.75,423.7,57.65,2785827.5,42.19,8.07047619,50.26047619,49.07,322635.25,67.87470711,0.934666667,68.80937378
anthracite,supercritical,17,800,10,0.75,484.3,56.23,3184272.5,41.15,8.071666667,49.22166667,56.09,368791.75,66.20156904,0.934833333,67.13640237
anthracite,supercritical,17,900,10,0.75,544.8,55.04,3582060,40.28,8.071111111,48.35111111,63.1,414882.5,64.80192469,0.934814815,65.7367395
anthracite,supercritical,17,1000,10,0.75,605.3,54.04,3979847.5,39.55,8.070666667,47.62066667,70.11,460973.25,63.62751046,0.9348,64.56231046
