primary_fuel,generation_technology,capacity_MW,amortization_rate,carbon_price_ton,capacity_factor,emission_rate_ton_h,annual_emission_ton,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,capture_annual_emission_ton,capture_plant_LCOE_MWh,capture_carbon_LCOE_MWh,capture_LCOE_MWh,age
natural_gas,CCGT,900,43,10,0.75,322,2115540,54.99,4.77037037,59.76037037,18.06,118744.5,77.9025,0.267555556,78.17005556,13
natural_gas,CCGT,900,47,10,0.75,322,2115540,54.52,4.77037037,59.29037037,18.06,118744.5,77.23666667,0.267555556,77.50422222,14
natural_gas,CCGT,900,50,10,0.75,322,2115540,54.18,4.77037037,58.95037037,18.06,118744.5,76.755,0.267555556,77.02255556,15
natural_gas,CCGT,900,53,10,0.75,322,2115540,53.83,4.77037037,58.60037037,18.06,118744.5,76.25916667,0.267555556,76.52672222,16
natural_gas,CCGT,900,57,10,0.75,322,2115540,53.37,4.77037037,58.14037037,18.06,118744.5,75.6075,0.267555556,75.87505556,17
natural_gas,CCGT,900,60,10,0.75,322,2115540,53.02,4.77037037,57.79037037,18.06,118744.5,75.11166667,0.267555556,75.37922222,18
natural_gas,CCGT,900,63,10,0.75,322,2115540,52.67,4.77037037,57.44037037,18.06,118744.5,74.61583333,0.267555556,74.88338889,19
natural_gas,CCGT,900,67,10,0.75,322,2115540,52.21,4.77037037,56.98037037,18.06,118744.5,73.96416667,0.267555556,74.23172222,20
natural_gas,CCGT,900,70,10,0.75,322,2115540,51.86,4.77037037,56.63037037,18.06,118744.5,73.46833333,0.267555556,73.73588889,21
natural_gas,CCGT,900,73,10,0.75,322,2115540,51.52,4.77037037,56.29037037,18.06,118744.5,72.98666667,0.267555556,73.25422222,22
natural_gas,CCGT,900,77,10,0.75,322,2115540,51.06,4.77037037,55.83037037,18.06,118744.5,72.335,0.267555556,72.60255556,23
natural_gas,CCGT,900,80,10,0.75,322,2115540,50.71,4.77037037,55.48037037,18.06,118744.5,71.83916667,0.267555556,72.10672222,24
natural_gas,CCGT,900,83,10,0.75,322,2115540,50.36,4.77037037,55.13037037,18.06,118744.5,71.34333333,0.267555556,71.61088889,25
natural_gas,CCGT,900,87,10,0.75,322,2115540,49.9,4.77037037,54.67037037,18.06,118744.5,70.69166667,0.267555556,70.95922222,26
natural_gas,CCGT,900,90,10,0.75,322,2115540,49.55,4.77037037,54.32037037,18.06,118744.5,70.19583333,0.267555556,70.46338889,27
natural_gas,CCGT,900,93,10,0.75,322,2115540,49.21,4.77037037,53.98037037,18.06,118744.5,69.71416667,0.267555556,69.98172222,28
natural_gas,CCGT,900,97,10,0.75,322,2115540,48.74,4.77037037,53.51037037,18.06,118744.5,69.04833333,0.267555556,69.31588889,29
natural_gas,CCGT,900,100,10,0.75,322,2115540,48.4,4.77037037,53.17037037,18.06,118744.5,68.56666667,0.267555556,68.83422222,30
natural_gas,CCGT,1200,3,10,0.75,429,2818530,59.39,4.766666667,64.15666667,24.06,158194.5,84.13583333,0.267333333,84.40316667,1
natural_gas,CCGT,1200,7,10,0.75,429,2818530,58.93,4.766666667,63.69666667,24.06,158194.5,83.48416667,0.267333333,83.7515,2
natural_gas,CCGT,1200,10,10,0.75,429,2818530,58.59,4.766666667,63.35666667,24.06,158194.5,83.0025,0.267333333,83.26983333,3
natural_gas,CCGT,1200,13,10,0.75,429,2818530,58.24,4.766666667,63.00666667,24.06,158194.5,82.50666667,0.267333333,82.774,4
natural_gas,CCGT,1200,17,10,0.75,429,2818530,57.78,4.766666667,62.54666667,24.06,158194.5,81.855,0.267333333,82.12233333,5
natural_gas,CCGT,1200,20,10,0.75,429,2818530,57.44,4.766666667,62.20666667,24.06,158194.5,81.37333333,0.267333333,81.64066667,6
natural_gas,CCGT,1200,23,10,0.75,429,2818530,57.09,4.766666667,61.85666667,24.06,158194.5,80.8775,0.267333333,81.14483333,7
natural_gas,CCGT,1200,27,10,0.75,429,2818530,56.63,4.766666667,61.39666667,24.06,158194.5,80.22583333,0.267333333,80.49316667,8
natural_gas,CCGT,1200,30,10,0.75,429,2818530,56.29,4.766666667,61.05666667,24.06,158194.5,79.74416667,0.267333333,80.0115,9
natural_gas,CCGT,1200,33,10,0.75,429,2818530,55.95,4.766666667,60.71666667,24.06,158194.5,79.2625,0.267333333,79.52983333,10
natural_gas,CCGT,1200,37,10,0.75,429,2818530,55.49,4.766666667,60.25666667,24.06,158194.5,78.61083333,0.267333333,78.87816667,11
natural_gas,CCGT,1200,40,10,0.75,429,2818530,55.15,4.766666667,59.91666667,24.06,158194.5,78.12916667,0.267333333,78.3965,12
natural_gas,CCGT,1200,43,10,0.75,429,2818530,54.8,4.766666667,59.56666667,24.06,158194.5,77.63333333,0.267333333,77.90066667,13
natural_gas,CCGT,1200,47,10,0.75,429,2818530,54.34,4.766666667,59.10666667,24.06,158194.5,76.98166667,0.267333333,77.249,14
natural_gas,CCGT,1200,50,10,0.75,429,2818530,53.99,4.766666667,58.75666667,24.06,158194.5,76.48583333,0.267333333,76.75316667,15
natural_gas,CCGT,1200,53,10,0.75,429,2818530,53.65,4.766666667,58.41666667,24.06,158194.5,76.00416667,0.267333333,76.2715,16
natural_gas,CCGT,1200,57,10,0.75,429,2818530,53.19,4.766666667,57.95666667,24.06,158194.5,75.3525,0.267333333,75.61983333,17
natural_gas,CCGT,1200,60,10,0.75,429,2818530,52.85,4.766666667,57.61666667,24.06,158194.5,74.87083333,0.267333333,75.13816667,18
natural_gas,CCGT,1200,63,10,0.75,429,2818530,52.51,4.766666667,57.27666667,24.06,158194.5,74.38916667,0.267333333,74.6565,19
natural_gas,CCGT,1200,67,10,0.75,429,2818530,52.05,4.766666667,56.81666667,24.06,158194.5,73.7375,0.267333333,74.00483333,20
natural_gas,CCGT,1200,70,10,0.75,429,2818530,51.71,4.766666667,56.47666667,24.06,158194.5,73.25583333,0.267333333,73.52316667,21
natural_gas,CCGT,1200,73,10,0.75,429,2818530,51.36,4.766666667,56.12666667,24.06,158194.5,72.76,0.267333333,73.02733333,22
natural_gas,CCGT,1200,77,10,0.75,429,2818530,50.91,4.766666667,55.67666667,24.06,158194.5,72.1225,0.267333333,72.38983333,23
natural_gas,CCGT,1200,80,10,0.75,429,2818530,50.55,4.766666667,55.31666667,24.06,158194.5,71.6125,0.267333333,71.87983333,24
natural_gas,CCGT,1200,83,10,0.75,429,2818530,50.21,4.766666667,54.97666667,24.06,158194.5,71.13083333,0.267333333,71.39816667,25
natural_gas,CCGT,1200,87,10,0.75,429,2818530,49.75,4.766666667,54.51666667,24.06,158194.5,70.47916667,0.267333333,70.7465,26
natural_gas,CCGT,1200,90,10,0.75,429,2818530,49.41,4.766666667,54.17666667,24.06,158194.5,69.9975,0.267333333,70.26483333,27
natural_gas,CCGT,1200,93,10,0.75,429,2818530,49.07,4.766666667,53.83666667,24.06,158194.5,69.51583333,0.267333333,69.78316667,28
natural_gas,CCGT,1200,97,10,0.75,429,2818530,48.61,4.766666667,53.37666667,24.06,158194.5,68.86416667,0.267333333,69.1315,29
natural_gas,CCGT,1200,100,10,0.75,429,2818530,48.27,4.766666667,53.03666667,24.06,158194.5,68.3825,0.267333333,68.64983333,30
natural_gas,CCGT,1500,3,10,0.75,536,3521520,59.25,4.764444444,64.01444444,30.06,197644.5,83.9375,0.2672,84.2047,1
natural_gas,CCGT,1500,7,10,0.75,536,3521520,58.79,4.764444444,63.55444444,30.06,197644.5,83.28583333,0.2672,83.55303333,2
natural_gas,CCGT,1500,10,10,0.75,536,3521520,58.45,4.764444444,63.21444444,30.06,197644.5,82.80416667,0.2672,83.07136667,3
natural_gas,CCGT,1500,13,10,0.75,536,3521520,58.1,4.764444444,62.86444444,30.06,197644.5,82.30833333,0.2672,82.57553333,4
natural_gas,CCGT,1500,17,10,0.75,536,3521520,57.65,4.764444444,62.41444444,30.06,197644.5,81.67083333,0.2672,81.93803333,5
natural_gas,CCGT,1500,20,10,0.75,536,3521520,57.3,4.764444444,62.06444444,30.06,197644.5,81.175,0.2672,81.4422,6
natural_gas,CCGT,1500,23,10,0.75,536,3521520,56.96,4.764444444,61.72444444,30.06,197644.5,80.69333333,0.2672,80.96053333,7
natural_gas,CCGT,1500,27,10,0.75,536,3521520,56.5,4.764444444,61.26444444,30.06,197644.5,80.04166667,0.2672,80.30886667,8
natural_gas,CCGT,1500,30,10,0.75,536,3521520,56.17,4.764444444,60.93444444,30.06,197644.5,79.57416667,0.2672,79.84136667,9
natural_gas,CCGT,1500,33,10,0.75,536,3521520,55.82,4.764444444,60.58444444,30.06,197644.5,79.07833333,0.2672,79.34553333,10
natural_gas,CCGT,1500,37,10,0.75,536,3521520,55.37,4.764444444,60.13444444,30.06,197644.5,78.44083333,0.2672,78.70803333,11
natural_gas,CCGT,1500,40,10,0.75,536,3521520,55.02,4.764444444,59.78444444,30.06,197644.5,77.945,0.2672,78.2122,12
natural_gas,CCGT,1500,43,10,0.75,536,3521520,54.68,4.764444444,59.44444444,30.06,197644.5,77.46333333,0.2672,77.73053333,13
natural_gas,CCGT,1500,47,10,0.75,536,3521520,54.22,4.764444444,58.98444444,30.06,197644.5,76.81166667,0.2672,77.07886667,14
natural_gas,CCGT,1500,50,10,0.75,536,3521520,53.88,4.764444444,58.64444444,30.06,197644.5,76.33,0.2672,76.5972,15
natural_gas,CCGT,1500,53,10,0.75,536,3521520,53.54,4.764444444,58.30444444,30.06,197644.5,75.84833333,0.2672,76.11553333,16
natural_gas,CCGT,1500,57,10,0.75,536,3521520,53.09,4.764444444,57.85444444,30.06,197644.5,75.21083333,0.2672,75.47803333,17
natural_gas,CCGT,1500,60,10,0.75,536,3521520,52.75,4.764444444,57.51444444,30.06,197644.5,74.72916667,0.2672,74.99636667,18
natural_gas,CCGT,1500,63,10,0.75,536,3521520,52.4,4.764444444,57.16444444,30.06,197644.5,74.23333333,0.2672,74.50053333,19
natural_gas,CCGT,1500,67,10,0.75,536,3521520,51.94,4.764444444,56.70444444,30.06,197644.5,73.58166667,0.2672,73.84886667,20
natural_gas,CCGT,1500,70,10,0.75,536,3521520,51.6,4.764444444,56.36444444,30.06,197644.5,73.1,0.2672,73.3672,21
natural_gas,CCGT,1500,73,10,0.75,536,3521520,51.26,4.764444444,56.02444444,30.06,197644.5,72.61833333,0.2672,72.88553333,22
natural_gas,CCGT,1500,77,10,0.75,536,3521520,50.8,4.764444444,55.56444444,30.06,197644.5,71.96666667,0.2672,72.23386667,23
natural_gas,CCGT,1500,80,10,0.75,536,3521520,50.47,4.764444444,55.23444444,30.06,197644.5,71.49916667,0.2672,71.76636667,24
natural_gas,CCGT,1500,83,10,0.75,536,3521520,50.12,4.764444444,54.88444444,30.06,197644.5,71.00333333,0.2672,71.27053333,25
natural_gas,CCGT,1500,87,10,0.75,536,3521520,49.67,4.764444444,54.43444444,30.06,197644.5,70.36583333,0.2672,70.63303333,26
natural_gas,CCGT,1500,90,10,0.75,536,3521520,49.32,4.764444444,54.08444444,30.06,197644.5,69.87,0.2672,70.1372,27
natural_gas,CCGT,1500,93,10,0.75,536,3521520,48.98,4.764444444,53.74444444,30.06,197644.5,69.38833333,0.2672,69.65553333,28
natural_gas,CCGT,1500,97,10,0.75,536,3521520,48.52,4.764444444,53.28444444,30.06,197644.5,68.73666667,0.2672,69.00386667,29
natural_gas,CCGT,1500,100,10,0.75,536,3521520,48.18,4.764444444,52.94444444,30.06,197644.5,68.255,0.2672,68.5222,30
natural_gas,CCGT,2500,3,10,0.75,895.12,5880938.4,58.06,4.773973333,62.83397333,50.19,329999.25,82.25166667,0.26768,82.51934667,1
natural_gas,CCGT,2500,7,10,0.75,895.12,5880938.4,57.61,4.773973333,62.38397333,50.19,329999.25,81.61416667,0.26768,81.88184667,2
natural_gas,CCGT,2500,10,10,0.75,895.12,5880938.4,57.28,4.773973333,62.05397333,50.19,329999.25,81.14666667,0.26768,81.41434667,3
natural_gas,CCGT,2500,13,10,0.75,895.12,5880938.4,56.94,4.773973333,61.71397333,50.19,329999.25,80.665,0.26768,80.93268,4
natural_gas,CCGT,2500,17,10,0.75,895.12,5880938.4,56.49,4.773973333,61.26397333,50.19,329999.25,80.0275,0.26768,80.29518,5
natural_gas,CCGT,2500,20,10,0.75,895.12,5880938.4,56.16,4.773973333,60.93397333,50.19,329999.25,79.56,0.26768,79.82768,6
natural_gas,CCGT,2500,23,10,0.75,895.12,5880938.4,55.82,4.773973333,60.59397333,50.19,329999.25,79.07833333,0.26768,79.34601333,7
natural_gas,CCGT,2500,27,10,0.75,895.12,5880938.4,55.37,4.773973333,60.14397333,50.19,329999.25,78.44083333,0.26768,78.70851333,8
natural_gas,CCGT,2500,30,10,0.75,895.12,5880938.4,55.04,4.773973333,59.81397333,50.19,329999.25,77.97333333,0.26768,78.24101333,9
natural_gas,CCGT,2500,33,10,0.75,895.12,5880938.4,54.71,4.773973333,59.48397333,50.19,329999.25,77.50583333,0.26768,77.77351333,10
natural_gas,CCGT,2500,37,10,0.75,895.12,5880938.4,54.26,4.773973333,59.03397333,50.19,329999.25,76.86833333,0.26768,77.13601333,11
natural_gas,CCGT,2500,40,10,0.75,895.12,5880938.4,53.92,4.773973333,58.69397333,50.19,329999.25,76.38666667,0.26768,76.65434667,12
natural_gas,CCGT,2500,43,10,0.75,895.12,5880938.4,53.59,4.773973333,58.36397333,50.19,329999.25,75.91916667,0.26768,76.18684667,13
