primary_fuel,generation_technology,amortization_rate,capacity_MW,carbon_price_ton,capacity_factor,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,capture_annual_emission_ton,capture_plant_LCOE_MWh,capture_carbon_LCOE_MWh,capture_LCOE_MWh
bituminous,supercritical,20,2000,10,0.75,1526,44.64,10033450,33.33,10.17333333,43.50333333,184,1209800,53.62085774,1.226666667,54.84752441
bituminous,supercritical,20,2100,10,0.75,1602,44.4,10533150,33.15,10.17142857,43.32142857,193.16,1270027,53.33127615,1.226412698,54.55768885
bituminous,supercritical,20,2200,10,0.75,1678,44.19,11032850,32.99,10.16969697,43.15969697,202.33,1330319.75,53.07387029,1.226242424,54.30011272
bituminous,supercritical,20,2300,10,0.75,1755,43.99,11539125,32.84,10.17391304,43.01391304,211.61,1391335.75,52.8325523,1.226724638,54.05927694
bituminous,supercritical,20,2400,10,0.75,1831,43.81,12038825,32.71,10.17222222,42.88222222,220.78,1451628.5,52.62341004,1.226555556,53.8499656
bituminous,supercritical,20,2500,10,0.75,1907,43.64,12538525,32.58,10.17066667,42.75066667,229.94,1511855.5,52.41426778,1.226346667,53.64061445
bituminous,supercritical,23,100,10,0.75,76.35,98.07,502001.25,73.22,10.18,83.4,9.21,60555.75,117.7953556,1.228,119.0233556
bituminous,supercritical,23,200,10,0.75,152.6,74.99,1003345,55.99,10.17333333,66.16333333,18.4,120980,90.07596234,1.226666667,91.30262901
bituminous,supercritical,23,300,10,0.75,228.9,65.93,1505017.5,49.23,10.17333333,59.40333333,27.6,181470,79.20056485,1.226666667,80.42723152
bituminous,supercritical,23,400,10,0.75,305.2,60.82,2006690,45.41,10.17333333,55.58333333,36.8,241960,73.055,1.226666667,74.28166667
bituminous,supercritical,23,500,10,0.75,381.5,57.43,2508362.5,42.88,10.17333333,53.05333333,46,302450,68.98476987,1.226666667,70.21143654
bituminous,supercritical,23,600,10,0.75,457.8,54.97,3010035,41.04,10.17333333,51.21333333,55.2,362940,66.02460251,1.226666667,67.25126918
bituminous,supercritical,23,700,10,0.75,534,53.08,3511050,39.63,10.17142857,49.80142857,64.39,423364.25,63.75621339,1.22647619,64.98268958
bituminous,supercritical,23,800,10,0.75,610.3,51.56,4012722.5,38.5,10.17166667,48.67166667,73.59,483854.25,61.93828452,1.2265,63.16478452
bituminous,supercritical,23,900,10,0.75,686.6,50.3,4514395,37.56,10.17185185,47.73185185,82.79,544344.25,60.4260251,1.226518519,61.65254362
bituminous,supercritical,23,1000,10,0.75,762.9,49.22,5016067.5,36.75,10.172,46.922,91.99,604834.25,59.12290795,1.226533333,60.34944128
bituminous,supercritical,23,1100,10,0.75,839.2,48.29,5517740,36.06,10.17212121,46.23212121,101.19,665324.25,58.01284519,1.226545455,59.23939064
bituminous,supercritical,23,1200,10,0.75,915.4,47.47,6018755,35.44,10.17111111,45.61111111,110.38,725748.5,57.01539749,1.226444444,58.24184193
bituminous,supercritical,23,1300,10,0.75,991.7,46.74,6520427.5,34.9,10.17128205,45.07128205,119.58,786238.5,56.14665272,1.226461538,57.37311426
bituminous,supercritical,23,1400,10,0.75,1068,46.14,7022100,34.45,10.17142857,44.62142857,128.78,846728.5,55.42269874,1.22647619,56.64917494
bituminous,supercritical,23,1500,10,0.75,1144,45.69,7521800,34.11,10.16888889,44.27888889,137.94,906955.5,54.8757113,1.226133333,56.10184463
bituminous,supercritical,23,1600,10,0.75,1221,45.29,8028075,33.82,10.175,43.995,147.22,967971.5,54.40916318,1.226833333,55.63599651
bituminous,supercritical,23,1700,10,0.75,1297,44.93,8527775,33.55,10.17254902,43.72254902,156.39,1028264.25,53.97479079,1.226588235,55.20137903
bituminous,supercritical,23,1800,10,0.75,1373,44.62,9027475,33.32,10.17037037,43.49037037,165.55,1088491.25,53.60476987,1.226296296,54.83106617
bituminous,supercritical,23,1900,10,0.75,1449,44.34,9527175,33.11,10.16842105,43.27842105,174.72,1148784,53.26692469,1.226105263,54.49302995
bituminous,supercritical,23,2000,10,0.75,1526,44.08,10033450,32.91,10.17333333,43.08333333,184,1209800,52.94516736,1.226666667,54.17183403
bituminous,supercritical,23,2100,10,0.75,1602,43.85,10533150,32.74,10.17142857,42.91142857,193.16,1270027,52.67167364,1.226412698,53.89808634
bituminous,supercritical,23,2200,10,0.75,1678,43.63,11032850,32.58,10.16969697,42.74969697,202.33,1330319.75,52.41426778,1.226242424,53.64051021
bituminous,supercritical,23,2300,10,0.75,1755,43.44,11539125,32.43,10.17391304,42.60391304,211.61,1391335.75,52.17294979,1.226724638,53.39967443
