primary_fuel,generation_technology,amortization_rate,capacity_MW,carbon_price_ton,capacity_factor,emission_rate_ton_h,annual_emission_ton,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,capture_annual_emission_ton,capture_plant_LCOE_MWh,capture_carbon_LCOE_MWh,capture_LCOE_MWh
anthracite,subcritical,10.00,1100.00,10.00,0.75,704.80,4634060.00,40.76,8.54,49.30,83.15,546711.25,68.72,1.01,69.73
anthracite,subcritical,10.00,1200.00,10.00,0.75,768.90,5055517.50,40.18,8.54,48.72,90.71,596418.25,67.74,1.01,68.75
anthracite,subcritical,10.00,1300.00,10.00,0.75,833.00,5476975.00,39.66,8.54,48.20,98.28,646191.00,66.86,1.01,67.87
anthracite,subcritical,10.00,1400.00,10.00,0.75,897.00,5897775.00,39.24,8.54,47.78,105.83,695832.25,66.16,1.01,67.16
anthracite,subcritical,10.00,1500.00,10.00,0.75,961.10,6319232.50,38.93,8.54,47.47,113.39,745539.25,65.63,1.01,66.64
anthracite,subcritical,10.00,1600.00,10.00,0.75,1025.00,6739375.00,38.65,8.54,47.19,120.93,795114.75,65.16,1.01,66.17
anthracite,subcritical,10.00,1700.00,10.00,0.75,1089.00,7160175.00,38.42,8.54,46.96,128.48,844756.00,64.77,1.01,65.78
anthracite,subcritical,10.00,1800.00,10.00,0.75,1153.00,7580975.00,38.20,8.54,46.74,136.03,894397.25,64.40,1.01,65.41
anthracite,subcritical,10.00,1900.00,10.00,0.75,1217.00,8001775.00,38.01,8.54,46.55,143.58,944038.50,64.08,1.01,65.09
anthracite,subcritical,10.00,2000.00,10.00,0.75,1281.00,8422575.00,37.84,8.54,46.38,151.13,993679.75,63.80,1.01,64.80
anthracite,subcritical,10.00,2100.00,10.00,0.75,1346.00,8849950.00,37.68,8.55,46.23,158.80,1044110.00,63.53,1.01,64.53
anthracite,subcritical,10.00,2200.00,10.00,0.75,1410.00,9270750.00,37.55,8.55,46.10,166.35,1093751.25,63.31,1.01,64.32
anthracite,subcritical,10.00,2300.00,10.00,0.75,1474.00,9691550.00,37.43,8.54,45.97,173.90,1143392.50,63.11,1.01,64.11
anthracite,subcritical,10.00,2400.00,10.00,0.75,1538.00,10112350.00,37.30,8.54,45.84,181.45,1193033.75,62.89,1.01,63.89
anthracite,subcritical,10.00,2500.00,10.00,0.75,1602.00,10533150.00,37.21,8.54,45.75,189.00,1242675.00,62.73,1.01,63.74
anthracite,subcritical,13.00,100.00,10.00,0.75,64.12,421589.00,74.84,8.55,83.39,7.56,49707.00,126.18,1.01,127.18
anthracite,subcritical,13.00,200.00,10.00,0.75,128.20,842915.00,58.85,8.55,67.40,15.12,99414.00,99.22,1.01,100.23
anthracite,subcritical,13.00,300.00,10.00,0.75,192.30,1264372.50,52.58,8.55,61.13,22.69,149186.75,88.65,1.01,89.66
anthracite,subcritical,13.00,400.00,10.00,0.75,256.30,1685172.50,49.04,8.54,57.58,30.24,198828.00,82.68,1.01,83.69
anthracite,subcritical,13.00,500.00,10.00,0.75,320.40,2106630.00,46.68,8.54,55.22,37.80,248535.00,78.70,1.01,79.71
anthracite,subcritical,13.00,600.00,10.00,0.75,384.50,2528087.50,44.98,8.54,53.52,45.36,298242.00,75.83,1.01,76.84
anthracite,subcritical,13.00,700.00,10.00,0.75,448.60,2949545.00,43.66,8.54,52.20,52.92,347949.00,73.61,1.01,74.62
anthracite,subcritical,13.00,800.00,10.00,0.75,512.60,3370345.00,42.60,8.54,51.14,60.48,397656.00,71.82,1.01,72.83
anthracite,subcritical,13.00,900.00,10.00,0.75,576.70,3791802.50,41.72,8.54,50.26,68.04,447363.00,70.34,1.01,71.35
anthracite,subcritical,13.00,1000.00,10.00,0.75,640.80,4213260.00,40.97,8.54,49.51,75.60,497070.00,69.07,1.01,70.08
anthracite,subcritical,13.00,1100.00,10.00,0.75,704.80,4634060.00,40.32,8.54,48.86,83.15,546711.25,67.98,1.01,68.99
anthracite,subcritical,13.00,1200.00,10.00,0.75,768.90,5055517.50,39.75,8.54,48.29,90.71,596418.25,67.02,1.01,68.02
anthracite,subcritical,13.00,1300.00,10.00,0.75,833.00,5476975.00,39.23,8.54,47.77,98.28,646191.00,66.14,1.01,67.15
anthracite,subcritical,13.00,1400.00,10.00,0.75,897.00,5897775.00,38.83,8.54,47.37,105.83,695832.25,65.47,1.01,66.47
anthracite,subcritical,13.00,1500.00,10.00,0.75,961.10,6319232.50,38.52,8.54,47.06,113.39,745539.25,64.94,1.01,65.95
anthracite,subcritical,13.00,1600.00,10.00,0.75,1025.00,6739375.00,38.24,8.54,46.78,120.93,795114.75,64.47,1.01,65.48
anthracite,subcritical,13.00,1700.00,10.00,0.75,1089.00,7160175.00,38.01,8.54,46.55,128.48,844756.00,64.08,1.01,65.09
anthracite,subcritical,13.00,1800.00,10.00,0.75,1153.00,7580975.00,37.80,8.54,46.34,136.03,894397.25,63.73,1.01,64.74
anthracite,subcritical,13.00,1900.00,10.00,0.75,1217.00,8001775.00,37.61,8.54,46.15,143.58,944038.50,63.41,1.01,64.42
anthracite,subcritical,13.00,2000.00,10.00,0.75,1281.00,8422575.00,37.44,8.54,45.98,151.13,993679.75,63.12,1.01,64.13
anthracite,subcritical,13.00,2100.00,10.00,0.75,1346.00,8849950.00,37.29,8.55,45.84,158.80,1044110.00,62.87,1.01,63.88
anthracite,subcritical,13.00,2200.00,10.00,0.75,1410.00,9270750.00,37.15,8.55,45.70,166.35,1093751.25,62.63,1.01,63.64
anthracite,subcritical,13.00,2300.00,10.00,0.75,1474.00,9691550.00,37.02,8.54,45.56,173.90,1143392.50,62.41,1.01,63.42
anthracite,subcritical,13.00,2400.00,10.00,0.75,1538.00,10112350.00,36.91,8.54,45.45,181.45,1193033.75,62.23,1.01,63.24
anthracite,subcritical,13.00,2500.00,10.00,0.75,1602.00,10533150.00,36.81,8.54,45.35,189.00,1242675.00,62.06,1.01,63.07
anthracite,subcritical,17.00,100.00,10.00,0.75,64.12,421589.00,73.85,8.55,82.40,7.56,49707.00,124.51,1.01,125.52
anthracite,subcritical,17.00,200.00,10.00,0.75,128.20,842915.00,58.01,8.55,66.56,15.12,99414.00,97.80,1.01,98.81
anthracite,subcritical,17.00,300.00,10.00,0.75,192.30,1264372.50,51.81,8.55,60.36,22.69,149186.75,87.35,1.01,88.36
anthracite,subcritical,17.00,400.00,10.00,0.75,256.30,1685172.50,48.32,8.54,56.86,30.24,198828.00,81.47,1.01,82.47
anthracite,subcritical,17.00,500.00,10.00,0.75,320.40,2106630.00,46.00,8.54,54.54,37.80,248535.00,77.55,1.01,78.56
anthracite,subcritical,17.00,600.00,10.00,0.75,384.50,2528087.50,44.32,8.54,52.86,45.36,298242.00,74.72,1.01,75.73
anthracite,subcritical,17.00,700.00,10.00,0.75,448.60,2949545.00,43.02,8.54,51.56,52.92,347949.00,72.53,1.01,73.54
anthracite,subcritical,17.00,800.00,10.00,0.75,512.60,3370345.00,41.98,8.54,50.52,60.48,397656.00,70.78,1.01,71.78
anthracite,subcritical,17.00,900.00,10.00,0.75,576.70,3791802.50,41.11,8.54,49.65,68.04,447363.00,69.31,1.01,70.32
anthracite,subcritical,17.00,1000.00,10.00,0.75,640.80,4213260.00,40.38,8.54,48.92,75.60,497070.00,68.08,1.01,69.09
anthracite,subcritical,17.00,1100.00,10.00,0.75,704.80,4634060.00,39.74,8.54,48.28,83.15,546711.25,67.00,1.01,68.01
anthracite,subcritical,17.00,1200.00,10.00,0.75,768.90,5055517.50,39.17,8.54,47.71,90.71,596418.25,66.04,1.01,67.05
anthracite,subcritical,17.00,1300.00,10.00,0.75,833.00,5476975.00,38.67,8.54,47.21,98.28,646191.00,65.20,1.01,66.20
anthracite,subcritical,17.00,1400.00,10.00,0.75,897.00,5897775.00,38.27,8.54,46.81,105.83,695832.25,64.52,1.01,65.53
