primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,carbon_price_ton,capacity_factor,bio-cofiring,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,biomass_emission_rate_ton_h,beccs_emission_rate_ton_h,beccs_annual_emission_ton,beccs_plant_LCOE_MWh,beccs_carbon_LCOE_MWh,beccs_LCOE_MWh
anthracite,supercritical,20,500,302.7,60.95,1990252.5,10,0.75,15,44.61,8.072,52.682,35.06,257.295,-10.345,-68018.375,71.76797071,-0.275866667,71.49210404
anthracite,supercritical,20,600,363.2,58.68,2388040,10,0.75,15,42.95,8.071111111,51.02111111,42.07,308.72,-12.41,-81595.75,69.09738494,-0.275777778,68.82160716
anthracite,supercritical,20,700,423.7,56.94,2785827.5,10,0.75,15,41.67,8.07047619,49.74047619,49.07,360.145,-14.485,-95238.875,67.03813808,-0.275904762,66.76223331
anthracite,supercritical,20,800,484.3,55.53,3184272.5,10,0.75,15,40.64,8.071666667,48.71166667,56.09,411.655,-16.555,-108849.125,65.38108787,-0.275916667,65.1051712
anthracite,supercritical,20,900,544.8,54.37,3582060,10,0.75,15,39.79,8.071111111,47.86111111,63.1,463.08,-18.62,-122426.5,64.01361925,-0.275851852,63.7377674
anthracite,supercritical,20,1000,605.3,53.38,3979847.5,10,0.75,15,39.07,8.070666667,47.14066667,70.11,514.505,-20.685,-136003.875,62.85529289,-0.2758,62.57949289
anthracite,supercritical,20,1100,665.8,52.52,4377635,10,0.75,15,38.44,8.07030303,46.51030303,77.12,565.93,-22.75,-149581.25,61.84175732,-0.275757576,61.56599975
anthracite,supercritical,20,1200,726.4,51.76,4776080,10,0.75,15,37.88,8.071111111,45.95111111,84.13,617.44,-24.83,-163257.25,60.94083682,-0.275888889,60.66494793
anthracite,supercritical,20,1300,786.9,51.09,5173867.5,10,0.75,15,37.39,8.070769231,45.46076923,91.14,668.865,-26.895,-176834.625,60.15253138,-0.275846154,59.87668523
anthracite,supercritical,20,1400,847.4,50.49,5571655,10,0.75,15,36.95,8.07047619,45.02047619,98.15,720.29,-28.96,-190412,59.44466527,-0.275809524,59.16885575
anthracite,supercritical,20,1500,907.9,49.94,5969442.5,10,0.75,15,36.55,8.070222222,44.62022222,105.16,771.715,-31.025,-203989.375,58.80115063,-0.275777778,58.52537285
anthracite,supercritical,20,1600,968.5,49.55,6367887.5,10,0.75,15,36.27,8.070833333,44.34083333,112.18,823.225,-33.095,-217599.625,58.35069038,-0.275791667,58.07489871
