primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,carbon_price_ton,capacity_factor,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,biomass_emission_rate_ton_h,beccs_emission_rate_ton_h,beccs_annual_emission_ton,beccs_plant_LCOE_MWh,beccs_carbon_LCOE_MWh,beccs_LCOE_MWh
bituminous,subcritical,10,2100,1696,46.26,11151200,10,0.75,34.16,10.76825397,44.92825397,209.33,1441.6,-45.07,1376344.75,60.59686957,-0.28615873,60.31071084
bituminous,subcritical,10,2200,1777,46.04,11683775,10,0.75,33.99,10.76969697,44.75969697,219.33,1510.45,-47.22,1442094.75,60.29530435,-0.286181818,60.00912253
bituminous,subcritical,10,2300,1857,45.83,12209775,10,0.75,33.84,10.76521739,44.60521739,229.2,1578.45,-49.35,1506990,60.02921739,-0.286086957,59.74313043
bituminous,subcritical,10,2400,1938,45.65,12742350,10,0.75,33.71,10.76666667,44.47666667,239.2,1647.3,-51.5,1572740,59.7986087,-0.286111111,59.51249758
bituminous,subcritical,10,2500,2019,45.48,13274925,10,0.75,33.58,10.768,44.348,249.2,1716.15,-53.65,1638490,59.568,-0.286133333,59.28186667
bituminous,subcritical,13,100,80.82,101.6,531391.5,10,0.75,75.02,10.776,85.796,9.98,68.697,-2.143,65618.5,133.0789565,-0.285733333,132.7932232
bituminous,subcritical,13,200,161.6,78.01,1062520,10,0.75,57.6,10.77333333,68.37333333,19.95,137.36,-4.29,131171.25,102.1773913,-0.286,101.8913913
bituminous,subcritical,13,300,242.3,68.67,1593122.5,10,0.75,50.7,10.76888889,61.46888889,29.91,205.955,-6.435,196658.25,89.9373913,-0.286,89.6513913
bituminous,subcritical,13,400,323.1,63.38,2124382.5,10,0.75,46.8,10.77,57.57,39.88,274.635,-8.585,262211,83.01913043,-0.286166667,82.73296377
bituminous,subcritical,13,500,403.8,59.86,2654985,10,0.75,44.2,10.768,54.968,49.84,343.23,-10.73,327698,78.40695652,-0.286133333,78.12082319
bituminous,subcritical,13,600,484.6,57.31,3186245,10,0.75,42.32,10.76888889,53.08888889,59.81,411.91,-12.88,393250.75,75.072,-0.286222222,74.78577778
bituminous,subcritical,13,700,565.3,55.33,3716847.5,10,0.75,40.85,10.76761905,51.61761905,69.77,480.505,-15.025,458737.75,72.46434783,-0.286190476,72.17815735
bituminous,subcritical,13,800,646.1,53.75,4248107.5,10,0.75,39.69,10.76833333,50.45833333,79.75,549.185,-17.165,524356.25,70.4066087,-0.286083333,70.12052536
bituminous,subcritical,13,900,726.8,52.43,4778710,10,0.75,38.71,10.76740741,49.47740741,89.71,617.78,-19.31,589843.25,68.66817391,-0.286074074,68.38209984
bituminous,subcritical,13,1000,807.6,51.31,5309970,10,0.75,37.89,10.768,48.658,99.68,686.46,-21.46,655396,67.21356522,-0.286133333,66.92743188
bituminous,subcritical,13,1100,888.3,50.34,5840572.5,10,0.75,37.17,10.76727273,47.93727273,109.64,755.055,-23.605,720883,65.93634783,-0.286121212,65.65022661
bituminous,subcritical,13,1200,969.1,49.48,6371832.5,10,0.75,36.53,10.76777778,47.29777778,119.61,823.735,-25.755,786435.75,64.80104348,-0.286166667,64.51487681
bituminous,subcritical,13,1300,1050,48.72,6903750,10,0.75,35.97,10.76923077,46.73923077,129.6,892.5,-27.9,852120,63.80765217,-0.286153846,63.52149833
bituminous,subcritical,13,1400,1131,48.1,7436325,10,0.75,35.52,10.77142857,46.29142857,139.6,961.35,-30.05,917870,63.0093913,-0.286190476,62.72320083
bituminous,subcritical,13,1500,1211,47.62,7962325,10,0.75,35.16,10.76444444,45.92444444,149.47,1029.35,-32.18,982765.25,62.37078261,-0.286044444,62.08473816
bituminous,subcritical,13,1600,1292,47.2,8494900,10,0.75,34.85,10.76666667,45.61666667,159.47,1098.2,-34.33,1048515.25,61.82086957,-0.286083333,61.53478623
bituminous,subcritical,13,1700,1373,46.83,9027475,10,0.75,34.58,10.76862745,45.34862745,169.47,1167.05,-36.48,1114265.25,61.34191304,-0.286117647,61.0557954
bituminous,subcritical,13,1800,1454,46.5,9560050,10,0.75,34.33,10.77037037,45.10037037,179.46,1235.9,-38.64,1179949.5,60.89843478,-0.286222222,60.61221256
