Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By
has Fall Off Model Coefficient,Object Property,,,Fall Off Reaction,Fall Off Model Coefficient,only,A relation that defines that a reaction has coefficients for a fall-off reaction rate model.,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
http://www.theworldavatar.com/ontology/ontocape/material/substance/reaction_mechanism.owl#hasProduct,Object Property,,,http://www.theworldavatar.com/ontology/ontocape/material/substance/reaction_mechanism.owl#ChemicalReaction,Product,only,,http://www.theworldavatar.com/ontology/ontocape/material/substance/reaction_mechanism.owl
http://www.theworldavatar.com/ontology/ontocape/material/substance/reaction_mechanism.owl#hasReactant,Object Property,,,http://www.theworldavatar.com/ontology/ontocape/material/substance/reaction_mechanism.owl#ChemicalReaction,Reactant,only,,http://www.theworldavatar.com/ontology/ontocape/material/substance/reaction_mechanism.owl
has Reaction Metadata,Object Property,,,http://www.theworldavatar.com/ontology/ontocape/material/substance/reaction_mechanism.owl#ChemicalReaction,Reaction Metadata,only,A relation between a chemical reaction and its metadata.,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Reaction Order,Object Property,,,http://www.theworldavatar.com/ontology/ontocape/material/substance/reaction_mechanism.owl#ChemicalReaction,Reaction Order,only,A relation between a species that participates in a chemical reaction and the reaction order with respect to the species.,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Species,Object Property,,,Sticking Coefficient UNION Coverage Dependency UNION Third Body Efficiency,Species,,"A relation that connects a coverage-dependent reaction rate model, sticking coefficient reaction rate model or third body efficiency to a species that participates in the (coverage-dependent, sticking coefficient or third body efficiency) model.",http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Species Metadata,Object Property,,,Species,Species Metadata,only,A relation between a species and its metadata.,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Sticking Coefficient,Object Property,,,Sticking Coefficient Reaction,Sticking Coefficient,only,A relation that defines that a surface reaction has coefficients for a sticking coefficient reaction rate model.,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Named Third Body,Object Property,,,Three Body Reaction,Species UNION http://www.theworldavatar.com/ontology/ontocape/material/substance/reaction_mechanism.owl#ChemicalReaction,only,A relation that defines that a fall-off reaction rate model is defined in terms of a named third body.,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
http://www.theworldavatar.com/ontology/ontocape/material/substance/reaction_mechanism.owl#hasStoichiometricCoefficient,Object Property,,,http://www.theworldavatar.com/ontology/ontocape/material/substance/reaction_mechanism.owl#ChemicalReaction,http://www.theworldavatar.com/ontology/ontocape/material/substance/reaction_mechanism.owl#StoichiometricCoefficient,only,,http://www.theworldavatar.com/ontology/ontocape/material/substance/reaction_mechanism.owl
