Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By
http://www.w3.org/ns/prov#Person,Class,http://www.w3.org/ns/prov#Agent,IS-A,,,,,http://www.w3.org/ns/prov-o#
http://www.w3.org/ns/prov#Organization,Class,http://www.w3.org/ns/prov#Agent,IS-A,,,,,http://www.w3.org/ns/prov-o#
http://www.w3.org/ns/prov#SoftwareAgent,Class,http://www.w3.org/ns/prov#Agent,IS-A,,,,,http://www.w3.org/ns/prov-o#
http://purl.org/dc/terms/provenance,Object Property,,,http://www.w3.org/2002/07/owl#Thing,http://www.w3.org/ns/prov#Bundle,exactly 1,"A relation between an entity and its bundle, including the origin of the entity, its interaction with other agents and activities within its lifetime. [The World Avatar]",http://purl.org/dc/terms/
http://purl.org/pav/authoredBy,Object Property,,,http://purl.org/ontology/bibo/Document,http://www.w3.org/ns/prov#Agent,only,"A relation between a bibliographic document and its authors. The authors are normally referring to Person or Organisation that produced the content, intellectually and scholarly, in the document. For example, the author list of a journal article. [The World Avatar]",http://purl.org/pav/
http://purl.org/pav/providedBy,Object Property,,,http://purl.org/ontology/bibo/Document,http://www.w3.org/ns/prov#Agent,only,"A relation between a bibliographic document and its provider. The provider could be publisher, or university, or authors themselves, or a database where curated information from the bibliographic document is published. [The World Avatar]",http://purl.org/pav/
http://purl.org/dc/terms/isPartOf,Object Property,,,http://purl.org/ontology/bibo/AcademicArticle,http://purl.org/ontology/bibo/Issue,only,A relation between academic article and the issue where the article is published. [The World Avatar],http://purl.org/dc/terms/
http://purl.org/dc/terms/isPartOf,Object Property,,,http://purl.org/ontology/bibo/Proceedings,http://purl.org/ontology/bibo/MultiVolumeBook,only,A relation between proceedings and the multi volume book in which the proceedings are published. [The World Avatar],http://purl.org/dc/terms/
http://purl.org/pav/importedBy,Object Property,,,http://www.w3.org/ns/prov#Entity,http://www.w3.org/ns/prov#Agent,only,"A relation between the imported entity and the agent that carried out the importing action. In OntoProvenance, this object property is used to describe the situation where the content of the imported entity is taken from a certain curated database. In this case, the agent is only responsible for format translation, for example, mapping data recorded in XML format to OWL format. For better provenance, it is recommended to use this property in companion with pav:importedOn, pav:importedFrom and pav:lastRefreshedOn as utilised in OntoProvenance. [The World Avatar]",http://purl.org/pav/
http://purl.org/pav/importedFrom,Object Property,,,http://www.w3.org/ns/prov#Entity,http://purl.org/ontology/bibo/Document,only,"A relation between the imported entity and the entity that is considered as the original source of the importing action. In OntoProvenance, this object property is used to describe the situation where the content of the imported entity is taken from certain curated database. In this case, the agent is only responsible for format translation, for example, mapping data recorded in XML format to OWL format. For better provenance, it is recommended to use this property in companion with pav:importedOn, pav:importedBy and pav:lastRefreshedOn as utilised in OntoProvenance. [The World Avatar]",http://purl.org/pav/
http://purl.org/pav/retrievedBy,Object Property,,,http://www.w3.org/ns/prov#Entity,http://www.w3.org/ns/prov#Agent,only,"A relation between the retrieved entity and the agent that is responsible for the retrieving action. In OntoProvenance, this object property is used to describe the situation where the original source already published its information in the ontological format following The World Avatar ontologies. In this case, the agent retrieves the file without changing any intellectual content of the original source, for example, saving a copy of the supplementary file in The World Avatar Knowledge Graph. For better provenance, it is recommended to use this property in companion with pav:retrievedFrom and pav:retrievedOn as utilised in OntoProvenance. [The World Avatar]",http://purl.org/pav/
http://purl.org/pav/retrievedFrom,Object Property,,,http://www.w3.org/ns/prov#Entity,http://purl.org/ontology/bibo/Document,only,"A relation between the retrieved entity and its original source, normally a bibliographic document. In OntoProvenance, this object property is used to describe the situation where the original source already published its information in the ontological format following The World Avatar ontologies. In this case, the agent retrieves the file without changing any intellectual content of the original source, for example, saving a copy of the supplementary file in The World Avatar Knowledge Graph. For better provenance, it is recommended to use this property in companion with pav:retrievedBy and pav:retrievedOn as utilised in OntoProvenance. [The World Avatar]",http://purl.org/pav/
http://purl.org/pav/curatedBy,Object Property,,,http://www.w3.org/ns/prov#Entity,http://www.w3.org/ns/prov#Agent,only,"A relation between the derived entity and the agent responsible for shaping the content curated from the original source. This often refers to the primary agent responsible for the quality of the knowledge expression as it appears in the knowledge graph. In OntoProvenance, this object property is used to describe the situation where an agent obtains the content in the derived entity via text-mining or related technologies from the original source. It should be noted that the agent responsible for curation (pav:curatedBy) and creation (pav:createdBy) can be different agents. For better provenance, it is recommended to use this property in companion with pav:curatedOn, pav:createdBy, pav:createdOn, pav:lastUpdateOn and pav:derivedFrom as utilised in OntoProvenance. [The World Avatar]",http://purl.org/pav/
http://purl.org/pav/createdBy,Object Property,,,http://www.w3.org/ns/prov#Entity,http://www.w3.org/ns/prov#Agent,only,"A relation between the derived entity and the agent responsible for creating the digital artefact of the curated knowledge expression. In OntoProvenance, this object property is used to describe the situation where an agent creates the ontological representation of the knowledge expression generated in the curation process (pav:curatedBy). It should be noted that the agent responsible for curation (pav:curatedBy) and creation (pav:createdBy) can be different agents. For better provenance, it is recommended to use this property in companion with pav:curatedBy, pav:curatedOn, pav:createdOn, pav:lastUpdateOn and pav:derivedFrom as utilised in OntoProvenance. [The World Avatar]",http://purl.org/pav/
