Source,Type,Target,Relation,Value,Data Type
Weblink_1,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Weblink,,,
http://www.theworldavatar.com/ontology/ontocropenergy/OntoCropEnergy.owl#hasURL,Data Property,Weblink_1,,https://phyllis.nl/Biomass/View/435,string
http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#dateOfAccess,Data Property,Weblink_1,,17/02/2021,string
Weblink_2,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Weblink,,,
http://www.theworldavatar.com/ontology/ontocropenergy/OntoCropEnergy.owl#hasURL,Data Property,Weblink_2,,https://phyllis.nl/Biomass/View/417,string
http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#dateOfAccess,Data Property,Weblink_2,,17/02/2021,string
Weblink_6,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Weblink,,,
http://www.theworldavatar.com/ontology/ontocropenergy/OntoCropEnergy.owl#hasURL,Data Property,Weblink_6,,https://phyllis.nl/Biomass/View/521,string
http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#dateOfAccess,Data Property,Weblink_6,,17/02/2021,string
Weblink_7,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Weblink,,,
http://www.theworldavatar.com/ontology/ontocropenergy/OntoCropEnergy.owl#hasURL,Data Property,Weblink_7,,https://phyllis.nl/Biomass/View/533,string
http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#dateOfAccess,Data Property,Weblink_7,,17/02/2021,string
Weblink_8,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Weblink,,,
http://www.theworldavatar.com/ontology/ontocropenergy/OntoCropEnergy.owl#hasURL,Data Property,Weblink_8,,https://phyllis.nl/Biomass/View/2816,string
http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#dateOfAccess,Data Property,Weblink_8,,17/02/2021,string
Weblink_9,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Weblink,,,
http://www.theworldavatar.com/ontology/ontocropenergy/OntoCropEnergy.owl#hasURL,Data Property,Weblink_9,,https://phyllis.nl/Biomass/View/3068,string
http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#dateOfAccess,Data Property,Weblink_9,,17/02/2021,string
Weblink_10,Instance,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Weblink,,,
http://www.theworldavatar.com/ontology/ontocropenergy/OntoCropEnergy.owl#hasURL,Data Property,Weblink_10,,https://phyllis.nl/Biomass/View/547,string
