primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_$_MWh,annual_emission_ton,,carbon_price_ton,capacity_factor,biomass_cofiring,,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,,biomass_emission_rate_ton_h,biomass_annual_emission_ton,biomass_plant_LCOE_MWh,biomass_carbon_LCOE_MWh,biomass_LCOE_MWh
lignite,subcritical,73,1000,917.5,38.84,6032562.5,,10,0.75,15,,28.83,12.23333333,41.06333333,,779.875,5127678.125,28.5417,10.39833333,38.94003333
lignite,subcritical,73,1100,1009,38.05,6634175,,10,0.75,15,,28.25,12.23030303,40.48030303,,857.65,5639048.75,27.9675,10.39575758,38.36325758
lignite,subcritical,73,1200,1101,37.35,7239075,,10,0.75,15,,27.73,12.23333333,39.96333333,,935.85,6153213.75,27.4527,10.39833333,37.85103333
lignite,subcritical,73,1300,1193,36.72,7843975,,10,0.75,15,,27.26,12.23589744,39.49589744,,1014.05,6667378.75,26.9874,10.40051282,37.38791282
lignite,subcritical,73,1400,1285,36.21,8448875,,10,0.75,15,,26.88,12.23809524,39.11809524,,1092.25,7181543.75,26.6112,10.40238095,37.01358095
lignite,subcritical,73,1500,1376,35.84,9047200,,10,0.75,15,,26.61,12.23111111,38.84111111,,1169.6,7690120,26.3439,10.39644444,36.74034444
lignite,subcritical,73,1600,1468,35.51,9652100,,10,0.75,15,,26.36,12.23333333,38.59333333,,1247.8,8204285,26.0964,10.39833333,36.49473333
lignite,subcritical,73,1700,1560,35.21,10257000,,10,0.75,15,,26.14,12.23529412,38.37529412,,1326,8718450,25.8786,10.4,36.2786
lignite,subcritical,73,1800,1651,34.94,10855325,,10,0.75,15,,25.94,12.22962963,38.16962963,,1403.35,9227026.25,25.6806,10.39518519,36.07578519
lignite,subcritical,73,1900,1743,34.69,11460225,,10,0.75,15,,25.75,12.23157895,37.98157895,,1481.55,9741191.25,25.4925,10.39684211,35.88934211
lignite,subcritical,73,2000,1835,34.46,12065125,,10,0.75,15,,25.58,12.23333333,37.81333333,,1559.75,10255356.25,25.3242,10.39833333,35.72253333
lignite,subcritical,73,2100,1927,34.25,12670025,,10,0.75,15,,25.42,12.23492063,37.65492063,,1637.95,10769521.25,25.1658,10.39968254,35.56548254
lignite,subcritical,73,2200,2018,34.05,13268350,,10,0.75,15,,25.28,12.23030303,37.51030303,,1715.3,11278097.5,25.0272,10.39575758,35.42295758
lignite,subcritical,73,2300,2110,33.86,13873250,,10,0.75,15,,25.14,12.23188406,37.37188406,,1793.5,11792262.5,24.8886,10.39710145,35.28570145
lignite,subcritical,73,2400,2202,33.68,14478150,,10,0.75,15,,25,12.23333333,37.23333333,,1871.7,12306427.5,24.75,10.39833333,35.14833333
lignite,subcritical,73,2500,2294,33.5,15083050,,10,0.75,15,,24.87,12.23466667,37.10466667,,1949.9,12820592.5,24.6213,10.39946667,35.02076667
lignite,subcritical,77,100,91.83,81.07,603782.25,,10,0.75,15,,60.18,12.244,72.424,,78.0555,513214.9125,59.5782,10.4074,69.9856
lignite,subcritical,77,200,183.6,59.97,1207170,,10,0.75,15,,44.52,12.24,56.76,,156.06,1026094.5,44.0748,10.404,54.4788
lignite,subcritical,77,300,275.3,51.98,1810097.5,,10,0.75,15,,38.59,12.23555556,50.82555556,,234.005,1538582.875,38.2041,10.40022222,48.60432222
lignite,subcritical,77,400,367.1,47.57,2413682.5,,10,0.75,15,,35.31,12.23666667,47.54666667,,312.035,2051630.125,34.9569,10.40116667,45.35806667
lignite,subcritical,77,500,458.8,44.7,3016610,,10,0.75,15,,33.18,12.23466667,45.41466667,,389.98,2564118.5,32.8482,10.39946667,43.24766667
lignite,subcritical,77,600,550.6,42.65,3620195,,10,0.75,15,,31.66,12.23555556,43.89555556,,468.01,3077165.75,31.3434,10.40022222,41.74362222
lignite,subcritical,77,700,642.3,41.08,4223122.5,,10,0.75,15,,30.49,12.23428571,42.72428571,,545.955,3589654.125,30.1851,10.39914286,40.58424286
lignite,subcritical,77,800,734,39.82,4826050,,10,0.75,15,,29.56,12.23333333,41.79333333,,623.9,4102142.5,29.2644,10.39833333,39.66273333
lignite,subcritical,77,900,825.8,38.78,5429635,,10,0.75,15,,28.79,12.23407407,41.02407407,,701.93,4615189.75,28.5021,10.39896296,38.90106296
lignite,subcritical,77,1000,917.5,37.89,6032562.5,,10,0.75,15,,28.13,12.23333333,40.36333333,,779.875,5127678.125,27.8487,10.39833333,38.24703333
lignite,subcritical,77,1100,1009,37.12,6634175,,10,0.75,15,,27.56,12.23030303,39.79030303,,857.65,5639048.75,27.2844,10.39575758,37.68015758
lignite,subcritical,77,1200,1101,36.44,7239075,,10,0.75,15,,27.05,12.23333333,39.28333333,,935.85,6153213.75,26.7795,10.39833333,37.17783333
lignite,subcritical,77,1300,1193,35.82,7843975,,10,0.75,15,,26.59,12.23589744,38.82589744,,1014.05,6667378.75,26.3241,10.40051282,36.72461282
lignite,subcritical,77,1400,1285,35.33,8448875,,10,0.75,15,,26.23,12.23809524,38.46809524,,1092.25,7181543.75,25.9677,10.40238095,36.37008095
lignite,subcritical,77,1500,1376,34.96,9047200,,10,0.75,15,,25.95,12.23111111,38.18111111,,1169.6,7690120,25.6905,10.39644444,36.08694444
lignite,subcritical,77,1600,1468,34.64,9652100,,10,0.75,15,,25.71,12.23333333,37.94333333,,1247.8,8204285,25.4529,10.39833333,35.85123333
lignite,subcritical,77,1700,1560,34.35,10257000,,10,0.75,15,,25.5,12.23529412,37.73529412,,1326,8718450,25.245,10.4,35.645
lignite,subcritical,77,1800,1651,34.09,10855325,,10,0.75,15,,25.31,12.22962963,37.53962963,,1403.35,9227026.25,25.0569,10.39518519,35.45208519
lignite,subcritical,77,1900,1743,33.85,11460225,,10,0.75,15,,25.13,12.23157895,37.36157895,,1481.55,9741191.25,24.8787,10.39684211,35.27554211
lignite,subcritical,77,2000,1835,33.63,12065125,,10,0.75,15,,24.96,12.23333333,37.19333333,,1559.75,10255356.25,24.7104,10.39833333,35.10873333
lignite,subcritical,77,2100,1927,33.42,12670025,,10,0.75,15,,24.81,12.23492063,37.04492063,,1637.95,10769521.25,24.5619,10.39968254,34.96158254
lignite,subcritical,77,2200,2018,33.22,13268350,,10,0.75,15,,24.66,12.23030303,36.89030303,,1715.3,11278097.5,24.4134,10.39575758,34.80915758
lignite,subcritical,77,2300,2110,33.03,13873250,,10,0.75,15,,24.52,12.23188406,36.75188406,,1793.5,11792262.5,24.2748,10.39710145,34.67190145
