primary_fuel,generation_technology,capacity_MW,amortization_rate,emission_rate_ton_h,generation_cost_per_MWh,annual_emission_ton,carbon_price_$_ton,capacity_factor,biomass_cofiring,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,biomass_emission_rate_ton_h,biomass_annual_emission_ton,biomass_plant_LCOE_MWh,biomass_carbon_LCOE_MWh,biomass_LCOE_MWh,age
natural_gas,CCGT,600,63,214,55.58,1405980,10,0.75,15,52.98,4.755555556,57.73555556,181.9,1195992.5,49.8012,4.042222222,53.84342222,19
natural_gas,CCGT,600,67,214,55.09,1405980,10,0.75,15,52.52,4.755555556,57.27555556,181.9,1195992.5,49.3688,4.042222222,53.41102222,20
natural_gas,CCGT,600,70,214,54.72,1405980,10,0.75,15,52.16,4.755555556,56.91555556,181.9,1195992.5,49.0304,4.042222222,53.07262222,21
natural_gas,CCGT,600,73,214,54.35,1405980,10,0.75,15,51.81,4.755555556,56.56555556,181.9,1195992.5,48.7014,4.042222222,52.74362222,22
natural_gas,CCGT,600,77,214,53.86,1405980,10,0.75,15,51.34,4.755555556,56.09555556,181.9,1195992.5,48.2596,4.042222222,52.30182222,23
natural_gas,CCGT,600,80,214,53.49,1405980,10,0.75,15,50.99,4.755555556,55.74555556,181.9,1195992.5,47.9306,4.042222222,51.97282222,24
natural_gas,CCGT,600,83,214,53.13,1405980,10,0.75,15,50.65,4.755555556,55.40555556,181.9,1195992.5,47.611,4.042222222,51.65322222,25
natural_gas,CCGT,600,87,214,52.64,1405980,10,0.75,15,50.18,4.755555556,54.93555556,181.9,1195992.5,47.1692,4.042222222,51.21142222,26
natural_gas,CCGT,600,90,214,52.27,1405980,10,0.75,15,49.83,4.755555556,54.58555556,181.9,1195992.5,46.8402,4.042222222,50.88242222,27
natural_gas,CCGT,600,93,214,51.9,1405980,10,0.75,15,49.48,4.755555556,54.23555556,181.9,1195992.5,46.5112,4.042222222,50.55342222,28
natural_gas,CCGT,600,97,214,51.41,1405980,10,0.75,15,49.01,4.755555556,53.76555556,181.9,1195992.5,46.0694,4.042222222,50.11162222,29
natural_gas,CCGT,600,100,214,51.04,1405980,10,0.75,15,48.66,4.755555556,53.41555556,181.9,1195992.5,45.7404,4.042222222,49.78262222,30
natural_gas,CCGT,900,3,322,62.53,2115540,10,0.75,15,59.61,4.77037037,64.38037037,273.7,1799577.5,56.0334,4.054814815,60.08821481,1
natural_gas,CCGT,900,7,322,62.04,2115540,10,0.75,15,59.14,4.77037037,63.91037037,273.7,1799577.5,55.5916,4.054814815,59.64641481,2
natural_gas,CCGT,900,10,322,61.68,2115540,10,0.75,15,58.8,4.77037037,63.57037037,273.7,1799577.5,55.272,4.054814815,59.32681481,3
natural_gas,CCGT,900,13,322,61.32,2115540,10,0.75,15,58.46,4.77037037,63.23037037,273.7,1799577.5,54.9524,4.054814815,59.00721481,4
natural_gas,CCGT,900,17,322,60.83,2115540,10,0.75,15,57.99,4.77037037,62.76037037,273.7,1799577.5,54.5106,4.054814815,58.56541481,5
natural_gas,CCGT,900,20,322,60.47,2115540,10,0.75,15,57.65,4.77037037,62.42037037,273.7,1799577.5,54.191,4.054814815,58.24581481,6
natural_gas,CCGT,900,23,322,60.1,2115540,10,0.75,15,57.29,4.77037037,62.06037037,273.7,1799577.5,53.8526,4.054814815,57.90741481,7
natural_gas,CCGT,900,27,322,59.62,2115540,10,0.75,15,56.84,4.77037037,61.61037037,273.7,1799577.5,53.4296,4.054814815,57.48441481,8
natural_gas,CCGT,900,30,322,59.25,2115540,10,0.75,15,56.48,4.77037037,61.25037037,273.7,1799577.5,53.0912,4.054814815,57.14601481,9
natural_gas,CCGT,900,33,322,58.89,2115540,10,0.75,15,56.14,4.77037037,60.91037037,273.7,1799577.5,52.7716,4.054814815,56.82641481,10
natural_gas,CCGT,900,37,322,58.41,2115540,10,0.75,15,55.68,4.77037037,60.45037037,273.7,1799577.5,52.3392,4.054814815,56.39401481,11
natural_gas,CCGT,900,40,322,58.04,2115540,10,0.75,15,55.33,4.77037037,60.10037037,273.7,1799577.5,52.0102,4.054814815,56.06501481,12
natural_gas,CCGT,900,43,322,57.68,2115540,10,0.75,15,54.99,4.77037037,59.76037037,273.7,1799577.5,51.6906,4.054814815,55.74541481,13
natural_gas,CCGT,900,47,322,57.19,2115540,10,0.75,15,54.52,4.77037037,59.29037037,273.7,1799577.5,51.2488,4.054814815,55.30361481,14
natural_gas,CCGT,900,50,322,56.83,2115540,10,0.75,15,54.18,4.77037037,58.95037037,273.7,1799577.5,50.9292,4.054814815,54.98401481,15
