primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,carbon_price_ton,capacity_factor,biomass_cofiring,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,biomass_emission_rate_ton_h,biomass_annual_emission_ton,biomass_plant_LCOE_MWh,biomass_carbon_LCOE_MWh,biomass_LCOE_MWh
anthracite,supercritical,10,1800,1090,50.89,7166750,10,0.75,15,37.25,8.074074074,45.32407407,926.5,6091737.5,36.8775,6.862962963,43.74046296
anthracite,supercritical,10,1900,1150,50.6,7561250,10,0.75,15,37.03,8.070175439,45.10017544,977.5,6427062.5,36.6597,6.859649123,43.51934912
anthracite,supercritical,10,2000,1211,50.34,7962325,10,0.75,15,36.84,8.073333333,44.91333333,1029.35,6767976.25,36.4716,6.862333333,43.33393333
anthracite,supercritical,10,2100,1271,50.1,8356825,10,0.75,15,36.67,8.06984127,44.73984127,1080.35,7103301.25,36.3033,6.859365079,43.16266508
anthracite,supercritical,10,2200,1332,49.89,8757900,10,0.75,15,36.51,8.072727273,44.58272727,1132.2,7444215,36.1449,6.861818182,43.00671818
anthracite,supercritical,10,2300,1392,49.7,9152400,10,0.75,15,36.38,8.069565217,44.44956522,1183.2,7779540,36.0162,6.859130435,42.87533043
anthracite,supercritical,10,2400,1453,49.52,9553475,10,0.75,15,36.24,8.072222222,44.31222222,1235.05,8120453.75,35.8776,6.861388889,42.73898889
anthracite,supercritical,10,2500,1513,49.36,9947975,10,0.75,15,36.13,8.069333333,44.19933333,1286.05,8455778.75,35.7687,6.858933333,42.62763333
anthracite,supercritical,13,100,60.58,100.7,398313.5,10,0.75,15,73.7,8.077333333,81.77733333,51.493,338566.475,72.963,6.865733333,79.82873333
anthracite,supercritical,13,200,121.1,79.26,796232.5,10,0.75,15,58.01,8.073333333,66.08333333,102.935,676797.625,57.4299,6.862333333,64.29223333
anthracite,supercritical,13,300,181.6,70.77,1194020,10,0.75,15,51.8,8.071111111,59.87111111,154.36,1014917,51.282,6.860444444,58.14244444
anthracite,supercritical,13,400,242.2,65.95,1592465,10,0.75,15,48.27,8.073333333,56.34333333,205.87,1353595.25,47.7873,6.862333333,54.64963333
anthracite,supercritical,13,500,302.7,62.74,1990252.5,10,0.75,15,45.92,8.072,53.992,257.295,1691714.625,45.4608,6.8612,52.322
anthracite,supercritical,13,600,363.2,60.41,2388040,10,0.75,15,44.21,8.071111111,52.28111111,308.72,2029834,43.7679,6.860444444,50.62834444
anthracite,supercritical,13,700,423.7,58.61,2785827.5,10,0.75,15,42.9,8.07047619,50.97047619,360.145,2367953.375,42.471,6.859904762,49.33090476
anthracite,supercritical,13,800,484.3,57.15,3184272.5,10,0.75,15,41.83,8.071666667,49.90166667,411.655,2706631.625,41.4117,6.860916667,48.27261667
anthracite,supercritical,13,900,544.8,55.95,3582060,10,0.75,15,40.95,8.071111111,49.02111111,463.08,3044751,40.5405,6.860444444,47.40094444
anthracite,supercritical,13,1000,605.3,54.93,3979847.5,10,0.75,15,40.2,8.070666667,48.27066667,514.505,3382870.375,39.798,6.860066667,46.65806667
anthracite,supercritical,13,1100,665.8,54.04,4377635,10,0.75,15,39.55,8.07030303,47.62030303,565.93,3720989.75,39.1545,6.859757576,46.01425758
anthracite,supercritical,13,1200,726.4,53.26,4776080,10,0.75,15,38.98,8.071111111,47.05111111,617.44,4059668,38.5902,6.860444444,45.45064444
anthracite,supercritical,13,1300,786.9,52.57,5173867.5,10,0.75,15,38.48,8.070769231,46.55076923,668.865,4397787.375,38.0952,6.860153846,44.95535385
anthracite,supercritical,13,1400,847.4,51.94,5571655,10,0.75,15,38.01,8.07047619,46.08047619,720.29,4735906.75,37.6299,6.859904762,44.48980476
anthracite,supercritical,13,1500,907.9,51.37,5969442.5,10,0.75,15,37.6,8.070222222,45.67022222,771.715,5074026.125,37.224,6.859688889,44.08368889
anthracite,supercritical,13,1600,968.5,50.97,6367887.5,10,0.75,15,37.3,8.070833333,45.37083333,823.225,5412704.375,36.927,6.860208333,43.78720833
anthracite,supercritical,13,1700,1029,50.61,6765675,10,0.75,15,37.04,8.070588235,45.11058824,874.65,5750823.75,36.6696,6.86,43.5296
anthracite,supercritical,13,1800,1090,50.29,7166750,10,0.75,15,36.81,8.074074074,44.88407407,926.5,6091737.5,36.4419,6.862962963,43.30486296
anthracite,supercritical,13,1900,1150,50,7561250,10,0.75,15,36.59,8.070175439,44.66017544,977.5,6427062.5,36.2241,6.859649123,43.08374912
anthracite,supercritical,13,2000,1211,49.75,7962325,10,0.75,15,36.41,8.073333333,44.48333333,1029.35,6767976.25,36.0459,6.862333333,42.90823333
anthracite,supercritical,13,2100,1271,49.52,8356825,10,0.75,15,36.24,8.06984127,44.30984127,1080.35,7103301.25,35.8776,6.859365079,42.73696508
anthracite,supercritical,13,2200,1332,49.31,8757900,10,0.75,15,36.09,8.072727273,44.16272727,1132.2,7444215,35.7291,6.861818182,42.59091818
anthracite,supercritical,13,2300,1392,49.11,9152400,10,0.75,15,35.94,8.069565217,44.00956522,1183.2,7779540,35.5806,6.859130435,42.43973043
anthracite,supercritical,13,2400,1453,48.94,9553475,10,0.75,15,35.82,8.072222222,43.89222222,1235.05,8120453.75,35.4618,6.861388889,42.32318889
anthracite,supercritical,13,2500,1513,48.78,9947975,10,0.75,15,35.7,8.069333333,43.76933333,1286.05,8455778.75,35.343,6.858933333,42.20193333
anthracite,supercritical,17,100,60.58,99.26,398313.5,10,0.75,15,72.65,8.077333333,80.72733333,51.493,338566.475,71.9235,6.865733333,78.78923333
anthracite,supercritical,17,200,121.1,78,796232.5,10,0.75,15,57.09,8.073333333,65.16333333,102.935,676797.625,56.5191,6.862333333,63.38143333
anthracite,supercritical,17,300,181.6,69.62,1194020,10,0.75,15,50.95,8.071111111,59.02111111,154.36,1014917,50.4405,6.860444444,57.30094444
anthracite,supercritical,17,400,242.2,64.87,1592465,10,0.75,15,47.48,8.073333333,55.55333333,205.87,1353595.25,47.0052,6.862333333,53.86753333
anthracite,supercritical,17,500,302.7,61.72,1990252.5,10,0.75,15,45.17,8.072,53.242,257.295,1691714.625,44.7183,6.8612,51.5795
anthracite,supercritical,17,600,363.2,59.42,2388040,10,0.75,15,43.49,8.071111111,51.56111111,308.72,2029834,43.0551,6.860444444,49.91554444
anthracite,supercritical,17,700,423.7,57.65,2785827.5,10,0.75,15,42.19,8.07047619,50.26047619,360.145,2367953.375,41.7681,6.859904762,48.62800476
anthracite,supercritical,17,800,484.3,56.23,3184272.5,10,0.75,15,41.15,8.071666667,49.22166667,411.655,2706631.625,40.7385,6.860916667,47.59941667
anthracite,supercritical,17,900,544.8,55.04,3582060,10,0.75,15,40.28,8.071111111,48.35111111,463.08,3044751,39.8772,6.860444444,46.73764444
anthracite,supercritical,17,1000,605.3,54.04,3979847.5,10,0.75,15,39.55,8.070666667,47.62066667,514.505,3382870.375,39.1545,6.860066667,46.01456667
anthracite,supercritical,17,1100,665.8,53.17,4377635,10,0.75,15,38.91,8.07030303,46.98030303,565.93,3720989.75,38.5209,6.859757576,45.38065758
anthracite,supercritical,17,1200,726.4,52.41,4776080,10,0.75,15,38.36,8.071111111,46.43111111,617.44,4059668,37.9764,6.860444444,44.83684444
anthracite,supercritical,17,1300,786.9,51.72,5173867.5,10,0.75,15,37.85,8.070769231,45.92076923,668.865,4397787.375,37.4715,6.860153846,44.33165385
anthracite,supercritical,17,1400,847.4,51.11,5571655,10,0.75,15,37.41,8.07047619,45.48047619,720.29,4735906.75,37.0359,6.859904762,43.89580476
anthracite,supercritical,17,1500,907.9,50.55,5969442.5,10,0.75,15,37,8.070222222,45.07022222,771.715,5074026.125,36.63,6.859688889,43.48968889
anthracite,supercritical,17,1600,968.5,50.15,6367887.5,10,0.75,15,36.7,8.070833333,44.77083333,823.225,5412704.375,36.333,6.860208333,43.19320833
anthracite,supercritical,17,1700,1029,49.8,6765675,10,0.75,15,36.45,8.070588235,44.52058824,874.65,5750823.75,36.0855,6.86,42.9455
anthracite,supercritical,17,1800,1090,49.49,7166750,10,0.75,15,36.22,8.074074074,44.29407407,926.5,6091737.5,35.8578,6.862962963,42.72076296
anthracite,supercritical,17,1900,1150,49.21,7561250,10,0.75,15,36.02,8.070175439,44.09017544,977.5,6427062.5,35.6598,6.859649123,42.51944912
anthracite,supercritical,17,2000,1211,48.96,7962325,10,0.75,15,35.83,8.073333333,43.90333333,1029.35,6767976.25,35.4717,6.862333333,42.33403333
anthracite,supercritical,17,2100,1271,48.74,8356825,10,0.75,15,35.67,8.06984127,43.73984127,1080.35,7103301.25,35.3133,6.859365079,42.17266508
anthracite,supercritical,17,2200,1332,48.53,8757900,10,0.75,15,35.52,8.072727273,43.59272727,1132.2,7444215,35.1648,6.861818182,42.02661818
anthracite,supercritical,17,2300,1392,48.34,9152400,10,0.75,15,35.38,8.069565217,43.44956522,1183.2,7779540,35.0262,6.859130435,41.88533043
anthracite,supercritical,17,2400,1453,48.17,9553475,10,0.75,15,35.26,8.072222222,43.33222222,1235.05,8120453.75,34.9074,6.861388889,41.76878889
anthracite,supercritical,17,2500,1513,48.01,9947975,10,0.75,15,35.14,8.069333333,43.20933333,1286.05,8455778.75,34.7886,6.858933333,41.64753333
anthracite,supercritical,20,100,60.58,98.15,398313.5,10,0.75,15,71.84,8.077333333,79.91733333,51.493,338566.475,71.1216,6.865733333,77.98733333
anthracite,supercritical,20,200,121.1,77.06,796232.5,10,0.75,15,56.4,8.073333333,64.47333333,102.935,676797.625,55.836,6.862333333,62.69833333
anthracite,supercritical,20,300,181.6,68.76,1194020,10,0.75,15,50.33,8.071111111,58.40111111,154.36,1014917,49.8267,6.860444444,56.68714444
anthracite,supercritical,20,400,242.2,64.07,1592465,10,0.75,15,46.89,8.073333333,54.96333333,205.87,1353595.25,46.4211,6.862333333,53.28343333
