,RLOIid,riverName,RLOIid_upstream,RLOIid_downstream
327,6189,River Cam,,6190
328,6201,River Wid,6148,6200
329,3372,Shreen Water,3308,
330,8189,River Aire,8083,8054
331,5191,Hellifield Beck,,
332,3393,Mevagissey Stream,,
333,7095,River Thame,7094,7097
334,6099,River Bure,6094,6211
335,8184,River Ouse,8140,9347
336,5160,River Leven,,
337,5068,River Keer,,
338,3261,River Creedy,3245,
339,8311,Alverthorpe Beck,,8353
340,3169,River Cober,3338,
341,3346,River Caen,3351,3119
342,1167,Cuckmere & Pevensey Levels,,
343,3071,River Yeo,3079,
344,7376,River Roding,,7379
345,8267,Waren Burn,,8268
346,5162,River Rothay,9418,
347,2181,River Twyver,9024,2219
348,6107,River Nene,6111,6286
349,1131,Nailbourne,,
350,1089,River Medway,1069,1083
351,6280,River Thet,6273,
352,7381,River Roding,7380,
353,7027,River Thames,7024,7034
354,6089,River Ore,,
355,2086,River Teme,2057,2005
356,8196,River Wear,,8219
357,5091,River Ribble,5056,5066
358,3195,River Tamar,3203,3201
359,7401,River Wey,7240,7409
360,7001,Shill Brook,,
361,6243,Laceby Beck,,6244
362,6249,River Kennett,,6253
363,8165,River Holme,8342,
364,7249,Ifield Brook,,
365,5008,River Mersey,5101,5052
366,3352,Sea Levels,,
367,2157,River Cole,,2129
368,8235,River Foss,9305,9387
369,7070,Wendlebury Brook,,
370,3400,Little Salt Moor Rhyne,,
371,7264,Hogsmill River,,7265
372,4033,Yazor Brook,,
373,7219,Chertsey Bourne,7220,7218
374,6049,River Witham,6044,6056
375,8011,River Ure,,8113
376,7223,Mill Bourne,,
377,8034,River Tees,8014,8315
378,7112,River Kennet,,7113
379,8302,Lands Beck,,
380,3157,St Austell River,3155,
381,7294,Pyl Brook,,7295
382,7125,Winterbourne Stream,,
383,7341,River Beane,7339,
384,3174,River Fal,,3164
385,1069,River Medway,9124,1089
386,6215,River Bure,6211,6203
387,3364,River Tone,3082,9126
388,3349,The Gissage,,
389,8108,River Skerne,8164,8190
390,7207,River Colne,9436,7211
391,4027,River Dore,,
392,8077,River Aire,9312,8122
393,7310,River Ravensbourne,7311,7314
394,8316,Wyke Beck,9392,
395,8239,Burstwick Drain,,
396,7227,River Wey,7226,7230
397,2207,Hatherley Brook,,2208
398,8126,Pickering Beck,,9005
399,6162,River Great Ouse,6387,6276
400,7320,River Ravensbourne,7314,7315
401,6263,Twin,,
402,6050,River Witham,6045,6058
403,7084,River Thames,7083,7085
404,2081,River Severn,2039,2022
405,1126,River Rother,,1030
406,5099,River Ribble,5066,5119
407,7372,Pymmes Brook,7371,
408,5013,River Roch,5231,
409,6053,River Brant,,6221
410,8278,River Wharfe,8050,8078
411,1107,River Ouse,1106,9246
412,5122,River Ribble,5119,5146
413,7190,River Chess,7189,
414,5080,River Lune,9127,
415,6217,River Thurne,,
416,7183,River Pinn,7203,7204
417,3112,River Bray,9339,
418,7284,Edgware Brook,,
419,2231,Day Brook,,
420,3037,River Avon,3414,3013
421,6139,River Colne,6138,6140
422,3280,Dorset Frome,3275,
423,5085,Sankey Brook,5069,
424,2217,River Trent,2100,2102
425,2049,River Avon,2002,9025
426,3318,River Ebble,3371,
427,3339,Penberth Stream,,
428,8154,River Font,,
429,3217,River Harbourne,3210,3360
430,6025,River Welland,6023,6024
431,8284,Brough Beck,9344,
432,3245,River Creedy,,3261
433,3142,River Fowey,,3139
434,8246,River Went,9041,
435,7391,River Thames,7389,7390
436,1018,Eastern Yar,9215,
437,2212,River Maun,,2146
438,7165,River Thames,7163,7166
439,6227,Billinghay Skirth,6071,
440,3227,River Axe,,3350
441,8191,River Calder,9031,8298
442,6150,Alconbury Brook,6161,
443,2184,River Leam,2079,
444,5011,Pendle Water,5087,
445,5222,Mearley Brook,,
446,7398,The Cut,9118,
447,5216,Wiza Beck,,5221
448,6005,Sea Levels,,
449,8082,River Leven,8365,
450,6252,Old Bedford River,,6261
451,8270,Cockshaw Burn,,8271
452,7254,River Mole,7250,7257
453,3178,River Thrushel,3194,
454,3310,River Bourne,3311,3309
455,2129,River Cole,2157,9065
456,7181,Red,,
457,8104,River Nidd,8121,8186
458,3294,River Brit,3293,
459,7263,River Mole,7262,
460,7098,Ewelme Brook,,
461,6222,Pointon Lode,,
462,7335,River Mimram,7334,7336
463,7237,Law Brook,,
464,7036,River Thames,7035,7037
465,3119,River Caen,3346,
466,6075,Alconbury Brook,,6161
467,8338,Fleet Drain,8373,
468,8200,River Leven,8364,8365
469,3045,Midford Brook,,
470,1121,River Dudwell,,
471,6026,West Glen River,,6036
472,3306,River Stour,3296,3305
473,2042,River Avon,,2043
474,4007,River Lugg,4022,4006
475,8151,Ea Beck,8244,
476,3327,River Wylye,3326,
477,7262,River Mole,7261,7263
478,8139,River Wansbeck,8137,8293
479,2218,River Wreake,2192,2111
480,3225,River Bovey,,3207
