year,coal_power_capacity_GW,gas_power_capacity_GW,oil_power_capacity_GW,coal_power_capacity_existing,gas_power_capacity_existing,oil_power_capacity_existing,coal_power_capacity_new,gas_power_capacity_new,oil_power_capacity_new,coal_annual_emission_intensity_2015,gas_annual_emission_intensity_2015,oil_annual_emission_intensity_2015,coal_lock_emission_intensity_2015,gas_lock_emission_intensity_2015,oil_lock_emission_intensity_2015,coal_power_annual_emission_existing,gas_power_annual_emission_existing,oil_power_annual_emission_existing,coal_power_lock_emission_existing,gas_power_lock_emission_existing,oil_power_lock_emission_existing,coal_power_annual_emission_new,gas_power_annual_emission_new,oil_power_annual_emission_new,coal_power_lock_emission_new,gas_power_lock_emission_new,oil_power_lock_emission_new,coal_annual_emission_overall,gas_annual_emission_overall,oil_annual_emission_overall,coal_power_lock_emission_overall,gas_power_lock_emission_overall,oil_power_lock_emission_overall
2028,2154.6,1808.0,334.1,1716.974765,1380.1944230000001,330.8093316,24.16,40.05,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,8.942813044,3.2928052780000003,0.790238164,104.32295,34.55735753,6.903075581,0.13,0.1,0.0,4.52,3.46,0.0,11.24281304,4.302805278,1.290238164,171.04695,65.07560753,21.048075581000003
2029,2147.5,1822.7,331.9,1675.2876789999998,1356.655064,324.92969889999995,34.59,38.24,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,8.712557448,3.232462556,0.7749926770000001,98.40866191,34.30051827,7.3521816310000006,0.18,0.09,0.0,6.47,3.31,0.0,11.19255745,4.332462556,1.274992677,169.55491191,67.20451827,21.052181631
2030,2145.5,1845.5,324.3,1634.116498,1310.029946,305.2534665,39.17,69.43,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,8.490993534,3.1168495330000003,0.7263977629999999,91.72789303,32.36399603,6.958319562000001,0.21,0.17,0.0,7.33,6.0,0.0,11.18099353,4.386849533,1.226397763,167.99464303,70.26099603,20.213319562
2031,2142.2,1872.1,321.9,1560.155133,1282.416138,298.73308239999994,70.66,54.21,1.93,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,8.093583625,3.047948388,0.710576071,86.25782029999999,30.24945108,6.594289273999999,0.37,0.13,0.0,13.23,4.69,0.17,11.15358363,4.447948388,1.210576071,173.36182029999998,71.67945108,19.574289274
2032,2143.0,1895.5,317.6,1523.637074,1259.5728119999999,288.80499380000003,37.32,46.24,2.09,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,7.896836596,2.989885731,0.6861335679999999,80.38074824,28.29463689,6.285430104,0.2,0.11,0.01,6.99,4.0,0.18,11.1568366,4.499885731,1.196133568,171.75124824,72.45038689,18.996180103999997
2033,2143.9,1917.3,315.2,1405.340627,1185.0754550000001,262.1967684,119.2,96.3,16.89,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,7.272574056,2.808341327,0.6222990420000001,75.41387394,26.47859326,6.002794708,0.63,0.23,0.04,22.31,8.32,1.5,11.16257406,4.548341327,1.1722990420000001,186.19612394,77.58009326,19.759794708
2034,2146.6,1946.0,310.6,1347.453391,1108.801052,244.1479208,60.59,104.97,8.37,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,6.968368981,2.6215581230000002,0.578297197,70.0859765,24.95063171,5.7553961010000005,0.32,0.25,0.02,11.34,9.07,0.74,11.17836898,4.611558123,1.148297197,188.7522265,83.53988171,19.761146101
2035,2150.0,1977.7,307.0,1293.0239,1063.002479,227.9221383,57.83,77.5,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,6.6851790310000005,2.509671565,0.537712862,65.5012826,23.32200819,5.453913035,0.3,0.19,0.0,10.82,6.7,0.0,11.19517903,4.689671565,1.107712862,191.2480326,86.80225819,18.949913035
2036,2151.2,2004.7,304.0,1235.271176,994.1479662,219.02194469999998,58.95,95.85,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,6.3805035320000005,2.338707882,0.516487967,61.030285600000006,21.94802161,5.16334511,0.31,0.23,0.0,11.03,8.29,0.0,11.20050353,4.748707882,1.086487967,193.7970356,91.74177160999999,18.14959511
2037,2151.2,2034.9,299.2,1188.174458,959.0601569,203.8870884,47.1,65.29,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,6.12487971,2.250776408,0.479588289,57.08788949,20.48783702,4.889094752,0.25,0.16,0.0,8.82,5.64,0.0,11.19487971,4.820776408,1.0495882890000001,194.38888949,93.73783702,17.365594752
2038,2155.6,2063.0,297.0,1154.067349,926.5167111,194.8977365,38.51,60.64,2.86,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,5.938214648,2.168608926,0.45765041100000003,53.32707769,19.25508041,4.689494845,0.2,0.14,0.01,7.21,5.24,0.25,11.20821465,4.878608926,1.037650411,193.33182769,95.42033040999999,16.906244845000003
2039,2159.7,2095.7,293.0,1127.188136,876.6558259999999,181.93797,30.98,82.56,5.78,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,5.791241779,2.045145006,0.42481337,49.4441675,18.17805622,4.54238999,0.16,0.2,0.01,5.8,7.14,0.51,11.22124178,4.955145006,1.01481337,190.5624175,99.02755622000001,16.75313999
2040,2164.5,2121.9,290.8,1077.831332,823.9050593,175.288946,54.16,78.95,3.36,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,5.52216125,1.912542611,0.406872915,46.01243082,17.19995347,4.369841651000001,0.28,0.19,0.01,10.14,6.82,0.3,11.23216125,5.012542611000001,1.006872915,192.43918082000002,102.23520346999999,16.351841651
