year,coal_power_capacity_GW,gas_power_capacity_GW,oil_power_capacity_GW,coal_power_capacity_existing,gas_power_capacity_existing,oil_power_capacity_existing,coal_power_capacity_new,gas_power_capacity_new,oil_power_capacity_new,coal_annual_emission_intensity_2015,gas_annual_emission_intensity_2015,oil_annual_emission_intensity_2015,coal_lock_emission_intensity_2015,gas_lock_emission_intensity_2015,oil_lock_emission_intensity_2015,coal_power_annual_emission_existing,gas_power_annual_emission_existing,oil_power_annual_emission_existing,coal_power_lock_emission_existing,gas_power_lock_emission_existing,oil_power_lock_emission_existing,coal_power_annual_emission_new,gas_power_annual_emission_new,oil_power_annual_emission_new,coal_power_lock_emission_new,gas_power_lock_emission_new,oil_power_lock_emission_new,coal_annual_emission_overall,gas_annual_emission_overall,oil_annual_emission_overall,coal_power_lock_emission_overall,gas_power_lock_emission_overall,oil_power_lock_emission_overall
2025,2174.6,1764.8,345.9,2018.0528100000001,1615.100001,388.40000019999997,-5.46,3.6,0.1,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.39744945,3.796174241,0.911724929,135.00765239999998,44.71888956,8.909932601,-0.03,0.01,0.0,-1.02,0.31,0.01,11.22744945,4.166174241,1.411724929,158.6791524,54.99738956,24.389932600999998
2026,2164.6,1777.8,343.6,2014.5568440000002,1615.100001,388.40000019999997,-6.5,13.0,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.34787591,3.785708425,0.910804545,130.0242244,42.94742347,8.558361048,-0.03,0.03,0.0,-1.22,1.12,0.0,11.14787591,4.185708425,1.410804545,151.74347440000003,54.02267347,23.593361048000002
2027,2158.8,1791.5,338.5,2012.173007,1615.100001,388.40000019999997,-3.42,13.7,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.31656192,3.776307423,0.907511724,124.28375349999999,41.20254099,8.381885173999999,-0.02,0.03,0.0,-0.64,1.18,0.0,11.09656192,4.206307423,1.4075117240000001,144.6612535,53.10654099,22.971885174
2028,2154.6,1808.0,334.1,2006.444188,1615.100001,388.40000019999997,1.53,16.5,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.26159608,3.760847455,0.9049474909999999,119.30057020000001,39.91423024,8.158467136,0.01,0.04,0.0,0.29,1.43,0.0,11.05159608,4.230847455,1.404947491,139.28232020000002,52.86748024,22.303467136000002
2029,2147.5,1822.7,331.9,2005.192122,1615.100001,388.40000019999997,-5.85,14.7,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.21278931,3.747658402,0.901627527,116.5589233,40.47343549,8.813599918,-0.03,0.04,0.0,-1.09,1.27,0.0,10.97278931,4.257658402,1.4016275269999998,134.75767330000002,54.28018549,22.513599917999997
2030,2145.5,1845.5,324.3,2002.562782,1615.100001,388.40000019999997,0.63,22.8,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.16683933,3.725672409,0.892175589,112.9978525,40.2400592,9.143659804,0.0,0.05,0.0,0.12,1.97,0.0,10.92683933,4.285672409,1.392175589,130.6508525,55.5685592,22.398659803999998
2031,2142.2,1872.1,321.9,2000.6895920000002,1615.100001,388.40000019999997,-1.43,26.6,1.93,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.08856488,3.71236605,0.8892660040000001,113.70843789999999,39.16646175,9.019225256,-0.01,0.06,0.0,-0.27,2.3,0.17,10.83856488,4.33236605,1.389266004,130.4226879,56.297461750000004,21.999225256000003
2032,2143.0,1895.5,317.6,1998.7402960000002,1615.100001,388.40000019999997,2.75,23.4,2.09,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.04469764,3.7000603930000002,0.884585152,110.99196210000001,38.15515462,9.120776338999999,0.01,0.06,0.01,0.51,2.02,0.18,10.80469764,4.380060393,1.3945851519999999,127.55421210000002,56.751154619999994,21.831526339
2033,2143.9,1917.3,315.2,1995.5389329999998,1615.100001,388.40000019999997,4.1,21.8,16.89,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,9.930397861,3.667601825,0.873778831,116.6717961,39.42074206,9.952109479,0.02,0.05,0.04,0.77,1.88,1.5,10.71039786,4.397601825,1.423778831,133.3292961,59.29124206,23.709109479000002
2034,2146.6,1946.0,310.6,1992.101887,1615.100001,388.40000019999997,6.14,28.7,8.37,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,9.867183212999999,3.63242099,0.86578359,116.6089493,41.28430769,10.50722092,0.03,0.07,0.02,1.15,2.48,0.74,10.67718321,4.43242099,1.43578359,133.7224493,62.98230769,24.51297092
2035,2150.0,1977.7,307.0,1989.447997,1615.100001,388.40000019999997,6.05,31.7,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,9.806620203,3.611677088,0.857311418,117.21796529999999,41.79174697,10.96251341,0.03,0.08,0.0,1.13,2.74,0.0,10.6466202,4.491677088,1.4273114180000002,134.7387153,65.51524696999999,24.458513410000002
2036,2151.2,2004.7,304.0,1986.5927940000001,1615.100001,388.40000019999997,4.06,27.0,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,9.743411369,3.577881244,0.85377863,118.57644409999999,43.77547371,11.09471439,0.02,0.06,0.0,0.76,2.33,0.0,10.60341137,4.517881244,1.42377863,136.10619409999998,69.04597371,24.080964390000002
2037,2151.2,2034.9,299.2,1984.849721,1615.100001,388.40000019999997,1.74,30.2,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,9.691559466000001,3.5594041310000004,0.846904332,119.8561631,44.09469688,11.59391153,0.01,0.07,0.0,0.33,2.61,0.0,10.56155947,4.569404131000001,1.4169043319999999,136.94591309999998,71.13394688,24.07041153
