primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,age
subbituminous,subcritical,20,2200,1951,45.93,12827825.00,6
subbituminous,subcritical,20,2300,2039,45.73,13406425.00,6
subbituminous,subcritical,20,2400,2128,45.54,13991600.00,6
subbituminous,subcritical,20,2500,2217,45.37,14576775.00,6
subbituminous,subcritical,23,100,88.74,99.23,583465.50,7
subbituminous,subcritical,23,200,177.4,76.56,1166405.00,7
subbituminous,subcritical,23,300,266.1,67.62,1749607.50,7
subbituminous,subcritical,23,400,354.7,62.56,2332152.50,7
subbituminous,subcritical,23,500,443.4,59.19,2915355.00,7
subbituminous,subcritical,23,600,532,56.74,3497900.00,7
subbituminous,subcritical,23,700,620.7,54.85,4081102.50,7
subbituminous,subcritical,23,800,709.3,53.33,4663647.50,7
subbituminous,subcritical,23,900,798,52.06,5246850.00,7
subbituminous,subcritical,23,1000,886.7,50.99,5830052.50,7
subbituminous,subcritical,23,1100,975.3,50.05,6412597.50,7
subbituminous,subcritical,23,1200,1064,49.22,6995800.00,7
subbituminous,subcritical,23,1300,1153,48.48,7580975.00,7
subbituminous,subcritical,23,1400,1241,47.88,8159575.00,7
subbituminous,subcritical,23,1500,1330,47.43,8744750.00,7
subbituminous,subcritical,23,1600,1419,47.02,9329925.00,7
subbituminous,subcritical,23,1700,1507,46.66,9908525.00,7
subbituminous,subcritical,23,1800,1596,46.35,10493700.00,7
subbituminous,subcritical,23,1900,1685,46.06,11078875.00,7
subbituminous,subcritical,23,2000,1773,45.8,11657475.00,7
subbituminous,subcritical,23,2100,1862,45.56,12242650.00,7
subbituminous,subcritical,23,2200,1951,45.35,12827825.00,7
subbituminous,subcritical,23,2300,2039,45.15,13406425.00,7
subbituminous,subcritical,23,2400,2128,44.96,13991600.00,7
subbituminous,subcritical,23,2500,2217,44.79,14576775.00,7
subbituminous,subcritical,27,100,88.74,97.72,583465.50,8
subbituminous,subcritical,27,200,177.4,75.29,1166405.00,8
subbituminous,subcritical,27,300,266.1,66.47,1749607.50,8
subbituminous,subcritical,27,400,354.7,61.48,2332152.50,8
subbituminous,subcritical,27,500,443.4,58.17,2915355.00,8
subbituminous,subcritical,27,600,532,55.76,3497900.00,8
subbituminous,subcritical,27,700,620.7,53.91,4081102.50,8
subbituminous,subcritical,27,800,709.3,52.41,4663647.50,8
subbituminous,subcritical,27,900,798,51.17,5246850.00,8
subbituminous,subcritical,27,1000,886.7,50.11,5830052.50,8
subbituminous,subcritical,27,1100,975.3,49.19,6412597.50,8
subbituminous,subcritical,27,1200,1064,48.38,6995800.00,8
subbituminous,subcritical,27,1300,1153,47.65,7580975.00,8
subbituminous,subcritical,27,1400,1241,47.06,8159575.00,8
