year,coal_power_capacity_GW,coal_power_capacity_existing,coal_power_capacity_new,coal_annual_emission,coal_power_annual_emission_existing,coal_power_annual_emission_new,coal_lock_emission,coal_power_lock_emission_existing,coal_power_lock_emission_new,gas_power_capacity_GW,gas_power_capacity_existing,gas_power_capacity_new,gas_annual_emission,gas_power_annual_emission_existing,gas_power_annual_emission_new,gas_lock_emission,gas_power_lock_emission_existing,gas_power_lock_emission_new,oil_power_capacity_GW,oil_power_capacity_existing,oil_power_capacity_new,oil_annual_emission,oil_power_annual_emission_existing,oil_power_annual_emission_new,oil_lock_emission,oil_power_lock_emission_existing,oil_power_lock_emission_new,coal_power_capacity_new1,coal_power_annual_emission_new1,coal_power_annual_emission_new1,coal_power_capacity_new2,coal_power_annual_emission_new2,coal_power_annual_emission_new2,gas_power_capacity_new1,gas_power_annual_emission_new1,gas_power_annual_emission_new1,gas_power_capacity_new2,gas_power_annual_emission_new2,gas_power_annual_emission_new2,oil_power_capacity_new1,oil_power_annual_emission_new1,oil_power_annual_emission_new1,oil_power_capacity_new2,oil_power_annual_emission_new2,oil_power_annual_emission_new2
2033,2143.9,1278.7897,126.6198,11.105831084101107,6.56247884,0.6649768850025636,119.04567099881274,64.38845699999999,14.629491470056397,1917.3,1070.8897,100.6013,4.565073006360101,2.580179275,0.2359173952968394,47.347840278781874,23.04202515,5.190182696530468,315.2,228.6856,26.9378,0.7815374103652596,0.5555228489999999,0.06385061635468589,8.43395100146583,4.95412115,1.4047135598030893,0.0,0.0,0.0,126.6198,0.6649768850025636,0.6649768850025636,0.0,0.0,0.0,100.6013,0.2359173952968394,0.2359173952968394,0.0,0.0,0.0,26.9378,0.06385061635468589,0.06385061635468589
2034,2146.6,1217.6888,63.8009,11.123266632088718,6.244847331,0.33506705698761224,119.25504309571029,58.47402241,7.706542310715079,1946.0,983.1934,116.3963,4.628624832147562,2.370773277,0.27295782378746103,50.781343522304084,20.89841203,6.27802994711161,310.6,208.3604,15.7252,0.7702627061620919,0.506974733,0.037273411796832204,8.819120072180851,4.576516462,0.8572884713271407,0.0,0.0,0.0,63.800900000000006,0.33506705698761224,0.33506705698761224,0.0,0.0,0.0,116.39629999999998,0.27295782378746103,0.27295782378746103,0.0,0.0,0.0,15.7252,0.037273411796832204,0.037273411796832204
2035,2150.0,1160.9199,60.1689,11.125208554342418,5.930796591,0.31599266225369765,119.58877829821364,52.999332900000006,7.583823894088742,1977.7,930.4685,84.4249,4.700963419100578,2.245129308,0.19798255595301587,52.664898172909275,18.88824967,4.751581342872382,307.0,189.3986,15.3619,0.760691792656544,0.460991537,0.036412282494452004,9.132095831652403,4.131544366,0.8738947798668482,0.0,0.0,0.0,60.168899999999994,0.31599266225369765,0.31599266225369765,0.0,0.0,0.0,84.4249,0.19798255595301587,0.19798255595301587,0.0,0.0,0.0,15.3619,0.036412282494452004,0.036412282494452004
2036,2151.2,1099.7208,62.3991,11.122490575230358,5.600373472999999,0.3277051388879422,120.49453362147455,47.67745453,8.192628472198555,2004.7,851.0995,106.369,4.758517208105891,2.053240024,0.24944307300531415,55.95571191220313,16.91964045,6.236076825132855,304.0,180.0024,6.3962,0.7536476114104229,0.438786455,0.015160900753879008,9.03871769760741,3.796938007,0.37902251884697524,0.0,0.0,0.0,62.3991,0.3277051388879422,0.3277051388879422,0.0,0.0,0.0,106.369,0.24944307300531415,0.24944307300531415,0.0,0.0,0.0,6.3962,0.015160900753879008,0.015160900753879008
2037,2151.2,1044.6606,55.0602,11.12021021577669,5.308930121,0.2891629925463328,120.89330231693661,42.72779591,7.5182378062046515,2034.9,809.9745,71.325,4.825929082888329,1.953389565,0.16726233378243693,57.375492954079164,15.1231566,4.34882067834336,299.2,161.9564,13.246,0.7423735081396499,0.396115383,0.03139696872922693,9.276250048704169,3.3654190280000003,0.8163211869599004,0.0,0.0,0.0,55.0602,0.2891629925463328,0.2891629925463328,0.0,0.0,0.0,71.325,0.16726233378243693,0.16726233378243693,0.0,0.0,0.0,13.246,0.03139696872922693,0.03139696872922693
2038,2155.6,1005.7618,43.2988,11.128094964442115,5.089419935,0.22739493466542357,120.03231317700534,38.08490997,6.139663235966435,2063.0,769.916,68.1586,4.888634180432228,1.856257768,0.15983689454389913,58.81467873333853,13.48802253,4.315596152685276,297.0,150.8906,8.8658,0.737314967099304,0.370042253,0.02101458895965425,9.365168879077695,3.054621843,0.5673939019106647,0.0,0.0,0.0,43.2988,0.22739493466542357,0.22739493466542357,0.0,0.0,0.0,68.1586,0.15983689454389913,0.15983689454389913,0.0,0.0,0.0,8.8658,0.02101458895965425,0.02101458895965425
2039,2159.7,974.5338,35.328,11.147056484201954,4.922847254,0.18553420075983829,118.22888243148395,33.59777962,5.194957621275472,2095.7,710.0627,92.5533,4.962392727992915,1.712972068,0.21704424756068724,61.89122039779474,11.83649147,6.077238931699245,293.0,135.3601,11.5305,0.7266339774254668,0.332030541,0.027330722326162706,9.651215646125342,2.757271119,0.7652602251325559,0.0,0.0,0.0,35.328,0.18553420075983829,0.18553420075983829,0.0,0.0,0.0,92.5533,0.21704424756068724,0.21704424756068724,0.0,0.0,0.0,11.5305,0.027330722326162706,0.027330722326162706
2040,2164.5,917.9232,61.4106,11.167809117672915,4.621086114,0.3225137734709614,120.43578889481307,29.09291861,9.352899430657878,2121.9,648.3597,87.903,5.017997320447559,1.5624377059999999,0.20613895445464497,64.82552738644392,10.29386596,5.978029679184706,290.8,128.0052,5.1549,0.7194851431387607,0.31266305699999997,0.012218649713293969,9.578387864097648,2.531096735,0.3543408416855251,0.0,0.0,0.0,61.4106,0.3225137734709614,0.3225137734709614,0.0,0.0,0.0,87.903,0.20613895445464497,0.20613895445464497,0.0,0.0,0.0,5.1549,0.012218649713293969,0.012218649713293969
2041,2169.0,880.6816,41.7416,11.192390726631388,4.42645083,0.21921689295847102,119.994067960472,24.94964533,6.57650678875413,2150.4,599.1427,77.717,5.08073793703038,1.442926282,0.18225204058282019,67.20805040641339,8.859375685,5.467561217484607,287.9,124.8905,0.2147,0.7124592761423969,0.305128287,0.0005089030036361938,9.159139475451376,2.306434017,0.015267090109085817,0.0,0.0,0.0,41.7416,0.21921689295847102,0.21921689295847102,0.0,0.0,0.0,77.717,0.18225204058282019,0.18225204058282019,0.0,0.0,0.0,0.2147,0.0005089030036361938,0.0005089030036361938
2042,2173.8,799.0027,86.4789,11.208521431971343,3.98841505,0.4541664853399563,127.00576295319658,20.92154639,14.079161045538642,2180.6,556.6808,72.6619,5.1478750129450805,1.3396658959999999,0.17039746191470106,69.45026708381688,7.606507996,5.2823213193557335,285.7,108.9289,13.7616,0.706409630575745,0.266459547,0.032619094433348136,9.64291274587708,1.9892497980000001,1.0111919274337924,0.0,0.0,0.0,86.4789,0.4541664853399563,0.4541664853399563,0.0,0.0,0.0,72.6619,0.17039746191470106,0.17039746191470106,0.0,0.0,0.0,13.7616,0.032619094433348136,0.032619094433348136
2043,2177.8,732.7438,70.2589,11.230984245331097,3.6418949360000004,0.36898292735975424,131.7110171397562,17.21069304,11.807453675512136,2210.3,501.754,84.6268,5.2124823641426214,1.205817221,0.19845602619753988,72.728379658202,6.453322718,6.350592838321276,283.1,100.0501,6.2788,0.6990660023318277,0.24423329100000002,0.014882627756082597,9.621184664877793,1.726791865,0.4762440881946431,0.0,0.0,0.0,70.2589,0.36898292735975424,0.36898292735975424,0.0,0.0,0.0,84.6268,0.19845602619753988,0.19845602619753988,0.0,0.0,0.0,6.2788,0.014882627756082597,0.014882627756082597
2044,2183.8,651.3275,87.4162,11.260813831942006,3.212635562,0.45908896061090837,139.68179024907585,13.71806293,15.149935700159975,2246.5,421.0198,116.9342,5.294033134712299,1.013148753,0.27421923856967734,78.58194328110719,5.335711275,9.049234872799355,280.8,94.0526,3.6975,0.6926433865835502,0.22904649800000002,0.008764177251722526,9.455803680785841,1.51961337,0.28921784930684347,0.0,0.0,0.0,87.41619999999999,0.45908896061090837,0.45908896061090837,0.0,0.0,0.0,116.9342,0.27421923856967734,0.27421923856967734,0.0,0.0,0.0,3.6975000000000002,0.008764177251722526,0.008764177251722526
2045,2189.5,535.7385,121.2891,11.300344878369657,2.6151852840000003,0.6369813244276522,154.2051851062717,10.64937363,21.657365030540173,2281.3,371.2393,84.5805,5.371792181028603,0.89256035,0.19834744931630433,82.09490085314738,4.409146249,6.743813276754349,279.3,81.839,10.7136,0.6870967193858638,0.198105405,0.025394425802313582,9.831997161433035,1.287047158,0.8634104772786618,0.0,0.0,0.0,121.2891,0.6369813244276522,0.6369813244276522,0.0,0.0,0.0,84.5805,0.19834744931630433,0.19834744931630433,0.0,0.0,0.0,10.713600000000001,0.025394425802313582,0.025394425802313582
2046,2197.4,479.1991,64.4394,11.33666192054163,2.31308202,0.3384203061719747,159.02096164118296,8.227154448,11.844710716019113,2317.2,286.4113,120.7281,5.450904135162419,0.688556093,0.28311621113381596,88.6042713151979,3.482335332,9.90906738968356,274.9,63.7945,13.6445,0.6765829489108477,0.155250102,0.03234153252498392,10.440779321244037,1.040111726,1.131953638374437,0.0,0.0,0.0,64.4394,0.3384203061719747,0.3384203061719747,0.0,0.0,0.0,120.72810000000001,0.28311621113381596,0.28311621113381596,0.0,0.0,0.0,13.6445,0.03234153252498392,0.03234153252498392
2047,2204.9,406.0464,80.6526,11.345308534721287,1.898160482,0.42356815217965726,167.13142812964233,5.992000225,15.24845347846766,2350.6,238.11,81.7013,5.5250299662140705,0.571086409,0.1915955150516511,92.12729757168223,2.8285357419999997,6.897438541859441,272.7,54.9573,6.6372,0.6700849535085847,0.133019964,0.015732142597737052,10.566804590239776,0.9043147490000001,0.566357133518534,0.0,0.0,0.0,80.6526,0.42356815217965726,0.42356815217965726,0.0,0.0,0.0,81.7013,0.1915955150516511,0.1915955150516511,0.0,0.0,0.0,6.6372,0.015732142597737052,0.015732142597737052
2048,2212.3,301.7628,111.6837,11.35665435526096,1.32297024,0.5865360625396724,181.35390351864024,3.7966854039999998,21.701834313967876,2378.8,161.2513,105.0586,5.586527053522384,0.386213407,0.24637008930831444,97.74226107216828,2.2208545969999998,9.115693304407635,269.8,37.9014,14.1559,0.6624647314856392,0.091846039,0.03355370297705448,11.373870863530033,0.7885878279999999,1.2414870101510156,0.0,0.0,0.0,111.6837,0.5865360625396724,0.5865360625396724,0.0,0.0,0.0,105.0586,0.24637008930831444,0.24637008930831444,0.0,0.0,0.0,14.1559,0.03355370297705448,0.03355370297705448
2049,2218.0,245.2516,62.2112,11.384634069320018,1.024231621,0.32671833305905934,186.39478830806527,2.248863499,12.415296656244253,2406.3,123.768,64.9833,5.649158899677789,0.296454669,0.15239058415540457,99.92280833754187,1.731500656,5.790842197905377,267.6,34.3154,1.386,0.6565729656623498,0.08266904,0.003285233176710594,11.0502123451305,0.68982144,0.1248388607150026,0.0,0.0,0.0,62.2112,0.32671833305905934,0.32671833305905934,0.0,0.0,0.0,64.9833,0.15239058415540457,0.15239058415540457,0.0,0.0,0.0,1.386,0.003285233176710594,0.003285233176710594
2050,2224.8,146.6256,105.426,11.387951776148672,0.473877208,0.5536721198286545,200.6495237521575,1.047358648,21.593212673317524,2436.1,65.8927,87.6753,5.715465951003766,0.15715673900000002,0.2056049813259767,104.15145532077555,1.207265414,8.01859427171309,265.4,19.7855,12.3299,0.650338859295484,0.047209395,0.029225538633134165,11.673395419190324,0.52606047,1.1397960066922326,0.0,0.0,0.0,105.426,0.5536721198286545,0.5536721198286545,0.0,0.0,0.0,87.6753,0.2056049813259767,0.2056049813259767,0.0,0.0,0.0,12.3299,0.029225538633134165,0.029225538633134165
