year,coal_power_capacity_GW,coal_power_capacity_existing,coal_power_capacity_new,coal_annual_emission,coal_power_annual_emission_existing,coal_power_annual_emission_new,coal_lock_emission,coal_power_lock_emission_existing,coal_power_lock_emission_new,gas_power_capacity_GW,gas_power_capacity_existing,gas_power_capacity_new,gas_annual_emission,gas_power_annual_emission_existing,gas_power_annual_emission_new,gas_lock_emission,gas_power_lock_emission_existing,gas_power_lock_emission_new,oil_power_capacity_GW,oil_power_capacity_existing,oil_power_capacity_new,oil_annual_emission,oil_power_annual_emission_existing,oil_power_annual_emission_new,oil_lock_emission,oil_power_lock_emission_existing,oil_power_lock_emission_new,coal_power_capacity_new1,coal_power_annual_emission_new1,coal_power_annual_emission_new1,coal_power_capacity_new2,coal_power_annual_emission_new2,coal_power_annual_emission_new2,gas_power_capacity_new1,gas_power_annual_emission_new1,gas_power_annual_emission_new1,gas_power_capacity_new2,gas_power_annual_emission_new2,gas_power_annual_emission_new2,oil_power_capacity_new1,oil_power_annual_emission_new1,oil_power_annual_emission_new1,oil_power_capacity_new2,oil_power_annual_emission_new2,oil_power_annual_emission_new2
2037,2151.2,1439.714627,27.47,9.071286373,5.33465866,0.144265865,82.26274475,43.18338531,3.750912502,2034.9,1227.827406,33.56,3.846074556,1.953389565,0.078700651,37.20492002,15.1231566,2.046216922,299.2,303.6663185,0,0.46518587,0.396115383,0,3.729036387,3.365419028,0,0,0,0,27.47,0.144265865,0.144265865,0,0,0,33.56,0.078700651,0.078700651,0,0,0,0,0,0
2038,2155.6,1415.46627,28.65,9.003972763,5.116882107,0.150462943,80.4671788,38.58730748,4.062499462,2063,1223.860292,32.07,3.824149251,1.856257768,0.075206492,36.90811444,13.48802253,2.030575285,297,303.4135729,0,0.43911274,0.370042253,0,3.403255955,3.054621843,0,0,0,0,28.65,0.150462943,0.150462943,0,0,0,32.07,0.075206492,0.075206492,0,0,0,0,0,0
2039,2159.7,1401.705811,17.86,8.931196527,4.950309426,0.093796445,77.24279885,34.10017713,2.626300473,2095.7,1221.161077,35.4,3.763879136,1.712972068,0.083015585,36.83800859,11.83649147,2.324436386,293,302.4516532,0,0.401101028,0.332030541,0,3.090921984,2.757271119,0,0,0,0,17.86,0.093796445,0.093796445,0,0,0,35.4,0.083015585,0.083015585,0,0,0,0,0,0
2040,2164.5,1384.040624,22.47,8.74744245,4.648548286,0.118007062,74.73093506,29.59531612,3.422204802,2121.9,1217.178466,30.18,3.684119078,1.562437706,0.070774304,36.5467158,10.29386596,2.052454816,290.8,300.9054452,0,0.381733544,0.312663057,0,2.849764353,2.531096735,0,0,0,0,22.47,0.118007062,0.118007062,0,0,0,30.18,0.070774304,0.070774304,0,0,0,0,0,0
2041,2169,1370.195467,18.35,8.649176974,4.453913002,0.096369808,71.96399333,25.45204284,2.891094246,2150.4,1214.742692,30.94,3.637164214,1.442926282,0.07255656,36.43648885,8.859375685,2.176696785,287.9,300.3865735,0,0.374198774,0.305128287,0,2.610118388,2.306434017,0,0,0,0,18.35,0.096369808,0.096369808,0,0,0,30.94,0.07255656,0.07255656,0,0,0,0,0,0
2042,2173.8,1341.223627,33.77,8.388493152,4.015877223,0.177351958,71.84676501,21.4239439,5.497910687,2180.6,1212.978904,31.96,3.608852362,1.339665896,0.074948534,36.60017484,7.606507996,2.323404554,285.7,298.9949864,0,0.335530034,0.266459547,0,2.277950922,1.989249798,0,0,0,0,33.77,0.177351958,0.177351958,0,0,0,31.96,0.074948534,0.074948534,0,0,0,0,0,0
2043,2177.8,1310.246024,34.98,8.225679626,3.669357109,0.183706588,72.29003466,17.71309055,5.878610818,2210.3,1208.649735,34.03,3.554806522,1.205817221,0.079802835,37.03574429,6.453322718,2.553690725,283.1,298.4181319,0,0.313303778,0.244233291,0,2.000509742,1.726791865,0,0,0,0,34.98,0.183706588,0.183706588,0,0,0,34.03,0.079802835,0.079802835,0,0,0,0,0,0
2044,2183.8,1295.962644,20.28,7.902925958,3.240097734,0.106505706,70.44063976,14.22046044,3.514688307,2246.5,1206.330889,38.52,3.452470267,1.013148753,0.090332213,37.87031762,5.335711275,2.980963031,280.8,297.3342996,0,0.298116985,0.229046498,0,1.778348,1.51961337,0,0,0,0,20.28,0.106505706,0.106505706,0,0,0,38.52,0.090332213,0.090332213,0,0,0,0,0,0
2045,2189.5,1235.284057,66.38,7.654087554,2.642647457,0.348611873,77.26543383,11.15177114,11.85280368,2281.3,1203.413313,37.72,3.420338019,0.89256035,0.088456155,38.84795952,4.409146249,3.007509258,279.3,296.7024358,0,0.267175892,0.198105405,0,1.530798542,1.287047158,0,0,0,0,66.38,0.348611873,0.348611873,0,0,0,37.72,0.088456155,0.088456155,0,0,0,0,0,0
2046,2197.4,1219.549753,23.63,7.476083393,2.340544192,0.124099105,76.93104291,8.72955196,4.343468658,2317.2,1200.862019,38.45,3.306501819,0.688556093,0.090168058,39.89854056,3.482335332,3.155882029,274.9,295.9992085,0,0.224320589,0.155250102,0,1.268879863,1.040111726,0,0,0,0,23.63,0.124099105,0.124099105,0,0,0,38.45,0.090168058,0.090168058,0,0,0,0,0,0
2047,2204.9,1194.809161,32.24,7.233888502,1.929032537,0.169316764,78.54982086,6.617153523,6.095403498,2350.6,1197.241464,37.02,3.275846739,0.571086409,0.086814604,41.11267958,2.828535742,3.125325727,272.7,294.9570049,0,0.202090451,0.133019964,0,1.118099639,0.904314749,0,0,0,0,32.24,0.169316764,0.169316764,0,0,0,37.02,0.086814604,0.086814604,0,0,0,0,0,0
2048,2212.3,1162.856911,39.35,6.868720616,1.357207869,0.206656782,81.608721,4.546364925,7.64630094,2378.8,1195.615737,29.83,3.160927265,0.386213407,0.069953528,41.75775872,2.220854597,2.588280553,269.8,294.5615325,0,0.160916526,0.091846039,0,0.987389471,0.788587828,0,0,0,0,39.35,0.206656782,0.206656782,0,0,0,29.83,0.069953528,0.069953528,0,0,0,0,0,0
2049,2218,1135.275846,33.28,6.744760592,1.05846925,0.174778595,83.99471598,2.99854302,6.641586607,2406.3,1193.499755,29.62,3.140629591,0.296454669,0.069461063,42.5076979,1.731500656,2.639520398,267.6,293.7111181,0,0.151739527,0.08266904,0,0.873639836,0.68982144,0,0,0,0,33.28,0.174778595,0.174778595,0,0,0,29.62,0.069461063,0.069461063,0,0,0,0,0,0
2050,2224.8,1107.382993,34.69,6.379955329,0.51148041,0.182183577,87.15581863,1.928295539,7.105159521,2436.1,1191.499292,31.8,3.075904983,0.157156739,0.074573322,43.42560694,1.207265414,2.90835957,265.4,293.5550106,0,0.116279882,0.047209395,0,0.694895619,0.52606047,0,0,0,0,34.69,0.182183577,0.182183577,0,0,0,31.8,0.074573322,0.074573322,0,0,0,0,0,0
