powerplanteic,time,power,*
48WSTN00000SCCLO,18,300.7,*
48WSTN00000SCCLO,19,362.5,*
48WSTN00000SCCLO,20,363.1,*
48WSTN00000SCCLO,21,301.7,*
48WSTN00000SCCLO,22,301.7,*
48WSTN00000SCCLO,23,301.7,*
48WSTN00000SCCLO,24,361.4,*
48WSTN00000SCCLO,25,370.2,*
48WSTN00000SCCLO,26,369.5,*
48WSTN00000SCCLO,27,349.6,*
48WSTN00000SCCLO,28,454.1,*
48WSTN00000SCCLO,29,492.8,*
48WSTN00000SCCLO,30,508.1,*
48WSTN00000SCCLO,31,602.4000000000001,*
48WSTN00000SCCLO,32,676.7,*
48WSTN00000SCCLO,33,751.0,*
48WSTN00000SCCLO,34,794.4000000000001,*
48WSTN00000SCCLO,35,715.3,*
48WSTN00000SCCLO,36,840.3,*
48WSTN00000SCCLO,37,869.5,*
48WSTN00000SCCLO,38,936.3,*
48WSTN00000SCCLO,39,868.0000000000001,*
48WSTN00000SCCLO,40,770.6,*
48WSTN00000SCCLO,41,488.4,*
48WSTN00000SCCLO,42,364.8,*
48WSTN00000SCCLO,43,370.3,*
48WSTN00000SCCLO,44,370.2,*
48WSTN00000SCCLO,45,370.2,*
48WSTN00000SCCLO,46,370.1,*
48WSTN00000SCCLO,47,311.6,*
48WSTN00000SCCLO,48,300.6,*
48WSTN00000SIZBP,1,1197.58,*
48WSTN00000SIZBP,2,1196.1999999999998,*
48WSTN00000SIZBP,3,1190.84,*
48WSTN00000SIZBP,4,1198.0,*
48WSTN00000SIZBP,5,1197.52,*
48WSTN00000SIZBP,6,1197.46,*
48WSTN00000SIZBP,7,1196.6799999999998,*
48WSTN00000SIZBP,8,1197.04,*
48WSTN00000SIZBP,9,1196.94,*
48WSTN00000SIZBP,10,1196.74,*
48WSTN00000SIZBP,11,1197.26,*
48WSTN00000SIZBP,12,1196.94,*
48WSTN00000SIZBP,13,1197.58,*
48WSTN00000SIZBP,14,1197.46,*
48WSTN00000SIZBP,15,1197.3,*
48WSTN00000SIZBP,16,1197.44,*
48WSTN00000SIZBP,17,1197.48,*
48WSTN00000SIZBP,18,1196.94,*
48WSTN00000SIZBP,19,1197.1,*
48WSTN00000SIZBP,20,1196.6,*
48WSTN00000SIZBP,21,1197.04,*
48WSTN00000SIZBP,22,1195.9,*
48WSTN00000SIZBP,23,1196.62,*
48WSTN00000SIZBP,24,1196.26,*
48WSTN00000SIZBP,25,1195.92,*
48WSTN00000SIZBP,26,1196.66,*
48WSTN00000SIZBP,27,1196.86,*
48WSTN00000SIZBP,28,1196.62,*
48WSTN00000SIZBP,29,1197.1799999999998,*
48WSTN00000SIZBP,30,1196.56,*
