generatoreic,time,power,*
48W000000SEAB-1V,10,0.0,*
48W000000SEAB-1V,11,0.0,*
48W000000SEAB-1V,12,0.0,*
48W000000SEAB-1V,13,0.0,*
48W000000SEAB-1V,14,1.458,*
48W000000SEAB-1V,15,230.6,*
48W000000SEAB-1V,16,421.6,*
48W000000SEAB-1V,17,474.8,*
48W000000SEAB-1V,18,481.4,*
48W000000SEAB-1V,19,720.6,*
48W000000SEAB-1V,20,770.2,*
48W000000SEAB-1V,21,768.2,*
48W000000SEAB-1V,22,737.0,*
48W000000SEAB-1V,23,494.6,*
48W000000SEAB-1V,24,731.8,*
48W000000SEAB-1V,25,764.2,*
48W000000SEAB-1V,26,757.0,*
48W000000SEAB-1V,27,749.2,*
48W000000SEAB-1V,28,628.8,*
48W000000SEAB-1V,29,478.2,*
48W000000SEAB-1V,30,610.4,*
48W000000SEAB-1V,31,581.6,*
48W000000SEAB-1V,32,683.2,*
48W000000SEAB-1V,33,693.8,*
48W000000SEAB-1V,34,681.2,*
48W000000SEAB-1V,35,665.2,*
48W000000SEAB-1V,36,682.8,*
48W000000SEAB-1V,37,754.8,*
48W000000SEAB-1V,38,649.8,*
48W000000SEAB-1V,39,459.8,*
48W000000SEAB-1V,40,447.8,*
48W000000SEAB-1V,41,666.2,*
48W000000SEAB-1V,42,696.8,*
48W000000SEAB-1V,43,388.0,*
48W000000SEAB-1V,44,0.0,*
48W000000SEAB-1V,45,0.0,*
48W000000SEAB-1V,46,0.0,*
48W000000SEAB-1V,47,0.0,*
48W000000SEAB-1V,48,0.0,*
48W000000SHBA-1C,1,0.0,*
48W000000SHBA-1C,2,0.0,*
48W000000SHBA-1C,3,0.0,*
48W000000SHBA-1C,4,0.0,*
48W000000SHBA-1C,5,0.0,*
48W000000SHBA-1C,6,0.0,*
48W000000SHBA-1C,7,0.0,*
48W000000SHBA-1C,8,0.0,*
48W000000SHBA-1C,9,0.0,*
48W000000SHBA-1C,10,0.0,*
48W000000SHBA-1C,11,0.0,*
48W000000SHBA-1C,12,0.0,*
48W000000SHBA-1C,13,0.0,*
48W000000SHBA-1C,14,0.0,*
48W000000SHBA-1C,15,0.0,*
48W000000SHBA-1C,16,0.0,*
48W000000SHBA-1C,17,0.0,*
48W000000SHBA-1C,18,0.0,*
48W000000SHBA-1C,19,0.0,*
48W000000SHBA-1C,20,0.0,*
48W000000SHBA-1C,21,0.0,*
48W000000SHBA-1C,22,0.0,*
48W000000SHBA-1C,23,0.0,*
48W000000SHBA-1C,24,0.0,*
48W000000SHBA-1C,25,0.0,*
48W000000SHBA-1C,26,88.116,*
48W000000SHBA-1C,27,377.2,*
48W000000SHBA-1C,28,401.8,*
48W000000SHBA-1C,29,401.2,*
48W000000SHBA-1C,30,400.8,*
48W000000SHBA-1C,31,406.2,*
48W000000SHBA-1C,32,674.0,*
48W000000SHBA-1C,33,788.6,*
48W000000SHBA-1C,34,788.6,*
48W000000SHBA-1C,35,788.8,*
48W000000SHBA-1C,36,742.8,*
48W000000SHBA-1C,37,735.4,*
48W000000SHBA-1C,38,650.8,*
48W000000SHBA-1C,39,663.2,*
48W000000SHBA-1C,40,533.6,*
48W000000SHBA-1C,41,773.4,*
48W000000SHBA-1C,42,467.8,*
48W000000SHBA-1C,43,464.2,*
48W000000SHBA-1C,44,464.2,*
48W000000SHBA-1C,45,464.0,*
48W000000SHBA-1C,46,475.4,*
48W000000SHBA-1C,47,750.4,*
48W000000SHBA-1C,48,665.0,*
48W000000DAMC-1M,1,0.0,*
48W000000DAMC-1M,2,0.0,*
48W000000DAMC-1M,3,0.0,*
48W000000DAMC-1M,4,0.0,*
48W000000DAMC-1M,5,0.0,*
48W000000DAMC-1M,6,0.0,*
48W000000DAMC-1M,7,0.0,*
48W000000DAMC-1M,8,0.0,*
48W000000DAMC-1M,9,0.0,*
48W000000DAMC-1M,10,0.0,*
48W000000DAMC-1M,11,0.0,*
48W000000DAMC-1M,12,0.0,*
48W000000DAMC-1M,13,0.0,*
48W000000DAMC-1M,14,0.0,*
48W000000DAMC-1M,15,0.0,*
48W000000DAMC-1M,16,0.0,*
48W000000DAMC-1M,17,0.0,*
48W000000DAMC-1M,18,0.0,*
48W000000DAMC-1M,19,0.0,*
48W000000DAMC-1M,20,0.0,*
48W000000DAMC-1M,21,0.0,*
48W000000DAMC-1M,22,0.0,*
48W000000DAMC-1M,23,0.0,*
48W000000DAMC-1M,24,0.0,*
48W000000DAMC-1M,25,66.15,*
48W000000DAMC-1M,26,261.9,*
48W000000DAMC-1M,27,466.02,*
48W000000DAMC-1M,28,481.41,*
48W000000DAMC-1M,29,481.14,*
48W000000DAMC-1M,30,481.14,*
48W000000DAMC-1M,31,480.6,*
48W000000DAMC-1M,32,519.21,*
48W000000DAMC-1M,33,750.6,*
48W000000DAMC-1M,34,768.42,*
48W000000DAMC-1M,35,771.12,*
48W000000DAMC-1M,36,771.39,*
48W000000DAMC-1M,37,770.58,*
48W000000DAMC-1M,38,771.66,*
48W000000DAMC-1M,39,768.69,*
48W000000DAMC-1M,40,607.77,*
48W000000DAMC-1M,41,566.73,*
48W000000DAMC-1M,42,571.59,*
48W000000DAMC-1M,43,712.26,*
48W000000DAMC-1M,44,579.15,*
48W000000DAMC-1M,45,659.88,*
48W000000DAMC-1M,46,622.89,*
48W000000DAMC-1M,47,507.06,*
48W000000DAMC-1M,48,481.41,*
48W000000DAMC-1M,1,0.0,*
48W000000DAMC-1M,2,0.0,*
48W000000DAMC-1M,3,0.0,*
48W000000DAMC-1M,4,0.0,*
48W000000DAMC-1M,5,0.0,*
48W000000DAMC-1M,6,0.0,*
48W000000DAMC-1M,7,0.0,*
48W000000DAMC-1M,8,0.0,*
48W000000DAMC-1M,9,0.0,*
48W000000DAMC-1M,10,0.0,*
48W000000DAMC-1M,11,0.0,*
