13STo   13STm   20VEo   20VEm   61WBo   61WBm   64KSo   64KSm   21BIo   21BIm   24FLo   24FLm   54BLo   54BLm   72FIo   72FIm   27TAo   27TAm   51BFo   51BFm   52NGo   52NGm   74BTo   74BTm   73FWo   73FWm
  24.600   13.466   40.300   41.153   29.000    9.227   44.600   60.999   45.800   29.125   22.400    4.069    7.100    1.873   19.700    3.858   12.400    2.218   19.100    7.151    7.400    1.478   58.000   33.675   13.500    3.364
  27.900   15.684   38.300   25.779   36.800    9.725   41.800   50.367   24.100   26.118   35.600    5.069    7.100    2.417   21.600    2.574   30.000    1.249   13.000    8.999   17.100    1.451   33.300   24.759   14.000    4.780
  23.600   18.446   38.500   23.947   37.300   11.935   35.200   42.207   25.800   24.637   24.200    6.665   11.100    4.022   18.300    3.042   31.600    0.660   12.400    8.613    9.200    1.561   31.300   18.075   12.700    4.931
  28.900   24.221   41.700   26.786   32.000    7.799   44.900   42.850   25.100   22.154   31.700   14.870   13.100    9.350   21.300    7.098   31.000    1.881   18.300    9.853   10.700    2.203   31.000   18.871   21.400    4.141
  42.300   30.637   52.800   57.055   53.100   16.604   49.100   65.089   30.900   36.032   35.600   25.582   13.700   22.861   19.800    9.071   31.200    5.280   19.800   10.559   20.300    6.866   44.300   33.026   21.200   12.572
  27.700   32.334   53.400   61.146   56.000   12.691   32.100   61.325   52.300   32.000  -99.000   15.751    9.200   37.441   20.600   20.699   51.100   11.915   24.100    7.175   17.000    8.271   39.400   30.380   20.700   20.117
  18.500   23.140   24.800   47.343   43.800    9.515   19.200   60.348   21.900   26.534   14.800    8.756   10.400   45.693   14.500   18.630   33.600    8.251   16.400    4.809    8.800    5.094   19.300   20.291   26.800   15.916
  15.500   10.943   21.400   18.364   51.700    5.434   16.600   30.926   18.700   19.616   11.000    4.185    9.800   44.294   10.800   14.526   22.700    4.298    9.900    2.500    9.000    1.785   13.800    8.621   13.400   11.058
  14.900    7.761   32.900    9.077   43.800    2.812   17.700   19.390   19.000   16.203    8.400    2.208  -99.000   44.121    7.100    9.124   24.000    2.909    8.200    1.028    7.800    0.921   12.600    4.305    7.400    5.775
  16.000    7.014   37.800    6.655   40.400    2.327   19.500   15.453   19.300   14.983    8.200    1.703   11.400   34.986    6.300    5.213   38.400    2.631    6.400    0.675    6.300    0.712   22.300    3.147    7.000    3.247
  22.400    7.233   53.400    6.319   46.500    2.228   33.300   14.334   26.100   14.275   14.000    1.386   10.900   26.157    6.400    4.033   37.100    2.508    6.800    0.564    8.000    0.585   29.100    2.878    9.000    2.206
  29.200    7.494   44.100    8.375   38.600    2.503   43.400   17.513   41.900   14.665   16.900    1.860   10.700   21.911   15.200    3.452   46.200    2.498   14.300    0.685    8.300    0.709   44.900    4.275   11.700    2.109
  37.800    9.928   51.000   15.030   44.800    3.995   54.400   31.251   45.900   16.109   31.000    3.106   15.500   19.552   15.100    3.081   42.500    3.007   17.200    1.059   12.700    1.187   47.900    9.213   19.800    2.689
