Source,Type,Target,Relation,Value
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLinepackZone,Data Property,Blaby,,5.0
Blaby,Instance,http://www.theworldavatar.com/kb/ontogasgrid/gas_network_system/BLABYTOALREWAS0Connection,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#isConnectedToPipeline,
Blyborough,Instance,LocalDistribution,,
Blyborough,Instance,EM,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLocalDistributionZone,
http://www.bigdata.com/rdf/geospatial/literals/v1#lat-lon,Data Property,Blyborough,,53.44445483#-0.58161699
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitArea,Data Property,Blyborough,,Central
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitZone,Data Property,Blyborough,,E11
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLinepackZone,Data Property,Blyborough,,3.0
Blyborough,Instance,http://www.theworldavatar.com/kb/ontogasgrid/gas_network_system/BLYBOROUGHTOBRIGGPS0Connection,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#isConnectedToPipeline,
Caldecott,Instance,LocalDistribution,,
Caldecott,Instance,EM,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLocalDistributionZone,
http://www.bigdata.com/rdf/geospatial/literals/v1#lat-lon,Data Property,Caldecott,,52.54299981#-0.719830985
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitArea,Data Property,Caldecott,,Central
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitZone,Data Property,Caldecott,,E05
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLinepackZone,Data Property,Caldecott,,5.0
Caldecott,Instance,http://www.theworldavatar.com/kb/ontogasgrid/gas_network_system/CALDECOTTTOCORBYPOWERSTATION1Connection,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#isConnectedToPipeline,
Drointon,Instance,LocalDistribution,,
Drointon,Instance,EM,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLocalDistributionZone,
http://www.bigdata.com/rdf/geospatial/literals/v1#lat-lon,Data Property,Drointon,,52.74000026#-1.774846543
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitArea,Data Property,Drointon,,Central
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitZone,Data Property,Drointon,,E12
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLinepackZone,Data Property,Drointon,,4.0
Drointon,Instance,http://www.theworldavatar.com/kb/ontogasgrid/gas_network_system/AUDLEYTOALREWASONE876Connection,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#isConnectedToPipeline,
Gosberton,Instance,LocalDistribution,,
Gosberton,Instance,EM,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLocalDistributionZone,
http://www.bigdata.com/rdf/geospatial/literals/v1#lat-lon,Data Property,Gosberton,,52.88607104#-0.106742682
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitArea,Data Property,Gosberton,,Central
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitZone,Data Property,Gosberton,,E15
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLinepackZone,Data Property,Gosberton,,7.0
Gosberton,Instance,http://www.theworldavatar.com/kb/ontogasgrid/gas_network_system/HATTONTOGOSBERTON396Connection,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#isConnectedToPipeline,
Kirkstead,Instance,LocalDistribution,,
Kirkstead,Instance,EM,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLocalDistributionZone,
http://www.bigdata.com/rdf/geospatial/literals/v1#lat-lon,Data Property,Kirkstead,,53.14400048#-0.252475542
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitArea,Data Property,Kirkstead,,Central
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitZone,Data Property,Kirkstead,,E15
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLinepackZone,Data Property,Kirkstead,,7.0
Kirkstead,Instance,http://www.theworldavatar.com/kb/ontogasgrid/gas_network_system/HATTONTOGOSBERTON130Connection,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#isConnectedToPipeline,
Market Harborough,Instance,LocalDistribution,,
Market Harborough,Instance,EM,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLocalDistributionZone,
http://www.bigdata.com/rdf/geospatial/literals/v1#lat-lon,Data Property,Market Harborough,,52.49929888#-0.92919987
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitArea,Data Property,Market Harborough,,Central
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitZone,Data Property,Market Harborough,,E05
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLinepackZone,Data Property,Market Harborough,,5.0
Market Harborough,Instance,http://www.theworldavatar.com/kb/ontogasgrid/gas_network_system/DUDDINGTONTOCHURCHOVER486Connection,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#isConnectedToPipeline,
Silk Willoughby,Instance,LocalDistribution,,
Silk Willoughby,Instance,EM,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLocalDistributionZone,
http://www.bigdata.com/rdf/geospatial/literals/v1#lat-lon,Data Property,Silk Willoughby,,52.98003463#-0.387292307
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitArea,Data Property,Silk Willoughby,,Central
