year,coal_power_capacity_GW,coal_power_capacity_existing,coal_power_capacity_new,coal_annual_emission,coal_power_annual_emission_existing,coal_power_annual_emission_new,coal_lock_emission,coal_power_lock_emission_existing,coal_power_lock_emission_new,gas_power_capacity_GW,gas_power_capacity_existing,gas_power_capacity_new,gas_annual_emission,gas_power_annual_emission_existing,gas_power_annual_emission_new,gas_lock_emission,gas_power_lock_emission_existing,gas_power_lock_emission_new,oil_power_capacity_GW,oil_power_capacity_existing,oil_power_capacity_new,oil_annual_emission,oil_power_annual_emission_existing,oil_power_annual_emission_new,oil_lock_emission,oil_power_lock_emission_existing,oil_power_lock_emission_new,coal_power_capacity_new1,coal_power_annual_emission_new1,coal_power_annual_emission_new1,coal_power_capacity_new2,coal_power_annual_emission_new2,coal_power_annual_emission_new2,gas_power_capacity_new1,gas_power_annual_emission_new1,gas_power_annual_emission_new1,gas_power_capacity_new2,gas_power_annual_emission_new2,gas_power_annual_emission_new2,oil_power_capacity_new1,oil_power_annual_emission_new1,oil_power_annual_emission_new1,oil_power_capacity_new2,oil_power_annual_emission_new2,oil_power_annual_emission_new2
2029,2147.5,1598.729548,37.09,11.059239281925738,8.177230582,0.19478780305090584,116.94564017471323,91.94028376,3.5061804549163047,1822.7,1262.777736,43.37,4.358399980041709,3.0453232389999996,0.10170581726104856,44.391384815312406,32.05827289,1.8307047106988745,331.9,301.8747987,4.98,0.821127425430549,0.728993938,0.011804084574328109,7.693383553887875,6.821337251,0.21247352233790603,0.0,0.0,0.0,37.09,0.19478780305090584,0.19478780305090584,0.0,0.0,0.0,43.37,0.10170581726104856,0.10170581726104856,0.0,0.0,0.0,4.98,0.011804084574328109,0.011804084574328109
2030,2145.5,1555.922371,40.81,11.035099667649044,7.938766615,0.21432435272330727,113.06059899463375,84.72144723,4.072162701742838,1845.5,1211.978673,73.6,4.398410059964769,2.9127359439999996,0.1725973749230614,44.98120409206916,29.72347186,3.2793501235381686,324.3,294.5228773,0.0,0.762952676430549,0.670819189,0.0,7.072821298186752,6.225663718,0.0,0.0,0.0,0.0,40.81,0.21432435272330727,0.21432435272330727,0.0,0.0,0.0,73.6,0.1725973749230614,0.1725973749230614,0.0,0.0,0.0,0.0,0.0,0.0
2031,2142.2,1494.104648,58.52,10.885316276742843,7.48165019,0.30733303409379914,111.50083405714383,77.85519303,6.146660681875981,1872.1,1190.854073,47.72,4.437176161901299,2.839595161,0.11190688493652841,44.512342290929865,27.45318593,2.238137698730569,321.9,291.68469369999997,0.44,0.7477175185977586,0.6545411,0.0010429311672097124,6.676986580829824,5.8338591,0.020858623344194253,0.0,0.0,0.0,58.52,0.30733303409379914,0.30733303409379914,0.0,0.0,0.0,47.72,0.11190688493652841,0.11190688493652841,0.0,0.0,0.0,0.44,0.0010429311672097124,0.0010429311672097124
2032,2143.0,1458.2231179999999,36.68,10.844300585921253,7.247999918,0.19263458117840995,107.85040292547767,71.15327363,4.045326204746608,1895.5,1165.687694,48.57,4.481875273912346,2.770394076,0.11390019701104746,44.20546831582374,25.24707483,2.391904137231997,317.6,284.9899107,2.39,0.7236401340741931,0.624798703,0.005665012476434575,6.345800291550224,5.409117737000001,0.11896526200512608,0.0,0.0,0.0,36.68,0.19263458117840995,0.19263458117840995,0.0,0.0,0.0,48.57,0.11390019701104746,0.11390019701104746,0.0,0.0,0.0,2.39,0.005665012476434575,0.005665012476434575
2033,2143.9,1364.73793,94.39,10.675173376055117,6.583159019,0.4957136891338636,111.22906233489121,64.72120297,10.905701160944998,1917.3,1103.5437550000001,83.94,4.4885059029536745,2.580179275,0.19684543004132848,45.778553480964035,23.04202515,4.3305994609092275,315.2,261.00436,21.59,0.7055390162106878,0.5555228489999999,0.05117473613649475,6.988263579718252,4.95412115,1.1258441950028844,0.0,0.0,0.0,94.39,0.4957136891338636,0.4957136891338636,0.0,0.0,0.0,83.94,0.19684543004132848,0.19684543004132848,0.0,0.0,0.0,21.59,0.05117473613649475,0.05117473613649475
2034,2146.6,1303.6370769999999,63.8,10.692604197458131,6.26552751,0.33506233040301403,111.65344772360544,58.80676838,7.706433599269321,1946.0,1056.73012,75.51,4.456176369361831,2.370773277,0.1770764644081572,47.04696944005999,20.89841203,4.072758681387619,310.6,252.8644673,3.54,0.6653817555105115,0.506974733,0.008390855299823596,6.747118138904267,4.576516462,0.1929896718959427,0.0,0.0,0.0,63.8,0.33506233040301403,0.33506233040301403,0.0,0.0,0.0,75.51,0.1770764644081572,0.1770764644081572,0.0,0.0,0.0,3.5399999999999996,0.008390855299823596,0.008390855299823596
2035,2150.0,1251.778194,55.26,10.672131324785255,5.954842342999999,0.2902122943271247,111.66435257691964,53.41285263,6.965095063850991,1977.7,1028.9110150000001,59.52,4.470111147038742,2.245129308,0.13957874667691056,47.624148430979496,18.88824967,3.3498899202458543,307.0,248.96326569999997,0.3,0.6201096489427,0.460991537,0.0007110894321884402,6.257857022769464,4.131544366,0.017066146372522566,0.0,0.0,0.0,55.26,0.2902122943271247,0.2902122943271247,0.0,0.0,0.0,59.52,0.13957874667691056,0.13957874667691056,0.0,0.0,0.0,0.3,0.0007110894321884402,0.0007110894321884402
2036,2151.2,1206.266798,46.71,10.588700734429846,5.6261020120000005,0.24530974064458913,110.78288556590127,48.13304394,6.132743516114727,2004.7,1004.327869,51.58,4.399180729866616,2.053240024,0.12095886682787375,47.83321506434385,16.91964045,3.0239716706968447,304.0,242.39188199999998,3.57,0.6063665311857425,0.438786455,0.00846196424304244,6.073017949678887,3.796938007,0.21154910607606103,0.0,0.0,0.0,46.71,0.24530974064458913,0.24530974064458913,0.0,0.0,0.0,51.58,0.12095886682787375,0.12095886682787375,0.0,0.0,0.0,3.57,0.00846196424304244,0.00846196424304244
2037,2151.2,1174.013807,32.25,10.46662666386397,5.33465866,0.16936928143412544,108.34910782815257,43.18338531,4.403601317287261,2034.9,979.1558549,55.37,4.4291769644738155,1.953389565,0.12984669360719986,48.490850139031124,15.1231566,3.3760140337871967,299.2,240.17366830000003,0.0,0.5636954591857424,0.396115383,0.0,5.574428422860346,3.3654190280000003,0.0,0.0,0.0,0.0,32.25,0.16936928143412544,0.16936928143412544,0.0,0.0,0.0,55.36999999999999,0.12984669360719986,0.12984669360719986,0.0,0.0,0.0,0.0,0.0,0.0
2038,2155.6,1144.708082,33.71,10.425886962868447,5.1168821069999995,0.17703685200447655,106.53521454430529,38.58730748,4.779995004120866,2063.0,964.1974685,43.06,4.433024012095922,1.856257768,0.10097884462210632,48.5758494138834,13.48802253,2.7264288047968708,297.0,239.9209228,0.0,0.5376223291857424,0.370042253,0.0,5.196560690041805,3.054621843,0.0,0.0,0.0,0.0,33.71,0.17703685200447655,0.17703685200447655,0.0,0.0,0.0,43.06,0.10097884462210632,0.10097884462210632,0.0,0.0,0.0,0.0,0.0,0.0
