country,capacity_MW,primary_fuel,generation_technology,year,age,output_MWh,fuel_used
Austria,405,natural_gas,CCGT,1976,41,1267260,gas
Austria,430,oil,CCGT,1976,41,2202695,oil
Austria,439,natural_gas,CCGT,1976,41,0,gas
Austria,529,natural_gas,CCGT,1976,41,1739775,gas
Austria,700,natural_gas,CCGT,1976,41,0,gas
Austria,757,coal,subcritical,1976,41,3232147,coal
Austria,838,natural_gas,CCGT,1976,41,486175,gas
Azerbaijan,110,natural_gas,OCGT,1976,41,130423,gas
Azerbaijan,400,natural_gas,CCGT,1976,41,1133943,gas
Azerbaijan,506,natural_gas,CCGT,1976,41,500019,gas
Azerbaijan,1050,oil,subcritical,1962,55,2930864,oil
Azerbaijan,2400,oil,subcritical,1962,55,5291023,oil
Bahamas,152,oil,subcritical,1992,25,1044891,oil
Bahrain,30,oil,subcritical,1976,41,28760,oil
Bahrain,92,oil,subcritical,1958,59,48459,gas
Bahrain,125,oil,subcritical,1975,42,219048,gas
Bahrain,700,natural_gas,OCGT,1978,39,1405834,gas
Bahrain,804,natural_gas,OCGT,1988,29,2823297,gas
Bahrain,929,natural_gas,OCGT,1999,18,2909460,gas
Bahrain,954,natural_gas,OCGT,2007,10,2475519,gas
Bahrain,990,natural_gas,CCGT,1996,21,3165899,gas
Bahrain,1336,natural_gas,CCGT,2012,5,0,gas
Bahrain,2400,oil,subcritical,2012,5,5291023,oil
Bangladesh,11,oil,subcritical,2001,16,12111,gas
Bangladesh,20,oil,OCGT,1988,29,28066,gas
Bangladesh,20,oil,OCGT,1987,30,47039,oil
Bangladesh,35,oil,OCGT,2009,8,0,gas
Bangladesh,51,oil,OCGT,2010,7,128060,gas
Bangladesh,52,oil,OCGT,2011,6,0,gas
Bangladesh,52,oil,OCGT,2012,5,0,gas
Bangladesh,60,oil,OCGT,1984,33,124968,gas
Bangladesh,60,oil,OCGT,1976,41,99164,oil
Bangladesh,88,natural_gas,subcritical,1976,41,583103,gas
Bangladesh,96,natural_gas,OCGT,1987,30,244039,gas
Bangladesh,97,natural_gas,CCGT,2011,6,524623,gas
Bangladesh,100,oil,engine,2011,6,0,oil
Bangladesh,102,oil,engine,2011,6,0,oil
Bangladesh,105,natural_gas,OCGT,2005,12,65314,gas
Bangladesh,110,oil,engine,2001,16,261135,oil
Bangladesh,110,oil,engine,1998,19,132053,oil
Bangladesh,130,natural_gas,OCGT,1998,19,437677,gas
Bangladesh,150,natural_gas,OCGT,1998,19,1173405,gas
Bangladesh,170,oil,subcritical,1973,44,618746,oil
Bangladesh,171,natural_gas,OCGT,1973,44,2376195,gas
Bangladesh,183,natural_gas,OCGT,1968,49,480857,gas
Bangladesh,210,natural_gas,subcritical,1968,49,634292,gas
Bangladesh,225,natural_gas,CCGT,1968,49,1153882,gas
Bangladesh,240,natural_gas,OCGT,2010,7,0,gas
Bangladesh,250,bituminous,subcritical,2006,11,978887,coal
Bangladesh,260,bituminous,subcritical,1970,47,759984,gas
Bangladesh,265,natural_gas,OCGT,1970,47,857084,gas
Bangladesh,335,natural_gas,OCGT,1970,47,1553993,gas
Bangladesh,341,natural_gas,CCGT,1970,47,1056906,gas
Bangladesh,360,natural_gas,CCGT,2001,16,2064525,gas
Bangladesh,420,natural_gas,subcritical,1993,24,1362690,gas
Bangladesh,450,natural_gas,CCGT,2002,15,2579271,gas
Bangladesh,720,natural_gas,CCGT,1970,47,3311075,gas
Bangladesh,950,natural_gas,subcritical,1971,46,3938868,gas
Bangladesh,1130,natural_gas,CCGT,1971,46,5323759,gas
Bangladesh,1305,natural_gas,subcritical,1971,46,10300000,gas
Belarus,6,natural_gas,CCGT,1971,46,19787,gas
Belarus,43,natural_gas,OCGT,1971,46,22828,gas
Belarus,54,natural_gas,CCGT,1971,46,86825,gas
Belarus,73,natural_gas,CCGT,1971,46,350141,gas
Belarus,75,natural_gas,CCGT,1971,46,350141,gas
Belarus,155,natural_gas,CCGT,1971,46,0,gas
Belarus,180,natural_gas,CCGT,1971,46,527258,gas
Belarus,195,natural_gas,CCGT,1971,46,830439,gas
Belarus,261,natural_gas,subcritical,1971,46,571089,gas
Belarus,345,natural_gas,CCGT,1971,46,1365103,gas
Belarus,505,natural_gas,CCGT,1986,31,500019,gas
Belarus,505,natural_gas,CCGT,1986,31,2202695,oil
Belarus,542,natural_gas,CCGT,1986,31,1920523,gas
Belarus,544,natural_gas,CCGT,1986,31,2492198,gas
