Year      Month     Day      Hour      X(m)      Y(m)      Z(m)      O3        NO        NO2       H2O2      N2O5      HNO3      HONO      SO2       Sulphate  CO        C2H6      HCHO      CH3CHO    C2H4      PAN       nC4H10    CH3COC2H5 C3H6      oXylene   isoprene  PM2.5     PM10      
2020  5  6 12  368628.312  137794.703      10.000   0.3096360E+00   0.3261533E+03   0.1678645E+02   0.1456788E-04   0.1193275E-06   0.1872372E-02   0.1164951E+00   0.1544666E+02   0.1615674E-03   0.2517507E+02   0.2687921E+01   0.2163222E+01   0.2345999E+01   0.4689100E+01   0.8032373E-05   0.3375220E+02   0.1433181E+00   0.7434320E+01   0.1773614E+02   0.0000000E+00   0.1434419E-01   0.1470428E-01
2020  5  6 12  368628.312  139794.703      10.000   0.3046004E+00   0.2514089E+03   0.1285536E+02   0.1691781E-04   0.9349561E-07   0.2497461E-02   0.1282833E+00   0.1190456E+02   0.2161732E-03   0.1940840E+02   0.2071682E+01   0.1663700E+01   0.1808671E+01   0.3613938E+01   0.1004706E-04   0.2601239E+02   0.1106483E+00   0.5728824E+01   0.1366771E+02   0.0000000E+00   0.1116731E-01   0.1136923E-01
2020  5  6 12  368628.312  141794.703      10.000   0.2814513E+00   0.6833256E+02   0.3307099E+01   0.6885018E-05   0.2240789E-07   0.1071593E-02   0.4138560E-01   0.3238732E+01   0.9685240E-04   0.5266717E+01   0.5621003E+00   0.4496660E+00   0.4916953E+00   0.9801977E+00   0.4161516E-05   0.7074750E+01   0.3018918E-01   0.1556072E+01   0.3722558E+01   0.0000000E+00   0.3329592E-02   0.3374743E-02
2020  5  6 12  368628.312  143794.703      10.000   0.2546685E+00   0.2718927E+02   0.1178145E+01   0.4568884E-05   0.6427921E-08   0.8224135E-03   0.2181296E-01   0.1289862E+01   0.7920385E-04   0.2089977E+01   0.2229467E+00   0.1769488E+00   0.1957445E+00   0.3885333E+00   0.2804031E-05   0.2816264E+01   0.1211974E-01   0.6180383E+00   0.1484889E+01   0.0000000E+00   0.1517400E-02   0.1521562E-02
2020  5  6 12  368628.312  145794.703      10.000   0.2142080E+00   0.1380638E+02   0.5087676E+00   0.2193440E-05   0.1980798E-08   0.4230766E-03   0.1079111E-01   0.6516419E+00   0.4661564E-04   0.1057396E+01   0.1127567E+00   0.8932923E-01   0.9898491E-01   0.1965169E+00   0.1333322E-05   0.1422935E+01   0.6137398E-02   0.3123472E+00   0.7497388E+00   0.0000000E+00   0.7378269E-03   0.7388902E-03
2020  5  6 12  368628.312  147794.703      10.000   0.4428895E-01   0.9296469E+00   0.1168801E-01   0.7985861E-07   0.3222875E-11   0.1873140E-04   0.5666339E-03   0.4300585E-01   0.3657464E-05   0.7002390E-01   0.7462976E-02   0.5899462E-02   0.6542436E-02   0.1301012E-01   0.4911494E-07   0.9393593E-01   0.4056911E-03   0.2063940E-01   0.4941028E-01   0.0000000E+00   0.4330415E-04   0.4391347E-04
2020  5  6 12  368628.312  149794.703      10.000   0.9216945E-04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.1399116E-07   0.0000000E+00   0.7690140E-09   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.1654802E-11   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.6464071E-14   0.0000000E+00
2020  5  6 12  370628.312  131794.703      10.000   0.0000000E+00   0.5692023E-01   0.0000000E+00   0.1476840E-09   0.0000000E+00   0.1629689E-06   0.2282944E-04   0.2611322E-02   0.7707013E-07   0.4258797E-02   0.4542652E-03   0.3619340E-03   0.3966612E-03   0.7923349E-03   0.4281875E-09   0.5705618E-02   0.2430912E-04   0.1256016E-02   0.2998078E-02   0.0000000E+00   0.2631901E-05   0.2625828E-05
2020  5  6 12  370628.312  133794.703      10.000   0.1937550E-01   0.4836292E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.4659928E-07   0.1735686E-05   0.2237765E-03   0.7087802E-07   0.3649064E-03   0.3893271E-04   0.3110886E-04   0.3399665E-04   0.6790896E-04   0.8618467E-10   0.4889488E-03   0.2083018E-05   0.1076466E-03   0.2569143E-03   0.0000000E+00   0.2200094E-06   0.2211604E-06
2020  5  6 12  370628.312  135794.703      10.000   0.2771420E+00   0.8097419E+02   0.4007561E+01   0.3693451E-05   0.2607248E-07   0.5518125E-03   0.3030976E-01   0.3829455E+01   0.5147435E-04   0.6242698E+01   0.6664731E+00   0.5361004E+00   0.5817222E+00   0.1162669E+01   0.2266643E-05   0.8367777E+01   0.3555467E-01   0.1843115E+01   0.4396655E+01   0.0000000E+00   0.3550324E-02   0.3635465E-02
