,0,1,2,3,4
132,497725.6763,301223.311799999,545591.375,313867.0,WISBECH NENE WEST TO TIXOVER
133,632760.3587,334124.182499999,545622.108,313856.1369,BACTON TO WISBECH NENE WEST
134,539934.75,419753.75,517867.3398,425270.9268,EASINGTON TO PAULL
135,415278.875,315868.625,376301.125,351253.75,AUDLEY TO ALREWAS
136,360525.4078,411883.4663,358182.5578,428540.696799999,SAMLESBURY TO BLACKROD
137,568906.8626,173014.7766,586144.0363,175499.6094,SHORNE TO ISLE OF GRAIN
138,356260.6884,497382.562899999,340493.2272,572556.3901,LONGTOWN TO GRAYRIGG
139,517276.6503,376174.1712,515073.3358,304634.7838,HATTON TO PETERBOROUGH
140,499275.625,299775.5,450879.9508,280460.2048,DUDDINGTON TO CHURCHOVER
141,517249.1362,376106.7612,508438.6362,343739.0112,HATTON TO SILK WILLOUGHBY
142,372060.7058,388540.507999999,376293.5617,351234.94879999897,WARBURTON TO AUDLEY
143,450848.7309,280503.36549999897,405153.1001,236817.7981,CHURCHOVER TO WORMINGTON
144,546264.6343,316158.9593,510997.7319,245229.4077,TYDD ST. GILES TO OLD WARDEN
145,511024.7005,245137.55880000102,464953.1155,196492.4892,OLD WARDEN TO CHALGROVE
146,602522.125,260930.625,571964.625,223074.625,STOWMARKET TO BRAINTREE
147,470013.13200000004,427262.671599999,425255.5005,450609.0392,ASSELBY TO PANNAL
148,409518.69299999997,853469.806600001,376889.5192,805270.2851,ST. FERGUS TO ABERDEEN
149,354488.6516,678476.0039000011,386211.6145,641921.7555,HADDINGTON TO SIMPRIM
150,361695.5497,748107.878,354462.7088,678498.990599999,ARBROATH TO HADDINGTON
151,337872.375,118636.75,292405.6364,86456.2992000002,BARRINGTON TO KENN
152,345221.9268,369967.112,329783.2613,371660.959000001,MICKLE TRAFFORD TO DEESIDE
153,438822.7348,517683.0109,480740.2237,482898.35679999896,ELTON TO PICKERING
154,344233.381,348003.5428,338309.6091,348111.46660000103,SHOCKLACH - MAELOR
155,447789.5155,525003.1965,427374.215,529169.8554,COWPEN BEWLEY TO YAFFORTH
156,483045.5,402819.375,483688.0988,402745.0152,SUSWORTH EAST TO SUSWORTH WEST
157,447763.4917,525055.5595,451983.2859,524216.27200000006,COWPEN BEWLEY TO TEESSIDE
158,264959.1571,200963.6535,316239.75800000003,237777.7369,FELINDRE TO THREE COCKS
159,450786.625,192320.625,451196.25,191856.0,DIDCOT TO DIDCOT'A'
160,483045.125,402849.25,483693.3481,402774.652799999,SUSWORTH EAST TO SUSWORTH WEST
161,288839.6868,70876.1074999999,288375.3848,70655.4645000007,CENTRAX TEE TO CENTRAX OT
162,548513.875,244887.25,553219.0,211676.0,CAMBRIDGE TO MATCHING GREEN
163,524121.2009,305611.2488,522042.4595,299067.8774,PETERBOROUGH TEE TO PETERBOROUGH PS
