Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
StorageCapacity,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,IS-A,,,,Storage volume of chemical storage tank,http://www.theworldavatar.com/ontology/ontocape/supporting_concepts/geometry/geometry.owl,Storage capacity
PlantEquipment,Class,http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_realization/plant.owl#PlantItem,IS-A,,,,Equipment owned by a chemical plant,http://theworldavatar.com/ontology/ontochemplant/OntoChemPlant.owl,Plant equipment
PlantEquipment,Class,http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_realization/plant.owl#Equipment,EQUIVALENT-TO,,,,,http://theworldavatar.com/ontology/ontochemplant/OntoChemPlant.owl,Plant equipment
Reactor,Class,PlantEquipment,IS-A,,,,Chemical reactor in a chemical plant,http://theworldavatar.com/ontology/ontochemplant/OntoChemPlant.owl,Reactor
Separator,Class,PlantEquipment,IS-A,,,,Separator in a chemical plant,http://theworldavatar.com/ontology/ontochemplant/OntoChemPlant.owl,Separator
http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Species,Class,,,,,,Chemical entities which represent real physical molecules,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,Species
http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_performance/economic_performance.owl#Costs,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Cost,EQUIVALENT-TO,,,,Includes all costs associated with plant item,http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_performance/economic_performance.owl,Costs
http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_performance/economic_performance.owl#EquipmentCosts,Class,http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_performance/economic_performance.owl#Costs,IS-A,,,,Cost of plant item and equipments,http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_performance/economic_performance.owl,Equipment costs
http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_performance/economic_performance.owl#Maintenance&RepairCosts,Class,http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_performance/economic_performance.owl#Costs,IS-A,,,,Maintenance costs of a chemical plant,http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_performance/economic_performance.owl,Maintenance and repair costs
http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_performance/economic_performance.owl#OperatingLaborCosts,Class,http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_performance/economic_performance.owl#Costs,IS-A,,,,Labour costs associated with operating the chemical plant,http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_performance/economic_performance.owl,Operating labor costs
