primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,carbon_price_ton,capacity_factor,biomass_cofiring,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,biomass_emission_rate_ton_h,biomass_annual_emission_ton,biomass_plant_LCOE_MWh,biomass_carbon_LCOE_MWh,biomass_LCOE_MWh
anthracite,subcritical,63,2200,1410,40.37,9270750,10,0.75,15,30.55,8.545454545,39.09545455,1198.5,7880137.5,30.2445,7.263636364,37.50813636
anthracite,subcritical,63,2300,1474,40.22,9691550,10,0.75,15,30.44,8.544927536,38.98492754,1252.9,8237817.5,30.1356,7.263188406,37.39878841
anthracite,subcritical,63,2400,1538,40.08,10112350,10,0.75,15,30.33,8.544444444,38.87444444,1307.3,8595497.5,30.0267,7.262777778,37.28947778
anthracite,subcritical,63,2500,1602,39.95,10533150,10,0.75,15,30.24,8.544,38.784,1361.7,8953177.5,29.9376,7.2624,37.2
anthracite,subcritical,67,100,64.12,81.18,421589,10,0.75,15,61.44,8.549333333,69.98933333,54.502,358350.65,60.8256,7.266933333,68.09253333
anthracite,subcritical,67,200,128.2,62.71,842915,10,0.75,15,47.46,8.546666667,56.00666667,108.97,716477.75,46.9854,7.264666667,54.25006667
anthracite,subcritical,67,300,192.3,55.76,1264372.5,10,0.75,15,42.2,8.546666667,50.74666667,163.455,1074716.625,41.778,7.264666667,49.04266667
anthracite,subcritical,67,400,256.3,51.94,1685172.5,10,0.75,15,39.31,8.543333333,47.85333333,217.855,1432396.625,38.9169,7.261833333,46.17873333
anthracite,subcritical,67,500,320.4,49.46,2106630,10,0.75,15,37.43,8.544,45.974,272.34,1790635.5,37.0557,7.2624,44.3181
anthracite,subcritical,67,600,384.5,47.68,2528087.5,10,0.75,15,36.09,8.544444444,44.63444444,326.825,2148874.375,35.7291,7.262777778,42.99187778
anthracite,subcritical,67,700,448.6,46.32,2949545,10,0.75,15,35.06,8.544761905,43.6047619,381.31,2507113.25,34.7094,7.263047619,41.97244762
anthracite,subcritical,67,800,512.6,45.24,3370345,10,0.75,15,34.24,8.543333333,42.78333333,435.71,2864793.25,33.8976,7.261833333,41.15943333
anthracite,subcritical,67,900,576.7,44.34,3791802.5,10,0.75,15,33.56,8.543703704,42.1037037,490.195,3223032.125,33.2244,7.262148148,40.48654815
anthracite,subcritical,67,1000,640.8,43.58,4213260,10,0.75,15,32.98,8.544,41.524,544.68,3581271,32.6502,7.2624,39.9126
anthracite,subcritical,67,1100,704.8,42.91,4634060,10,0.75,15,32.48,8.543030303,41.0230303,599.08,3938951,32.1552,7.261575758,39.41677576
anthracite,subcritical,67,1200,768.9,42.32,5055517.5,10,0.75,15,32.03,8.543333333,40.57333333,653.565,4297189.875,31.7097,7.261833333,38.97153333
