primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,,carbon_price_ton,capacity_factor,biomass_cofiring,,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,,biomass_emission_rate_ton_h,biomass_annual_emission_ton,biomass_plant_LCOE_MWh,biomass_carbon_LCOE_MWh,biomass_LCOE_MWh
subbituminous,supercritical,3,2200,1843,49.97,12117725,,10,0.75,15,,36.17,11.16969697,47.33969697,,1566.55,10300066.25,35.8083,9.494242424,45.30254242
subbituminous,supercritical,3,2300,1926,49.73,12663450,,10,0.75,15,,36,11.16521739,47.16521739,,1637.1,10763932.5,35.64,9.490434783,45.13043478
subbituminous,supercritical,3,2400,2010,49.5,13215750,,10,0.75,15,,35.83,11.16666667,46.99666667,,1708.5,11233387.5,35.4717,9.491666667,44.96336667
subbituminous,supercritical,3,2500,2094,49.3,13768050,,10,0.75,15,,35.69,11.168,46.858,,1779.9,11702842.5,35.3331,9.4928,44.8259
subbituminous,supercritical,7,100,83.83,107.7,551182.25,,10,0.75,15,,77.97,11.17733333,89.14733333,,71.2555,468504.9125,77.1903,9.500733333,86.69103333
subbituminous,supercritical,7,200,167.6,83.71,1101970,,10,0.75,15,,60.6,11.17333333,71.77333333,,142.46,936674.5,59.994,9.497333333,69.49133333
subbituminous,supercritical,7,300,251.3,74.08,1652297.5,,10,0.75,15,,53.63,11.16888889,64.79888889,,213.605,1404452.875,53.0937,9.493555556,62.58725556
subbituminous,supercritical,7,400,335.1,68.57,2203282.5,,10,0.75,15,,49.64,11.17,60.81,,284.835,1872790.125,49.1436,9.4945,58.6381
subbituminous,supercritical,7,500,418.8,64.88,2753610,,10,0.75,15,,46.97,11.168,58.138,,355.98,2340568.5,46.5003,9.4928,55.9931
subbituminous,supercritical,7,600,502.6,62.18,3304595,,10,0.75,15,,45.01,11.16888889,56.17888889,,427.21,2808905.75,44.5599,9.493555556,54.05345556
subbituminous,supercritical,7,700,586.3,60.08,3854922.5,,10,0.75,15,,43.49,11.16761905,54.65761905,,498.355,3276684.125,43.0551,9.49247619,52.54757619
subbituminous,supercritical,7,800,670.1,58.39,4405907.5,,10,0.75,15,,42.27,11.16833333,53.43833333,,569.585,3745021.375,41.8473,9.493083333,51.34038333
subbituminous,supercritical,7,900,753.8,56.98,4956235,,10,0.75,15,,41.25,11.16740741,52.41740741,,640.73,4212799.75,40.8375,9.492296296,50.3297963
subbituminous,supercritical,7,1000,837.6,55.79,5507220,,10,0.75,15,,40.39,11.168,51.558,,711.96,4681137,39.9861,9.4928,49.4789
subbituminous,supercritical,7,1100,921.4,54.75,6058205,,10,0.75,15,,39.63,11.16848485,50.79848485,,783.19,5149474.25,39.2337,9.493212121,48.72691212
subbituminous,supercritical,7,1200,1005,53.84,6607875,,10,0.75,15,,38.98,11.16666667,50.14666667,,854.25,5616693.75,38.5902,9.491666667,48.08186667
subbituminous,supercritical,7,1300,1089,53.03,7160175,,10,0.75,15,,38.39,11.16923077,49.55923077,,925.65,6086148.75,38.0061,9.493846154,47.49994615
subbituminous,supercritical,7,1400,1173,52.3,7712475,,10,0.75,15,,37.86,11.17142857,49.03142857,,997.05,6555603.75,37.4814,9.495714286,46.97711429
subbituminous,supercritical,7,1500,1256,51.63,8258200,,10,0.75,15,,37.38,11.16444444,48.54444444,,1067.6,7019470,37.0062,9.489777778,46.49597778
subbituminous,supercritical,7,1600,1340,51.14,8810500,,10,0.75,15,,37.02,11.16666667,48.18666667,,1139,7488925,36.6498,9.491666667,46.14146667
subbituminous,supercritical,7,1700,1424,50.71,9362800,,10,0.75,15,,36.71,11.16862745,47.87862745,,1210.4,7958380,36.3429,9.493333333,45.83623333
subbituminous,supercritical,7,1800,1508,50.32,9915100,,10,0.75,15,,36.43,11.17037037,47.60037037,,1281.8,8427835,36.0657,9.494814815,45.56051481
subbituminous,supercritical,7,1900,1591,49.97,10460825,,10,0.75,15,,36.17,11.16491228,47.33491228,,1352.35,8891701.25,35.8083,9.490175439,45.29847544
subbituminous,supercritical,7,2000,1675,49.66,11013125,,10,0.75,15,,35.95,11.16666667,47.11666667,,1423.75,9361156.25,35.5905,9.491666667,45.08216667
subbituminous,supercritical,7,2100,1759,49.37,11565425,,10,0.75,15,,35.74,11.16825397,46.90825397,,1495.15,9830611.25,35.3826,9.493015873,44.87561587
subbituminous,supercritical,7,2200,1843,49.11,12117725,,10,0.75,15,,35.55,11.16969697,46.71969697,,1566.55,10300066.25,35.1945,9.494242424,44.68874242
subbituminous,supercritical,7,2300,1926,48.87,12663450,,10,0.75,15,,35.38,11.16521739,46.54521739,,1637.1,10763932.5,35.0262,9.490434783,44.51663478
subbituminous,supercritical,7,2400,2010,48.65,13215750,,10,0.75,15,,35.22,11.16666667,46.38666667,,1708.5,11233387.5,34.8678,9.491666667,44.35946667
subbituminous,supercritical,7,2500,2094,48.45,13768050,,10,0.75,15,,35.07,11.168,46.238,,1779.9,11702842.5,34.7193,9.4928,44.2121
subbituminous,supercritical,10,100,83.83,106.4,551182.25,,10,0.75,15,,77.02,11.17733333,88.19733333,,71.2555,468504.9125,76.2498,9.500733333,85.75053333
subbituminous,supercritical,10,200,167.6,82.64,1101970,,10,0.75,15,,59.82,11.17333333,70.99333333,,142.46,936674.5,59.2218,9.497333333,68.71913333
subbituminous,supercritical,10,300,251.3,73.12,1652297.5,,10,0.75,15,,52.93,11.16888889,64.09888889,,213.605,1404452.875,52.4007,9.493555556,61.89425556
subbituminous,supercritical,10,400,335.1,67.66,2203282.5,,10,0.75,15,,48.98,11.17,60.15,,284.835,1872790.125,48.4902,9.4945,57.9847
subbituminous,supercritical,10,500,418.8,64.02,2753610,,10,0.75,15,,46.34,11.168,57.508,,355.98,2340568.5,45.8766,9.4928,55.3694
subbituminous,supercritical,10,600,502.6,61.35,3304595,,10,0.75,15,,44.41,11.16888889,55.57888889,,427.21,2808905.75,43.9659,9.493555556,53.45945556
subbituminous,supercritical,10,700,586.3,59.28,3854922.5,,10,0.75,15,,42.91,11.16761905,54.07761905,,498.355,3276684.125,42.4809,9.49247619,51.97337619
subbituminous,supercritical,10,800,670.1,57.61,4405907.5,,10,0.75,15,,41.7,11.16833333,52.86833333,,569.585,3745021.375,41.283,9.493083333,50.77608333
subbituminous,supercritical,10,900,753.8,56.23,4956235,,10,0.75,15,,40.71,11.16740741,51.87740741,,640.73,4212799.75,40.3029,9.492296296,49.7951963
subbituminous,supercritical,10,1000,837.6,55.05,5507220,,10,0.75,15,,39.85,11.168,51.018,,711.96,4681137,39.4515,9.4928,48.9443
subbituminous,supercritical,10,1100,921.4,54.03,6058205,,10,0.75,15,,39.11,11.16848485,50.27848485,,783.19,5149474.25,38.7189,9.493212121,48.21211212
subbituminous,supercritical,10,1200,1005,53.13,6607875,,10,0.75,15,,38.46,11.16666667,49.62666667,,854.25,5616693.75,38.0754,9.491666667,47.56706667
subbituminous,supercritical,10,1300,1089,52.33,7160175,,10,0.75,15,,37.88,11.16923077,49.04923077,,925.65,6086148.75,37.5012,9.493846154,46.99504615
subbituminous,supercritical,10,1400,1173,51.6,7712475,,10,0.75,15,,37.35,11.17142857,48.52142857,,997.05,6555603.75,36.9765,9.495714286,46.47221429
subbituminous,supercritical,10,1500,1256,50.95,8258200,,10,0.75,15,,36.88,11.16444444,48.04444444,,1067.6,7019470,36.5112,9.489777778,46.00097778
subbituminous,supercritical,10,1600,1340,50.47,8810500,,10,0.75,15,,36.54,11.16666667,47.70666667,,1139,7488925,36.1746,9.491666667,45.66626667
subbituminous,supercritical,10,1700,1424,50.04,9362800,,10,0.75,15,,36.22,11.16862745,47.38862745,,1210.4,7958380,35.8578,9.493333333,45.35113333
subbituminous,supercritical,10,1800,1508,49.66,9915100,,10,0.75,15,,35.95,11.17037037,47.12037037,,1281.8,8427835,35.5905,9.494814815,45.08531481
subbituminous,supercritical,10,1900,1591,49.31,10460825,,10,0.75,15,,35.7,11.16491228,46.86491228,,1352.35,8891701.25,35.343,9.490175439,44.83317544
subbituminous,supercritical,10,2000,1675,49,11013125,,10,0.75,15,,35.47,11.16666667,46.63666667,,1423.75,9361156.25,35.1153,9.491666667,44.60696667
subbituminous,supercritical,10,2100,1759,48.72,11565425,,10,0.75,15,,35.27,11.16825397,46.43825397,,1495.15,9830611.25,34.9173,9.493015873,44.41031587
subbituminous,supercritical,10,2200,1843,48.46,12117725,,10,0.75,15,,35.08,11.16969697,46.24969697,,1566.55,10300066.25,34.7292,9.494242424,44.22344242
subbituminous,supercritical,10,2300,1926,48.23,12663450,,10,0.75,15,,34.91,11.16521739,46.07521739,,1637.1,10763932.5,34.5609,9.490434783,44.05133478
subbituminous,supercritical,10,2400,2010,48.01,13215750,,10,0.75,15,,34.76,11.16666667,45.92666667,,1708.5,11233387.5,34.4124,9.491666667,43.90406667
subbituminous,supercritical,10,2500,2094,47.82,13768050,,10,0.75,15,,34.62,11.168,45.788,,1779.9,11702842.5,34.2738,9.4928,43.7666
subbituminous,supercritical,13,100,83.83,105.2,551182.25,,10,0.75,15,,76.16,11.17733333,87.33733333,,71.2555,468504.9125,75.3984,9.500733333,84.89913333
subbituminous,supercritical,13,200,167.6,81.58,1101970,,10,0.75,15,,59.06,11.17333333,70.23333333,,142.46,936674.5,58.4694,9.497333333,67.96673333
subbituminous,supercritical,13,300,251.3,72.15,1652297.5,,10,0.75,15,,52.23,11.16888889,63.39888889,,213.605,1404452.875,51.7077,9.493555556,61.20125556
subbituminous,supercritical,13,400,335.1,66.76,2203282.5,,10,0.75,15,,48.33,11.17,59.5,,284.835,1872790.125,47.8467,9.4945,57.3412
subbituminous,supercritical,13,500,418.8,63.16,2753610,,10,0.75,15,,45.72,11.168,56.888,,355.98,2340568.5,45.2628,9.4928,54.7556
subbituminous,supercritical,13,600,502.6,60.52,3304595,,10,0.75,15,,43.81,11.16888889,54.97888889,,427.21,2808905.75,43.3719,9.493555556,52.86545556
subbituminous,supercritical,13,700,586.3,58.48,3854922.5,,10,0.75,15,,42.33,11.16761905,53.49761905,,498.355,3276684.125,41.9067,9.49247619,51.39917619
subbituminous,supercritical,13,800,670.1,56.84,4405907.5,,10,0.75,15,,41.15,11.16833333,52.31833333,,569.585,3745021.375,40.7385,9.493083333,50.23158333
subbituminous,supercritical,13,900,753.8,55.47,4956235,,10,0.75,15,,40.16,11.16740741,51.32740741,,640.73,4212799.75,39.7584,9.492296296,49.2506963
subbituminous,supercritical,13,1000,837.6,54.31,5507220,,10,0.75,15,,39.32,11.168,50.488,,711.96,4681137,38.9268,9.4928,48.4196
subbituminous,supercritical,13,1100,921.4,53.3,6058205,,10,0.75,15,,38.58,11.16848485,49.74848485,,783.19,5149474.25,38.1942,9.493212121,47.68741212
subbituminous,supercritical,13,1200,1005,52.41,6607875,,10,0.75,15,,37.94,11.16666667,49.10666667,,854.25,5616693.75,37.5606,9.491666667,47.05226667
subbituminous,supercritical,13,1300,1089,51.62,7160175,,10,0.75,15,,37.37,11.16923077,48.53923077,,925.65,6086148.75,36.9963,9.493846154,46.49014615
subbituminous,supercritical,13,1400,1173,50.91,7712475,,10,0.75,15,,36.85,11.17142857,48.02142857,,997.05,6555603.75,36.4815,9.495714286,45.97721429
subbituminous,supercritical,13,1500,1256,50.27,8258200,,10,0.75,15,,36.39,11.16444444,47.55444444,,1067.6,7019470,36.0261,9.489777778,45.51587778
subbituminous,supercritical,13,1600,1340,49.79,8810500,,10,0.75,15,,36.04,11.16666667,47.20666667,,1139,7488925,35.6796,9.491666667,45.17126667
subbituminous,supercritical,13,1700,1424,49.37,9362800,,10,0.75,15,,35.74,11.16862745,46.90862745,,1210.4,7958380,35.3826,9.493333333,44.87593333
subbituminous,supercritical,13,1800,1508,49,9915100,,10,0.75,15,,35.47,11.17037037,46.64037037,,1281.8,8427835,35.1153,9.494814815,44.61011481
subbituminous,supercritical,13,1900,1591,48.66,10460825,,10,0.75,15,,35.23,11.16491228,46.39491228,,1352.35,8891701.25,34.8777,9.490175439,44.36787544
subbituminous,supercritical,13,2000,1675,48.35,11013125,,10,0.75,15,,35,11.16666667,46.16666667,,1423.75,9361156.25,34.65,9.491666667,44.14166667
