fc,x,y,t=1,t=2,t=3,t=4,t=5,t=6,t=7,t=8,t=9,t=10,t=11,t=12,t=13,t=14,t=15
Telok Blangah Crescent,103.8186417,1.277366899,1014.3,1053.854443,1093.408885,1132.963328,1172.51777,1212.072213,1251.626655,1291.181098,1330.735541,1370.289983,1409.844426,1449.398868,1488.953311,1528.507753,1568.062196
Jalan Bukit Merah,103.8260036,1.280001826,1251.6,1300.40838,1349.216761,1398.025141,1446.833522,1495.641902,1544.450283,1593.258663,1642.067044,1690.875424,1739.683805,1788.492185,1837.300566,1886.108946,1934.917327
Bukit Merah View,103.8218233,1.285504464,1331.4,1383.320324,1435.240648,1487.160973,1539.081297,1591.001621,1642.921945,1694.842269,1746.762594,1798.682918,1850.603242,1902.523566,1954.443891,2006.364215,2058.284539
Aljunied Ave 2,103.8867735,1.320781081,1238.1,1286.381924,1334.663848,1382.945772,1431.227695,1479.509619,1527.791543,1576.073467,1624.355391,1672.637315,1720.919238,1769.201162,1817.483086,1865.76501,1914.046934
Lorong 1 Toa Payoh,103.8447317,1.338092762,1009.9,1049.282857,1088.665713,1128.04857,1167.431427,1206.814284,1246.19714,1285.579997,1324.962854,1364.34571,1403.728567,1443.111424,1482.49428,1521.877137,1561.259994
Tampines Street 11,103.9446245,1.345639545,1064.9,1106.42768,1147.95536,1189.48304,1231.01072,1272.5384,1314.06608,1355.593761,1397.121441,1438.649121,1480.176801,1521.704481,1563.232161,1604.759841,1646.287521
Mei Chin Road,103.8029039,1.293236249,844,876.913289,909.826579,942.739868,975.653158,1008.566447,1041.479737,1074.393026,1107.306316,1140.219605,1173.132895,1206.046184,1238.959474,1271.872763,1304.786053
Bedok South Road,103.9354736,1.320500841,1449,1505.506347,1562.012693,1618.51904,1675.025386,1731.531733,1788.038079,1844.544426,1901.050772,1957.557119,2014.063465,2070.569812,2127.076158,2183.582505,2240.088852
Bukit Merah Central,103.8169396,1.283881214,570,592.228169,614.456339,636.684508,658.912678,681.140847,703.369017,725.597186,747.825356,770.053525,792.281694,814.509864,836.738033,858.966203,881.194372
Upper Boon Keng Road,103.8716203,1.315028065,1104.4,1147.468053,1190.536106,1233.60416,1276.672213,1319.740266,1362.808319,1405.876373,1448.944426,1492.012479,1535.080532,1578.148585,1621.216639,1664.284692,1707.352745
Ghim Moh Road,103.7882303,1.310996635,1390.4,1444.621135,1498.842269,1553.063404,1607.284539,1661.505674,1715.726808,1769.947943,1824.169078,1878.390213,1932.611347,1986.832482,2041.053617,2095.274751,2149.495886
New Upper Changi Road,103.9305443,1.324818171,1409.6,1464.569873,1519.539746,1574.509619,1629.479492,1684.449365,1739.419238,1794.389111,1849.358985,1904.328858,1959.298731,2014.268604,2069.238477,2124.20835,2179.178223
Lorong 8 Toa Payoh,103.8543338,1.340252088,1161.9,1207.210369,1252.520737,1297.831106,1343.141474,1388.451843,1433.762211,1479.07258,1524.382948,1569.693317,1615.003686,1660.314054,1705.624423,1750.934791,1796.24516
Bedok North Street 1,103.9332216,1.32706246,1485.6,1543.533629,1601.467258,1659.400887,1717.334516,1775.268145,1833.201774,1891.135403,1949.069032,2007.002661,2064.93629,2122.869919,2180.803548,2238.737177,2296.670806
Lorong 7 Toa Payoh,103.8570037,1.335382608,1012.7,1052.192048,1091.684095,1131.176143,1170.668191,1210.160239,1249.652286,1289.144334,1328.636382,1368.128429,1407.620477,1447.112525,1486.604573,1526.09662,1565.588668
Ang Mo Kio Ave 1,103.8391426,1.366810003,692.4,719.401376,746.402753,773.404129,800.405505,827.406882,854.408258,881.409635,908.411011,935.412387,962.413764,989.41514,1016.416516,1043.417893,1070.419269
Ang Mo Kio Street 22,103.8400222,1.367196532,290,301.309069,312.618137,323.927206,335.236275,346.545343,357.854412,369.163481,380.472549,391.781618,403.090687,414.399755,425.708824,437.017893,448.326961
Jurong East Street 24,103.7377384,1.343488125,1126.6,1170.533782,1214.467564,1258.401346,1302.335128,1346.26891,1390.202692,1434.136473,1478.070255,1522.004037,1565.937819,1609.871601,1653.805383,1697.739165,1741.672947
Bendemeer Road,103.8630209,1.31921668,1450.5,1507.064842,1563.629683,1620.194525,1676.759367,1733.324209,1789.88905,1846.453892,1903.018734,1959.583575,2016.148417,2072.713259,2129.278101,2185.842942,2242.407784
Shunfu Road,103.8369645,1.352025568,648.7,673.997217,699.294433,724.59165,749.888867,775.186083,800.4833,825.780517,851.077734,876.37495,901.672167,926.969384,952.2666,977.563817,1002.861034
Ang Mo Kio Ave 1,103.8480673,1.363845159,692.4,719.401376,746.402753,773.404129,800.405505,827.406882,854.408258,881.409635,908.411011,935.412387,962.413764,989.41514,1016.416516,1043.417893,1070.419269
Jurong East Ave 1,103.7311448,1.345188119,956.9,994.216027,1031.532054,1068.848081,1106.164108,1143.480135,1180.796161,1218.112188,1255.428215,1292.744242,1330.060269,1367.376296,1404.692323,1442.00835,1479.324377
Clementi Ave 2,103.7707728,1.314380656,474.9,493.419575,511.93915,530.458725,548.978299,567.497874,586.017449,604.537024,623.056599,641.576174,660.095749,678.615323,697.134898,715.654473,734.174048
Telok Blangah Rise,103.8219982,1.272589142,402.7,418.404007,434.108013,449.81202,465.516027,481.220034,496.92404,512.628047,528.332054,544.036061,559.740067,575.444074,591.148081,606.852087,622.556094
Ang Mo Kio Ave 10,103.8552883,1.362654107,985,1023.411837,1061.823673,1100.23551,1138.647347,1177.059183,1215.47102,1253.882857,1292.294693,1330.70653,1369.118367,1407.530203,1445.94204,1484.353877,1522.765713
Holland Drive,103.7927738,1.308117807,791.7,822.573757,853.447515,884.321272,915.19503,946.068787,976.942545,1007.816302,1038.69006,1069.563817,1100.437575,1131.311332,1162.185089,1193.058847,1223.932604
Clementi Ave 3,103.7645172,1.313319695,1061.2,1102.583392,1143.966784,1185.350176,1226.733568,1268.11696,1309.500352,1350.883744,1392.267136,1433.650528,1475.03392,1516.417312,1557.800703,1599.184095,1640.567487
