FromBus,ToBus,BranchNodeIRI
22,25,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_fcf5ca6f-ce2e-41d7-abaa-cc48ee7ff4d7
22,25,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_0dd6566f-5bf3-43ed-93ab-fe3cc81c3773
22,21,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_6a34901c-ff78-4004-a221-e7ae9f971be0
22,21,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_2fe26b5b-f554-46c0-b216-3070e1fb54d3
23,29,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_d0cf3b6b-1354-41af-9e06-aec830532d32
23,24,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_16852231-3585-43c8-9cd7-b0fedf215ee0
23,24,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_424f2514-1b3e-40ce-b133-a791d675900a
23,22,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_6a731161-6f69-43f0-b4ce-d5b5993bdfb2
23,22,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_8909672b-13a3-4fd3-950c-6a319349a30a
23,29,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_65a857e1-8454-41f5-b064-6b0556dcd24b
24,28,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_073046de-8a0e-46cf-a7cc-c399f6078022
24,25,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_15c3b508-35af-42ba-a26f-fa6ebd94a21b
24,25,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_b137f80c-2698-474a-82fe-221ed4e4a56c
24,28,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_0b64c4a0-e9db-4b3a-82ec-7a4670304bad
25,26,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_5a2e0f4e-0389-4e9a-91b9-3f12602ced42
25,26,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_d3d80915-24f4-4b4d-bb07-505d71baf380
27,26,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_9b84d3c0-40b6-4902-9b64-46047d56f286
27,26,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_835fd34d-aed9-4057-9b0e-206d58ae70f1
28,27,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_c3995655-f3eb-4083-93d1-a82391edd1ce
28,27,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_1f76b87e-b07a-479a-b310-9cc5f9455511
29,28,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_2ac26bf1-6ebf-4aff-8e84-dfd1bc2e22c9
29,28,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_94ce250e-2950-4de5-be8c-79910b1b3754
3,4,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_571b6c69-3795-411a-8572-e43b5f57488b
3,4,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_bd2d78b2-3c75-4797-a206-141102109b17
3,2,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_96dcc9fb-4199-4104-acb2-7b92162190e4
