confidence,ssp_scenario,quantile,projectionreferenceyear,projectionyear,sealevelriseinmeters
medium,ssp245,95,2014,2090,0.87
medium,ssp245,95,2014,2100,1.029
medium,ssp245,95,2014,2110,1.183
medium,ssp245,95,2014,2120,1.335
medium,ssp245,95,2014,2130,1.484
medium,ssp245,95,2014,2140,1.634
medium,ssp245,95,2014,2150,1.782
medium,ssp370,5,2014,2020,0.007
medium,ssp370,5,2014,2030,0.033
medium,ssp370,5,2014,2040,0.069
medium,ssp370,5,2014,2050,0.113
medium,ssp370,5,2014,2060,0.155
medium,ssp370,5,2014,2070,0.212
medium,ssp370,5,2014,2080,0.268
medium,ssp370,5,2014,2090,0.335
medium,ssp370,5,2014,2100,0.397
medium,ssp370,5,2014,2110,0.405
medium,ssp370,5,2014,2120,0.466
medium,ssp370,5,2014,2130,0.527
medium,ssp370,5,2014,2140,0.586
medium,ssp370,5,2014,2150,0.643
medium,ssp370,17,2014,2020,0.024
medium,ssp370,17,2014,2030,0.056
medium,ssp370,17,2014,2040,0.096
medium,ssp370,17,2014,2050,0.149
medium,ssp370,17,2014,2060,0.199
medium,ssp370,17,2014,2070,0.266
medium,ssp370,17,2014,2080,0.336
medium,ssp370,17,2014,2090,0.418
medium,ssp370,17,2014,2100,0.501
medium,ssp370,17,2014,2110,0.524
medium,ssp370,17,2014,2120,0.602
medium,ssp370,17,2014,2130,0.678
medium,ssp370,17,2014,2140,0.753
medium,ssp370,17,2014,2150,0.824
medium,ssp370,50,2014,2020,0.048
medium,ssp370,50,2014,2030,0.09
medium,ssp370,50,2014,2040,0.141
medium,ssp370,50,2014,2050,0.211
medium,ssp370,50,2014,2060,0.277
medium,ssp370,50,2014,2070,0.364
medium,ssp370,50,2014,2080,0.459
medium,ssp370,50,2014,2090,0.566
medium,ssp370,50,2014,2100,0.692
medium,ssp370,50,2014,2110,0.776
medium,ssp370,50,2014,2120,0.892
medium,ssp370,50,2014,2130,1.007
medium,ssp370,50,2014,2140,1.118
medium,ssp370,50,2014,2150,1.226
medium,ssp370,83,2014,2020,0.075
medium,ssp370,83,2014,2030,0.132
medium,ssp370,83,2014,2040,0.2
medium,ssp370,83,2014,2050,0.292
medium,ssp370,83,2014,2060,0.385
medium,ssp370,83,2014,2070,0.502
medium,ssp370,83,2014,2080,0.636
medium,ssp370,83,2014,2090,0.787
medium,ssp370,83,2014,2100,0.963
medium,ssp370,83,2014,2110,1.107
medium,ssp370,83,2014,2120,1.273
medium,ssp370,83,2014,2130,1.437
medium,ssp370,83,2014,2140,1.601
medium,ssp370,83,2014,2150,1.76
medium,ssp370,95,2014,2020,0.096
medium,ssp370,95,2014,2030,0.164
medium,ssp370,95,2014,2040,0.247
medium,ssp370,95,2014,2050,0.362
medium,ssp370,95,2014,2060,0.479
medium,ssp370,95,2014,2070,0.624
medium,ssp370,95,2014,2080,0.792
medium,ssp370,95,2014,2090,0.981
medium,ssp370,95,2014,2100,1.201
medium,ssp370,95,2014,2110,1.376
medium,ssp370,95,2014,2120,1.583
medium,ssp370,95,2014,2130,1.791
medium,ssp370,95,2014,2140,1.996
medium,ssp370,95,2014,2150,2.196
medium,ssp585,5,2014,2020,0.005
medium,ssp585,5,2014,2030,0.039
medium,ssp585,5,2014,2040,0.076
medium,ssp585,5,2014,2050,0.128
medium,ssp585,5,2014,2060,0.175
medium,ssp585,5,2014,2070,0.24
medium,ssp585,5,2014,2080,0.313
medium,ssp585,5,2014,2090,0.402
medium,ssp585,5,2014,2100,0.492
medium,ssp585,5,2014,2110,0.491
medium,ssp585,5,2014,2120,0.564
medium,ssp585,5,2014,2130,0.632
medium,ssp585,5,2014,2140,0.696
medium,ssp585,5,2014,2150,0.755
medium,ssp585,17,2014,2020,0.022
medium,ssp585,17,2014,2030,0.061
medium,ssp585,17,2014,2040,0.107
medium,ssp585,17,2014,2050,0.166
medium,ssp585,17,2014,2060,0.225
medium,ssp585,17,2014,2070,0.299
medium,ssp585,17,2014,2080,0.383
medium,ssp585,17,2014,2090,0.485
medium,ssp585,17,2014,2100,0.597
medium,ssp585,17,2014,2110,0.614
medium,ssp585,17,2014,2120,0.702
medium,ssp585,17,2014,2130,0.788
medium,ssp585,17,2014,2140,0.865
medium,ssp585,17,2014,2150,0.938
medium,ssp585,50,2014,2020,0.047
medium,ssp585,50,2014,2030,0.096
medium,ssp585,50,2014,2040,0.157
medium,ssp585,50,2014,2050,0.23
medium,ssp585,50,2014,2060,0.306
medium,ssp585,50,2014,2070,0.404
medium,ssp585,50,2014,2080,0.514
medium,ssp585,50,2014,2090,0.642
medium,ssp585,50,2014,2100,0.788
medium,ssp585,50,2014,2110,0.886
medium,ssp585,50,2014,2120,1.016
medium,ssp585,50,2014,2130,1.14
medium,ssp585,50,2014,2140,1.258
medium,ssp585,50,2014,2150,1.368
medium,ssp585,83,2014,2020,0.074
medium,ssp585,83,2014,2030,0.138
medium,ssp585,83,2014,2040,0.22
medium,ssp585,83,2014,2050,0.316
medium,ssp585,83,2014,2060,0.42
medium,ssp585,83,2014,2070,0.555
medium,ssp585,83,2014,2080,0.708
medium,ssp585,83,2014,2090,0.884
medium,ssp585,83,2014,2100,1.088
medium,ssp585,83,2014,2110,1.282
medium,ssp585,83,2014,2120,1.475
medium,ssp585,83,2014,2130,1.663
medium,ssp585,83,2014,2140,1.842
medium,ssp585,83,2014,2150,2.017
medium,ssp585,95,2014,2020,0.095
medium,ssp585,95,2014,2030,0.171
medium,ssp585,95,2014,2040,0.273
medium,ssp585,95,2014,2050,0.389
medium,ssp585,95,2014,2060,0.522
medium,ssp585,95,2014,2070,0.688
medium,ssp585,95,2014,2080,0.878
medium,ssp585,95,2014,2090,1.102
medium,ssp585,95,2014,2100,1.359
medium,ssp585,95,2014,2110,1.591
medium,ssp585,95,2014,2120,1.83
medium,ssp585,95,2014,2130,2.067
medium,ssp585,95,2014,2140,2.298
medium,ssp585,95,2014,2150,2.525
low,ssp126,5,2014,2020,-0.007
low,ssp126,5,2014,2030,0.022
low,ssp126,5,2014,2040,0.051
low,ssp126,5,2014,2050,0.09
low,ssp126,5,2014,2060,0.113
low,ssp126,5,2014,2070,0.144
low,ssp126,5,2014,2080,0.168
low,ssp126,5,2014,2090,0.188
low,ssp126,5,2014,2100,0.179
low,ssp126,5,2014,2110,0.2
low,ssp126,5,2014,2120,0.212
low,ssp126,5,2014,2130,0.224
low,ssp126,5,2014,2140,0.233
low,ssp126,5,2014,2150,0.243
low,ssp126,17,2014,2020,0.016
low,ssp126,17,2014,2030,0.049
low,ssp126,17,2014,2040,0.082
low,ssp126,17,2014,2050,0.127
low,ssp126,17,2014,2060,0.158
low,ssp126,17,2014,2070,0.199
low,ssp126,17,2014,2080,0.232
low,ssp126,17,2014,2090,0.263
low,ssp126,17,2014,2100,0.278
low,ssp126,17,2014,2110,0.308
low,ssp126,17,2014,2120,0.334
low,ssp126,17,2014,2130,0.358
low,ssp126,17,2014,2140,0.381
low,ssp126,17,2014,2150,0.404
low,ssp126,50,2014,2020,0.051
low,ssp126,50,2014,2030,0.093
low,ssp126,50,2014,2040,0.138
low,ssp126,50,2014,2050,0.197
low,ssp126,50,2014,2060,0.247
low,ssp126,50,2014,2070,0.308
low,ssp126,50,2014,2080,0.362
low,ssp126,50,2014,2090,0.415
low,ssp126,50,2014,2100,0.472
low,ssp126,50,2014,2110,0.546
low,ssp126,50,2014,2120,0.606
low,ssp126,50,2014,2130,0.666
low,ssp126,50,2014,2140,0.727
low,ssp126,50,2014,2150,0.79
low,ssp126,83,2014,2020,0.092
low,ssp126,83,2014,2030,0.156
low,ssp126,83,2014,2040,0.238
low,ssp126,83,2014,2050,0.334
low,ssp126,83,2014,2060,0.429
low,ssp126,83,2014,2070,0.53
low,ssp126,83,2014,2080,0.634
